#Scale: 0.607435
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1628.7 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 282.422 14.6424 21.0894 166.194 10.3013 13.9991 748.58 70.6632 48.9074 340.853 9.26462 34.0731 0.1 0.158489
0.210017 199.287 9.76706 10.4982 125.419 5.81245 12.3772 486.431 47.4412 26.962 238.2 9.75267 18.0655 0.158489 0.251189
0.332855 143.689 7.06927 6.63943 95.9158 4.54147 8.6213 322.271 31.0793 21.4755 170.242 7.75777 8.59273 0.251189 0.398107
0.52754 96.7665 4.0798 3.11733 66.5614 4.70747 3.91279 202.565 15.2934 10.9935 114.94 3.08098 6.51607 0.398107 0.630957
0.836094 63.989 3.40998 0.98877 49.2496 2.25228 2.78926 121.959 8.39223 7.16257 71.6221 4.55305 0.620682 0.630957 1
1.32512 42.889 1.46729 0.704472 34.1938 1.58165 0.908279 70.7709 4.82571 3.1877 48.6219 0.747017 1.5582 1 1.58489
2.10017 31.0749 0.828739 0.406288 25.8249 0.957634 0.724682 46.9182 2.1111 1.64347 34.7292 0.681664 0.935135 1.58489 2.51189
3.32855 21.6866 0.604414 0.312431 18.1502 0.891399 0.538015 32.7781 1.13654 1.35847 24.0665 0.358793 0.59067 2.51189 3.98107
5.2754 15.3458 0.409712 0.169202 12.8102 0.620154 0.270532 22.7906 0.945963 1.04973 17.1511 0.367941 0.351942 3.98107 6.30957
8.36094 9.8637 0.296474 0.0694275 8.30437 0.32972 0.238812 14.4609 0.74044 0.568576 10.9703 0.347033 0.12238 6.30957 10
