#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.51115e-08 -3.80564e-10 8.23038e-10 8.625 8.875 32734
9.00 1.49982e-08 -1.79182e-10 5.13213e-10 8.875 9.125 53889
9.25 0.000175973 2.12479e-05 3.33677e-05 9.125 9.375 232629
9.50 0.000110399 2.12089e-05 2.90903e-05 9.375 9.625 756577
9.75 4.31894e-05 1.34507e-05 9.83446e-06 9.625 9.875 2.01082e+06
10.00 4.88813e-05 3.15491e-05 2.23101e-05 9.875 10.125 3.1529e+06
10.25 0.000822177 0.000406507 0.000501705 10.125 10.375 2.41112e+06
10.50 0.00434051 0.0020685 0.00237793 10.375 10.625 1.53949e+06
10.75 0.0093004 0.00443148 0.00526261 10.625 10.875 957963
11.00 0.0146965 0.00561069 0.00794081 10.875 11.125 593007
11.25 0.0181418 0.00410603 0.00877356 11.125 11.375 355202
11.50 0.0179444 0.0027935 0.00651826 11.375 11.625 210409
11.75 0.0202513 0.00202401 0.00609743 11.625 11.875 124376
12.00 0.0323528 0.00259062 0.00742117 11.875 12.125 72828
12.25 0.0654559 0.00361712 0.014155 12.125 12.375 42309
12.50 0.131947 0.00784998 0.0293748 12.375 12.625 24587
12.75 0.236329 0.0154624 0.0517761 12.625 12.875 14312
13.00 0.351816 0.0252156 0.0736881 12.875 13.125 7971
13.25 0.450928 0.033866 0.088608 13.125 13.375 4510
13.50 0.545592 0.0407766 0.113601 13.375 13.625 2400
13.75 0.626411 0.0490785 0.118962 13.625 13.875 1257
14.00 0.69183 0.0494198 0.116379 13.875 14.125 621
14.25 0.735309 0.0534583 0.115975 14.125 14.375 295
14.50 0.78552 0.0457877 0.104608 14.375 14.625 107
14.75 0.84552 0.0439841 0.101824 14.625 14.875 41
15.00 0.817473 0.0436094 0.16161 14.875 15.125 4
15.25 0.946446 0.0187006 0.042708 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
