#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00229096 0 0 0.0702013 0 0 8.625 8.875
9.00 0.00392524 0 0 0.123226 0 0 8.875 9.125
9.25 0.0176765 0 0 0.143549 0 0 9.125 9.375
9.50 0.0609658 0 0 0.098578 0 0 9.375 9.625
9.75 0.165773 1.60989e-07 7.24451e-07 0.112514 8.56817e-07 3.88175e-06 9.625 9.875
10.00 0.260143 1.28791e-06 6.35907e-06 0.162033 4.15742e-06 2.04891e-05 9.875 10.125
10.25 0.197173 1.57769e-05 7.51819e-05 0.213471 6.29276e-05 0.000300005 10.125 10.375
10.50 0.125551 7.08352e-05 0.000337675 0.258009 0.000418365 0.00200102 10.375 10.625
10.75 0.0780897 0.000156964 0.000821367 0.289987 0.00142431 0.00754747 10.625 10.875
11.00 0.0483116 0.000177974 0.000970523 0.317394 0.00250539 0.0139939 10.875 11.125
11.25 0.0288058 0.000107782 0.000598075 0.317021 0.00254595 0.0144809 11.125 11.375
11.50 0.0170229 5.65877e-05 0.000322703 0.302011 0.00231257 0.0134874 11.375 11.625
11.75 0.0100406 2.85756e-05 0.000180952 0.28998 0.00201499 0.0130309 11.625 11.875
12.00 0.00585526 1.89967e-05 0.000104401 0.283128 0.00231829 0.0130142 11.875 12.125
12.25 0.00340009 1.14302e-05 5.44948e-05 0.259919 0.00247964 0.0120548 12.125 12.375
12.50 0.00196721 5.23215e-06 3.21173e-05 0.246409 0.00199899 0.0125076 12.375 12.625
12.75 0.00113618 3.21978e-06 1.81113e-05 0.232235 0.00216959 0.0124368 12.625 12.875
13.00 0.000636068 1.69039e-06 9.17638e-06 0.217034 0.00207525 0.011461 12.875 13.125
13.25 0.000352647 3.21978e-07 4.74918e-06 0.194704 0.000734597 0.0109932 13.125 13.375
13.50 0.000189162 4.82968e-07 2.25385e-06 0.17234 0.0021078 0.0099804 13.375 13.625
13.75 9.82034e-05 0 8.04946e-07 0.161475 0 0.00692995 13.625 13.875
14.00 4.64454e-05 0 8.04946e-08 0.117851 0 0.0015315 13.875 14.125
14.25 2.2297e-05 0 1.60989e-07 0.0830325 0 0.00666885 14.125 14.375
14.50 6.92253e-06 0 0 0.0232558 0 0 14.375 14.625
14.75 2.65632e-06 0 0 0 0 0 14.625 14.875
15.00 2.41484e-07 0 0 0 0 0 14.875 15.125
15.25 8.04946e-08 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
