#Observed stellar masses in Msun
#Infall delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.865623.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_Delay_Time(MW) Err+ Err- +1_sigma_Infall_Delay_Time(MW) Err+ Err- -1_sigma_Infall_Delay_Time(MW) Err+ Err- Median_Infall_Delay_Time(GR) Err+ Err- +1_sigma_Infall_Delay_Time(GR) Err+ Err- -1_sigma_Infall_Delay_Time(GR) Err+ Err- Median_Infall_Delay_Time(CL) Err+ Err- +1_sigma_Infall_Delay_Time(CL) Err+ Err- -1_sigma_Infall_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 4.25384 0.0517454 0.136545 6.53533 0.0528984 0.0772929 1.25927 0.0401789 0.0765688 5.05635 0.101124 0.167171 7.07034 0.0717101 0.104305 1.41679 0.040846 0.0817695 5.04514 0.0976553 0.168893 7.04567 0.078711 0.117101 1.51524 0.0329336 0.0620148 7.2 7.4 734845 23920 24090 19870
7.5 4.3622 0.044332 0.0478091 6.66441 0.0299592 0.0368228 1.35153 0.0275763 0.0342001 5.29851 0.0569148 0.0559201 7.25811 0.0373087 0.0608683 1.51523 0.0367936 0.0304974 5.30168 0.0525947 0.0699606 7.2581 0.0658975 0.0789485 1.62566 0.0375112 0.0300498 7.4 7.6 624504 22560 23060 18373
7.7 4.38944 0.0548906 0.0600948 6.70628 0.0301576 0.0383587 1.44157 0.0289075 0.0315678 5.4456 0.0294037 0.0405388 7.37362 0.0253735 0.0329957 1.59223 0.0325655 0.033707 5.4503 0.0452962 0.0367756 7.48496 0.031044 0.0445838 1.7024 0.0287999 0.0338441 7.6 7.8 516389 20481 20370 16470
7.9 4.26123 0.0521894 0.0662088 6.62595 0.0485988 0.0429769 1.44245 0.0353354 0.0340158 5.54563 0.0246019 0.039413 7.44763 0.0406137 0.0212393 1.72176 0.0288206 0.0419483 5.58769 0.0391893 0.0401945 7.5861 0.0268803 0.0214458 1.7963 0.0336763 0.0390403 7.8 8 418392 17919 17754 14318
8.1 4.13976 0.0406246 0.0528936 6.62399 0.130686 0.096982 1.4619 0.0215703 0.0243384 5.58106 0.0321836 0.0349655 7.54215 0.0871396 0.0580235 1.78256 0.0273675 0.0355693 5.70315 0.0283866 0.0247164 7.71851 0.0547929 0.0428739 1.8296 0.0323403 0.0352072 8 8.2 336273 15810 15784 12397
8.3 4.21771 0.150648 0.146727 6.93244 0.289736 0.331661 1.50402 0.0604615 0.0625448 5.69133 0.071043 0.0628767 7.75644 0.153512 0.15583 1.92895 0.057079 0.0530878 5.84759 0.0667133 0.0454607 7.88419 0.085618 0.0828595 1.94922 0.0444936 0.0544537 8.2 8.4 273133 14468 14186 10830
8.5 4.4175 0.168722 0.258025 7.4367 0.281357 0.439038 1.54372 0.0874531 0.0881246 5.81786 0.0956626 0.100572 8.04544 0.149775 0.206349 2.04916 0.089813 0.0856661 6.00245 0.0764265 0.0768852 8.062 0.114134 0.104164 2.12297 0.0778298 0.076968 8.4 8.6 225357 13443 12748 9748
8.7 4.35127 0.17415 0.242988 7.45742 0.221926 0.355418 1.57877 0.0785353 0.0976013 5.80383 0.0958204 0.107472 8.11059 0.170083 0.204583 2.03313 0.0841689 0.0683929 6.07333 0.0699415 0.0879636 8.16159 0.0996141 0.115186 2.25048 0.134884 0.103085 8.6 8.8 181873 11776 10622 8161
8.9 4.14966 0.193027 0.236391 7.19056 0.269855 0.369842 1.5256 0.0757821 0.103922 5.74288 0.0844431 0.118236 8.09323 0.184664 0.22422 2.0884 0.078299 0.0934227 6.14628 0.0686417 0.0796547 8.20818 0.0859251 0.131771 2.29584 0.0801547 0.0894139 8.8 9 147420 10452 9101 6944
9.1 3.96144 0.16082 0.284735 6.99699 0.216388 0.374887 1.39336 0.0763848 0.0958766 5.6162 0.115623 0.122551 8.02733 0.161031 0.245031 1.97774 0.080989 0.0909759 6.10817 0.101572 0.0806189 8.22307 0.109219 0.114964 2.30119 0.107816 0.0803742 9 9.2 120683 8842 7557 5792
9.3 3.82461 0.212174 0.321522 6.71236 0.306689 0.381528 1.31373 0.103595 0.135376 5.49721 0.12173 0.141818 8.01295 0.168158 0.258749 2.00188 0.0910022 0.0819976 6.09571 0.070734 0.0719409 8.17763 0.0765486 0.0965605 2.24633 0.120347 0.139403 9.2 9.4 100237 7335 6508 4843
9.5 3.68703 0.25598 0.318676 6.61849 0.300173 0.425226 1.28615 0.125765 0.133758 5.22711 0.119586 0.122549 7.79137 0.221477 0.21795 1.84927 0.0803579 0.0771737 6.08785 0.0762248 0.077817 8.18553 0.101433 0.119237 2.31044 0.148782 0.12543 9.4 9.6 85758 5707 5681 4360
9.7 3.61964 0.216952 0.288967 6.43311 0.239814 0.340946 1.2271 0.0984058 0.160776 4.96721 0.12891 0.122815 7.65075 0.211282 0.278133 1.76609 0.0939274 0.0631112 6.06285 0.100524 0.0908613 8.20288 0.101449 0.10722 2.29359 0.134576 0.105155 9.6 9.8 73412 4333 4976 3959
9.9 3.51912 0.235043 0.331704 6.32284 0.246157 0.419425 1.12246 0.102924 0.145441 4.69905 0.0957837 0.127075 7.43318 0.174299 0.269412 1.64677 0.0622809 0.0722336 5.98731 0.0960488 0.0954461 8.10489 0.119507 0.119564 2.27666 0.130467 0.0845282 9.8 10 64040 2933 4436 3507
10.1 3.70287 0.29869 0.313039 6.56397 0.219557 0.473759 1.10652 0.139267 0.129267 4.40659 0.128831 0.161582 7.06858 0.161784 0.168926 1.55336 0.0698919 0.0459219 5.77988 0.124788 0.121695 7.98027 0.0968814 0.0886483 2.03822 0.139474 0.114121 10 10.2 57315 1676 4237 3264
10.3 3.97098 0.235982 0.344121 6.66772 0.167808 0.244832 1.16416 0.181272 0.208395 4.13578 0.0910449 0.115214 6.70574 0.148098 0.193758 1.50524 0.0694323 0.0667465 5.52059 0.111912 0.0977616 7.89695 0.0946326 0.0875273 1.93102 0.0650079 0.0792801 10.2 10.4 50674 826 3806 2851
10.5 4.46319 0.35422 0.23985 7.67433 0.244581 0.284452 1.43263 0.231432 0.249748 3.7422 0.0978732 0.1993 6.18839 0.178998 0.231559 1.2808 0.0454831 0.0773522 5.26621 0.0835285 0.106149 7.70299 0.091712 0.133916 1.7865 0.0805959 0.0616939 10.4 10.6 43901 334 3594 2624
10.7 4.7133 0.561198 0.25011 7.99679 0.240682 0.310621 2.13424 0.787493 0.865589 3.4037 0.148723 0.162655 5.84606 0.24438 0.223146 1.19516 0.0641108 0.0815651 4.77816 0.086833 0.111927 7.22258 0.166197 0.141398 1.64904 0.0542912 0.0618461 10.6 10.8 35061 116 2694 2076
10.9 5.7702 0.409646 0.620163 8.63189 0.124006 0.565804 2.98347 0.646502 0.345307 3.10755 0.147189 0.229563 5.65832 0.171512 0.390129 1.08944 0.0592932 0.0767699 4.29139 0.117932 0.111596 6.85903 0.114302 0.177296 1.42419 0.0763843 0.0501571 10.8 11 23723 44 1634 1540
11.1 5.72905 1.57245 0.123653 9.11913 0.0217886 1.86179 3.71609 1.37326 0.0436647 3.08304 0.148488 0.417557 5.55428 0.330788 0.46055 1.06369 0.0541885 0.148857 3.66041 0.181293 0.213955 6.41697 0.165254 0.291677 1.19315 0.0601636 0.0923884 11 11.2 12813 7 650 868
11.3 5.68786 5.86158 0.0412211 7.94492 3.60452 2.22894 5.65972 5.88972 0.0693994 2.43789 0.389847 0.292453 5.04899 0.495674 0.361537 0.868231 0.13494 0.158237 2.98506 0.18248 0.214689 5.80261 0.337017 0.427633 0.953507 0.0928556 0.143767 11.2 11.4 5525 1 152 368
11.5 11.5494 0 0 11.5494 0 0 11.5494 0 0 2.06871 1.49799 0.549228 6.33167 2.11104 3.01579 1.04173 0.496426 0.30769 2.68518 0.237742 0.370603 4.95424 0.351727 0.2073 0.75559 0.269999 0.136237 11.4 11.6 1795 0 10 105
11.7 11.5494 0 0 11.5494 0 0 11.5494 0 0 11.5494 0 10.0603 11.5494 0 10.0189 11.5494 0 10.1017 3.0265 0.706823 0.927111 5.46321 0.152108 1.1115 0.872351 0.557927 0.287547 11.6 11.8 494 0 0 19
11.9 11.5494 0 0 11.5494 0 0 11.5494 0 0 11.5494 0 0 11.5494 0 0 11.5494 0 0 3.81669 7.73275 2.87011 4.3874 7.16205 0.583931 3.75977 7.78967 2.8949 11.8 12 121 0 0 1
