#Observed stellar masses in Msun
#Average Infall SSFRs in yr^-1.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.668185.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_SSFRs(MW) Err+ Err- +1_sigma_Infall_SSFRs(MW) Err+ Err- -1_sigma_Infall_SSFRs(MW) Err+ Err- Median_Infall_SSFRs(GR) Err+ Err- +1_sigma_Infall_SSFRs(GR) Err+ Err- -1_sigma_Infall_SSFRs(GR) Err+ Err- Median_Infall_SSFRs(CL) Err+ Err- +1_sigma_Infall_SSFRs(CL) Err+ Err- -1_sigma_Infall_SSFRs(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 -9.46065 0.0607319 0.0842218 -9.15665 0.0579367 0.0721912 -9.74722 0.0737171 0.101618 -9.4426 0.0610371 0.0847569 -9.13225 0.0552912 0.0732422 -9.73895 0.0765324 0.100713 -9.43451 0.0569801 0.0846901 -9.11406 0.0523291 0.07271 -9.73451 0.0746098 0.0962286 7.2 7.4 702401 28084 24418 15444
7.5 -9.44787 0.0637503 0.0796461 -9.15153 0.0583715 0.0723963 -9.72722 0.0737038 0.0987339 -9.43419 0.062254 0.0781527 -9.12767 0.0516376 0.0714159 -9.71248 0.0720415 0.0942488 -9.42171 0.0597734 0.0805035 -9.10213 0.0507774 0.0743084 -9.71026 0.0744629 0.0942192 7.4 7.6 576175 25377 21817 13535
7.7 -9.42917 0.0558548 0.0778341 -9.13291 0.0495949 0.0747461 -9.70143 0.0677261 0.0940475 -9.41448 0.0612354 0.076252 -9.1131 0.050808 0.0746164 -9.68579 0.0692101 0.0925655 -9.4041 0.0622492 0.0771685 -9.08717 0.0564194 0.0686617 -9.68051 0.0688133 0.0909653 7.6 7.8 469880 22881 19179 11694
7.9 -9.40576 0.0556355 0.0684595 -9.0898 0.0492878 0.0721292 -9.6685 0.0608597 0.0928545 -9.39051 0.0545197 0.074357 -9.0846 0.054183 0.070013 -9.6601 0.0643997 0.0851517 -9.38549 0.0572691 0.0731058 -9.06608 0.0496855 0.0709944 -9.65742 0.0636387 0.0862103 7.8 8 384666 21101 17152 10370
8.1 -9.37772 0.050663 0.0668135 -9.03705 0.0502243 0.0615597 -9.64494 0.0543232 0.084877 -9.36219 0.0512896 0.0665617 -9.02919 0.0515547 0.0600042 -9.63153 0.055479 0.0806389 -9.36334 0.0534058 0.0694714 -9.03052 0.0455046 0.0647097 -9.63124 0.0553303 0.0819817 8 8.2 317158 20010 15653 9207
8.3 -9.35593 0.0446472 0.0573177 -9.00581 0.0506496 0.056118 -9.62333 0.049016 0.0688677 -9.338 0.0474339 0.0550442 -8.98858 0.0539875 0.055747 -9.60404 0.0476885 0.0758657 -9.34165 0.0484886 0.0588102 -9.00252 0.0451555 0.0553131 -9.60586 0.0477085 0.0800915 8.2 8.4 256682 18492 13712 7744
8.5 -9.33995 0.0403032 0.0445223 -9.00323 0.0458689 0.0463829 -9.60195 0.0472279 0.0647087 -9.32475 0.0442371 0.0469494 -8.9845 0.0457268 0.0491056 -9.58733 0.0436506 0.0728149 -9.3283 0.0473099 0.0482712 -8.99597 0.0469122 0.0497837 -9.5882 0.047965 0.0778732 8.4 8.6 202299 15743 11558 6356
8.7 -9.3328 0.0380239 0.0381269 -9.01159 0.0430975 0.0407619 -9.5889 0.0432377 0.0512705 -9.31314 0.0410852 0.0395689 -8.97101 0.0512648 0.0470018 -9.57149 0.0435915 0.0646362 -9.30731 0.0401239 0.0378733 -8.98838 0.0453253 0.0431376 -9.5643 0.044487 0.0674944 8.6 8.8 159539 13433 9676 5483
8.9 -9.31368 0.0333757 0.0262175 -8.99741 0.0377216 0.0351524 -9.56831 0.0428896 0.0431051 -9.28924 0.0351515 0.0303068 -8.96032 0.0410595 0.0436859 -9.54895 0.0377579 0.0568724 -9.29171 0.0397978 0.0316286 -8.97379 0.0404129 0.0405807 -9.5442 0.0373459 0.0636139 8.8 9 126481 11287 8041 4407
9.1 -9.29402 0.0271397 0.0249472 -8.9832 0.0310326 0.0297794 -9.5428 0.0351162 0.0397387 -9.27255 0.0314636 0.0239248 -8.95428 0.0406342 0.039731 -9.52804 0.0387554 0.0541477 -9.27343 0.0330057 0.0260839 -8.95461 0.0367546 0.0401325 -9.52886 0.0385122 0.0595503 9 9.2 101989 9112 6745 3770
9.3 -9.27422 0.0265007 0.0232973 -8.97622 0.0291939 0.0294876 -9.52219 0.0328865 0.035449 -9.24801 0.0274744 0.02458 -8.93944 0.0338202 0.0319271 -9.50721 0.0338755 0.0599213 -9.25903 0.0299635 0.0226555 -8.95757 0.0391645 0.0303154 -9.51004 0.034502 0.0610666 9.2 9.4 84541 7412 5921 3263
9.5 -9.25738 0.0245924 0.022562 -8.96999 0.0300055 0.0284882 -9.5069 0.0309753 0.0372343 -9.23571 0.0279617 0.0237904 -8.919 0.0279827 0.0296803 -9.49316 0.031517 0.0630312 -9.23013 0.0273857 0.0243855 -8.91963 0.0304556 0.034234 -9.49998 0.0416641 0.0687428 9.4 9.6 72324 5821 5106 2832
9.7 -9.24267 0.0276108 0.0209999 -8.95586 0.033761 0.0248251 -9.49904 0.0242052 0.0394735 -9.22461 0.0305653 0.023962 -8.91541 0.0371857 0.0302277 -9.50551 0.0368967 0.0663719 -9.21766 0.026329 0.0235004 -8.92297 0.0365267 0.0317974 -9.4978 0.0406513 0.0752211 9.6 9.8 63205 4323 4787 2629
9.9 -9.22774 0.0239887 0.0223837 -8.92626 0.0275183 0.0293398 -9.50704 0.0359306 0.0335388 -9.22247 0.03652 0.0237427 -8.90419 0.0372314 0.0282145 -9.57378 0.0540648 0.0630722 -9.20828 0.0288 0.0223694 -8.89765 0.0352287 0.0237188 -9.54585 0.0518131 0.100673 9.8 10 57346 2907 4429 2517
