#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.465685.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.905122 0.563628 0.483694 1.7431 0.669644 0.761851 0.278051 0.473622 0.148723 1.02042 0.767343 0.632923 1.94094 0.582187 1.01594 0.303003 0.651209 0.205406 0.958088 0.688503 0.608088 1.8739 0.720573 1.12306 0.355529 0.469445 0.242067 7.2 7.4 27 65 32 11
7.5 0.900304 0.591819 0.543161 1.77512 0.694723 1.05037 0.270812 0.344828 0.166003 0.954563 0.923697 0.61498 1.97464 0.713095 1.2007 0.271018 0.464495 0.165248 0.890714 0.836786 0.565714 1.848 0.728204 1.16098 0.295656 0.474734 0.196738 7.4 7.6 7 124 67 24
7.7 0.865 0.726772 0.5275 1.83692 0.720506 1.10839 0.252111 0.312059 0.15397 0.917308 0.970192 0.567308 2.05831 0.704859 1.24023 0.24776 0.426365 0.152774 0.9525 0.8975 0.6025 2.05261 0.70478 1.16487 0.298764 0.556766 0.206407 7.6 7.8 6 169 114 20
7.9 0.856034 0.543966 0.472701 1.91254 0.613565 1.12703 0.246486 0.319538 0.147847 0.895683 0.95015 0.55235 2.06669 0.693518 1.28344 0.24292 0.359823 0.143892 0.913281 0.846719 0.531463 2.04855 0.686058 1.24134 0.256449 0.39908 0.156641 7.8 8 10 199 153 31
8.1 0.871899 0.490601 0.421899 1.90337 0.477643 0.92244 0.253642 0.310543 0.137642 0.91875 0.71712 0.546875 2.06509 0.628787 1.19987 0.24247 0.359301 0.133959 0.910714 0.739286 0.485714 2.00384 0.637983 1.04411 0.27007 0.317306 0.122039 8 8.2 21 168 125 27
8.3 0.912685 0.440172 0.373399 1.93886 0.448391 0.770599 0.327935 0.273308 0.186564 0.939815 0.599471 0.47419 2.11171 0.545158 0.971244 0.276029 0.371229 0.137327 0.933696 0.616304 0.452446 1.9911 0.62921 0.847385 0.254689 0.345859 0.120353 8.2 8.4 55 153 159 33
8.5 0.916489 0.342886 0.25058 1.89199 0.383841 0.558927 0.353848 0.28025 0.169412 0.895513 0.575641 0.32718 2.07747 0.474995 0.77016 0.258153 0.395829 0.112392 0.921875 0.571875 0.378125 2.18326 0.63789 0.831581 0.260687 0.357485 0.126284 8.4 8.6 108 162 177 47
8.7 0.898239 0.381761 0.193545 1.9063 0.347536 0.418878 0.367779 0.274939 0.147642 0.926 0.638286 0.326 2.1098 0.418201 0.540464 0.27779 0.365007 0.131395 0.88913 0.48587 0.27663 2.06826 0.60056 0.60781 0.268033 0.350718 0.119955 8.6 8.8 260 184 194 51
8.9 0.9125 0.291346 0.189063 1.90624 0.323435 0.393392 0.388546 0.233499 0.152069 0.927344 0.538281 0.230915 2.07804 0.429162 0.438323 0.287583 0.316235 0.0954504 0.916071 0.492262 0.272321 2.18124 0.392311 0.531972 0.227821 0.354876 0.0920627 8.8 9 477 214 255 53
9.1 0.915 0.332222 0.141899 1.85969 0.34786 0.273954 0.41675 0.204213 0.144115 0.921951 0.456174 0.189951 2.03165 0.413057 0.363944 0.283222 0.2713 0.0805167 0.925 0.40625 0.266176 2.04383 0.504728 0.442388 0.247327 0.28 0.0937985 9 9.2 854 229 345 79
9.3 0.913889 0.276111 0.125861 1.91663 0.298111 0.29132 0.457082 0.168232 0.17446 0.902143 0.309221 0.191897 1.94977 0.366059 0.390141 0.29717 0.223815 0.0934248 0.841667 0.489583 0.202778 1.88325 0.544028 0.385779 0.23678 0.252406 0.0912905 9.2 9.4 1368 249 398 86
9.5 0.875 0.191667 0.116667 1.87415 0.344229 0.243833 0.43479 0.148887 0.183124 0.856618 0.268382 0.13074 1.82926 0.353182 0.229128 0.285014 0.219699 0.0773201 0.81 0.311429 0.1375 1.96694 0.442991 0.421115 0.224552 0.221644 0.0767799 9.4 9.6 2270 267 551 109
9.7 0.89 0.176667 0.111154 1.86329 0.342811 0.29107 0.469569 0.0990632 0.135745 0.822845 0.241286 0.101416 1.79075 0.281405 0.252344 0.291618 0.165799 0.0747712 0.891667 0.308333 0.185417 1.95311 0.413629 0.353126 0.30005 0.158128 0.107339 9.6 9.8 3260 216 673 136
9.9 1 0.24375 0.205 2.02427 0.335222 0.307402 0.458836 0.0922478 0.17645 0.771111 0.144514 0.0826496 1.6935 0.252136 0.230764 0.249274 0.116035 0.0480201 0.8 0.214286 0.126786 1.80761 0.330755 0.338624 0.264288 0.120031 0.0947082 9.8 10 4572 146 865 159
10.1 1.03 0.253333 0.171667 2.15865 0.382571 0.235656 0.376688 0.134936 0.116426 0.758182 0.0888771 0.0745752 1.64141 0.250597 0.210809 0.237098 0.0732785 0.0361122 0.755 0.195 0.120909 1.87139 0.303033 0.361899 0.259537 0.0895899 0.0691512 10 10.2 6428 87 1020 196
10.3 1.09375 0.197917 0.21875 2.34158 0.320797 0.335334 0.356974 0.084857 0.128848 0.729237 0.0542993 0.0622373 1.56329 0.201442 0.163712 0.232971 0.0232947 0.0306785 0.784375 0.165625 0.13125 1.91009 0.353362 0.353126 0.22345 0.0801185 0.0668576 10.2 10.4 8431 74 1080 221
10.5 1.0375 0.179167 0.2425 2.34543 0.306493 0.273798 0.365546 0.123639 0.136779 0.703571 0.041196 0.0551949 1.57159 0.194131 0.209424 0.219491 0.0221515 0.0173438 0.725 0.0916667 0.0931818 1.69854 0.326696 0.335447 0.197969 0.0394843 0.0489694 10.4 10.6 9329 51 1057 218
