#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00351937 0.0229541 0.00321351 0.0299307 0.108788 0.027175 0.0316836 0.119839 0.0290662 0.0422953 0.129321 0.0383394 0.0386496 0.123604 0.0346976 7.2 7.4 694762 512307 182455 29258 24258 13092
7.5 0.00332517 0.0215391 0.00289015 0.0305645 0.108143 0.0258717 0.0316494 0.11881 0.0271814 0.0412889 0.127711 0.0340262 0.0378697 0.11778 0.031682 7.4 7.6 564208 408701 155507 26288 21289 11698
7.7 0.00314345 0.0197313 0.00244862 0.033315 0.110792 0.0247968 0.0329493 0.11786 0.0249827 0.042511 0.127633 0.0307206 0.0364209 0.121715 0.0260042 7.6 7.8 459276 324802 134474 24128 18654 10159
7.9 0.00289857 0.0193056 0.00187184 0.0334573 0.111152 0.0195119 0.0330746 0.115772 0.0207946 0.0438484 0.120653 0.023414 0.0410668 0.114817 0.0242013 7.8 8 379043 256678 122365 22676 17150 8961
8.1 0.00314311 0.0186318 0.00137376 0.0319047 0.103676 0.0119656 0.030587 0.109505 0.0125236 0.040643 0.117101 0.0127409 0.0360338 0.111133 0.0105047 8 8.2 313204 202029 111175 21447 15427 7937
8.3 0.0036298 0.0191243 0.000807292 0.034307 0.0964274 0.00424345 0.0341476 0.0975487 0.00946586 0.0440859 0.112457 0.00426681 0.04324 0.106605 0.00480412 8.2 8.4 250701 157309 93392 19445 13451 6568
8.5 0.00417987 0.0185682 -0.000124834 0.0398481 0.0911536 -0.00337765 0.0371605 0.08967 2.7813e-05 0.0511313 0.106715 -0.00517182 0.0503088 0.102119 -0.00363477 8.4 8.6 196988 122731 74257 16496 11226 5506
8.7 0.00617278 0.0185812 -0.000690673 0.0503837 0.0891854 -0.00855386 0.0457284 0.0835579 -0.00735874 0.0637244 0.101607 -0.0108233 0.0600849 0.102412 -0.00988059 8.6 8.8 154224 96229 57995 13777 9290 4477
8.9 0.0089205 0.0183111 -0.00154799 0.0675708 0.0813659 -0.0116631 0.0587979 0.0741282 -0.00897937 0.0833987 0.0935316 -0.0159414 0.0758917 0.0978186 -0.0216884 8.8 9 121760 76341 45419 11497 7650 3729
9.1 0.0140045 0.0183453 -0.00123221 0.0918149 0.0780266 -0.0138206 0.072245 0.0692687 -0.00990835 0.107387 0.0891345 -0.0169876 0.11552 0.0755866 -0.00270493 9 9.2 97295 61266 36029 9274 6444 3125
9.3 0.0221666 0.0211581 -0.00082995 0.126983 0.0773985 -0.0125748 0.0844225 0.0693775 -0.010897 0.15339 0.0843137 -0.011165 0.157316 0.0820538 -0.0120001 9.2 9.4 80081 50707 29374 7498 5561 2727
9.5 0.0394428 0.022809 0.0029623 0.176224 0.0654931 0.00359312 0.109603 0.0646683 -0.00333134 0.202463 0.0749744 0.00159958 0.220704 0.0563313 0.00886342 9.4 9.6 68111 43506 24605 5748 4954 2415
9.7 0.0675704 0.0193266 0.00806587 0.230042 0.0588963 0.00930446 0.13215 0.0635658 0.00599167 0.270002 0.0592956 0.0127945 0.270804 0.0564104 0.0126919 9.6 9.8 59439 38508 20931 4056 4537 2127
9.9 0.110004 0.0215155 0.0146765 0.29187 0.0555401 0.010996 0.148033 0.072186 0.00115475 0.332862 0.0576916 0.00687689 0.355452 0.0393631 0.0206221 9.8 10 54237 35626 18611 2898 4245 2155
10.1 0.168128 0.0202274 0.0163891 0.372711 0.0412765 0.0156419 0.17025 0.0627161 0.0107093 0.42871 0.0292462 0.0256957 0.431009 0.0405704 0.013128 10 10.2 50482 33992 16490 1721 4117 1993
10.3 0.241767 0.0162087 0.0229472 0.44726 0.0402267 0.0123093 0.185065 0.0863804 -0.00373174 0.491267 0.0372564 0.0157548 0.519939 0.0248287 0.0214576 10.2 10.4 47167 32643 14524 924 4008 1981
10.5 0.314064 0.0207391 0.0133329 0.521941 0.0447604 0.00796038 0.242507 0.0856182 0.00651862 0.569752 0.0298691 0.0203239 0.582579 0.0317653 0.0175619 10.4 10.6 42682 30376 12306 367 3749 1768
10.7 0.384769 0.0339582 0.00445935 0.582046 0.057816 0.00126547 0.311258 0.0869718 0.0282394 0.593739 0.0563582 0.00491381 0.643058 0.0583491 -0.00108337 10.6 10.8 33595 24594 9001 151 2843 1426
10.9 0.459168 0.055871 0.00876579 0.665413 0.0616324 0.010399 0.5 0.1 0.0833333 0.635598 0.0663769 0.00617951 0.753412 0.0345878 0.0157696 10.8 11 22261 16678 5583 36 1781 1099
11.1 0.562522 0.0786393 0.00962371 0.738767 0.0714912 0.00679183 0.714286 0.0357143 0.339286 0.639456 0.0768675 0.00199354 0.831918 0.0535305 0.0114056 11 11.2 11160 8645 2515 7 735 589
11.3 0.707564 0.0772626 0.0153775 0.810143 0.0681059 0.0128458 0.5 0.5 0 0.686667 0.0633333 0.0400501 0.87234 0.0320074 0.0227829 11.2 11.4 4127 3358 769 4 150 235
11.5 0.823598 0.0601535 0.00748247 0.889655 0.0404148 0.0246552 1 0 1 0.842105 0.0809717 0.12782 0.909091 0.050909 0.0340909 11.4 11.6 1001 856 145 2 19 55
11.7 0.924623 0.0209836 0.0362111 1 0 0.0833333 0 0 0 1 0 1 1 0 0.0714286 11.6 11.8 219 199 20 0 1 11
11.9 1 0 0.05 1 0 0 0 0 0 0 0 0 1 0 0 11.8 12 34 32 2 0 0 1
12.1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0 0
