#Observed stellar masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 1 0 0.5 0 1 0 0 1 0 7.2 7.4 661744 32910 20445 5043
7.5 0 1 -0.333333 0 1 0 0 1 0 7.4 7.6 533929 30932 18427 4490
7.7 0 1 -0.612903 0 1 0 1 0 1 7.6 7.8 436986 30726 16728 4078
7.9 0 0.989305 -0.803922 1 0 0.4 1 0 0.5 7.8 8 358839 28901 15382 3644
8.1 0.888889 0.111111 0.0591016 1 -0.00970876 0.214286 0 1 -0.75 8 8.2 288095 26119 13321 3210
8.3 0.8125 0.15941 -0.015625 0.818182 0.156973 0.0324675 0 1 -0.625 8.2 8.4 227130 22145 11310 2610
8.5 0.9375 0.0493421 0.0715894 0.892857 0.069305 0.0896104 0.75 0.211039 0.05 8.4 8.6 177964 18993 9530 2255
8.7 0.971429 0.0131274 0.120343 0.693878 0.263911 -0.096997 0.722222 0.216239 0.0222222 8.6 8.8 138292 15345 7752 1729
8.9 0.893333 0.0815771 0.0252615 0.781609 0.161505 0.0192329 0.636364 0.279129 -0.0559441 8.8 9 106999 12251 6471 1502
9.1 0.91358 0.0505891 0.0499439 0.728814 0.176536 -0.00749213 0.613636 0.251748 -0.0385376 9 9.2 83384 9310 5395 1240
9.3 0.917293 0.0303811 0.0451471 0.753731 0.121269 0.063514 0.745455 0.094971 0.0879203 9.2 9.4 65797 6673 4578 992
9.5 0.911565 0.0401897 0.0296749 0.696703 0.142557 0.0403327 0.652174 0.175604 0.0225443 9.4 9.6 53200 4631 3906 870
9.7 0.922535 0.00539267 0.0504974 0.713166 0.0912215 0.0717027 0.694656 0.135945 0.102913 9.6 9.8 45124 2937 3635 782
9.9 0.903226 0.0317336 0.0212814 0.686937 0.088677 0.0428691 0.604061 0.159097 0.028168 9.8 10 40037 1841 3413 728
10.1 0.922222 0.0327328 0.0431013 0.695164 0.0335355 0.0619763 0.659919 0.0364373 0.0807685 10 10.2 36253 1023 3267 656
10.3 0.892308 0.0255005 0.0485577 0.665405 0.0353358 0.0448692 0.571429 0.072446 0.0500872 10.2 10.4 33647 505 3038 688
10.5 0.9 0.0318182 0.0860465 0.656885 0.0252913 0.034552 0.59882 0.00280601 0.095826 10.4 10.6 29502 221 2668 630
10.7 0.88 0.0765218 0.0281481 0.670339 0.0123454 0.046468 0.484375 0.0568621 0.0308231 10.6 10.8 23490 98 2103 499
10.9 0.909091 0.0909091 0.0757576 0.688833 0.0106618 0.0384475 0.440129 0.0368442 0.019884 10.8 11 15908 31 1357 428
11.1 1 0 0 0.722222 -0.00837606 0.073385 0.396226 0.00814518 0.0628931 11 11.2 7996 9 570 256
11.3 1 0 0 0.78022 0.0170775 0.0980492 0.293333 0.077037 0.0120833 11.2 11.4 2958 1 157 89
11.5 0 0 0 0.833333 0.0128205 0.166667 0.233333 0.0416667 0.0969697 11.4 11.6 662 0 21 31
11.7 0 0 0 1 0 1 0.4 0.1 0.275 11.6 11.8 112 0 1 5
11.9 0 0 0 0 0 0 0 0 0 11.8 12 15 0 0 0
12.1 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
