#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.118268 0.090792 0.0892694 8.625 8.875 42691
9.00 0.166837 0.11576 0.12272 8.875 9.125 66664
9.25 0.143017 0.110937 0.0989283 9.125 9.375 266213
9.50 0.0959307 0.0762188 0.0604089 9.375 9.625 771161
9.75 0.15497 0.0913304 0.0570102 9.625 9.875 1.93965e+06
10.00 0.148456 0.0651819 0.0498146 9.875 10.125 3.02604e+06
10.25 0.152565 0.0532711 0.0456225 10.125 10.375 2.33994e+06
10.50 0.168393 0.0463352 0.0412019 10.375 10.625 1.49933e+06
10.75 0.194255 0.0394077 0.0376893 10.625 10.875 932790
11.00 0.232088 0.0335047 0.0348675 10.875 11.125 577277
11.25 0.273193 0.0281319 0.0340826 11.125 11.375 348581
11.50 0.321297 0.0225131 0.0323798 11.375 11.625 207711
11.75 0.372183 0.0208174 0.0338307 11.625 11.875 123157
12.00 0.431607 0.0282197 0.0330846 11.875 12.125 72383
12.25 0.507407 0.0438907 0.0309319 12.125 12.375 42256
12.50 0.594563 0.0596234 0.0284759 12.375 12.625 24830
12.75 0.675264 0.0836486 0.0415906 12.625 12.875 14461
13.00 0.741621 0.0980063 0.0448837 12.875 13.125 8205
13.25 0.805257 0.0811613 0.0609392 13.125 13.375 4565
13.50 0.856973 0.076068 0.0653891 13.375 13.625 2524
13.75 0.902315 0.0621772 0.0610456 13.625 13.875 1382
14.00 0.939349 0.037052 0.0555936 13.875 14.125 676
14.25 0.968208 0.0230963 0.0549133 14.125 14.375 346
14.50 0.984962 0.0150376 0.0526316 14.375 14.625 133
14.75 0.949153 0.0338983 0.0169491 14.625 14.875 59
15.00 0.857143 0.142857 0 14.875 15.125 7
15.25 1 0 0 15.125 15.375 2
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
