#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0.00137269 0.0695327 0.00134931 0.00225175 0.0977257 0.00225175 0 0 0 0 0 0 0 0 0 8.625 8.875 303854 299413 4441 0 0 0
9.00 0.0020193 0.0854669 0.00196897 0.00363289 0.103059 0.00363289 0 0.0769231 0 0 0 0 0 0 0 8.875 9.125 482128 476898 5230 26 0 0
9.25 0.00265586 0.0777336 0.00254041 0.0049806 0.121561 0.00480686 0.00458716 0.183486 0.00458716 0 0.4 0 0 0 0 9.125 9.375 1.38594e+06 1.36867e+06 17267 436 5 0
9.50 0.00373265 0.0700132 0.00353127 0.00732475 0.109268 0.00694136 0.0135369 0.161578 0.0132488 0 0.258065 0 0 0 0 9.375 9.625 2.82533e+06 2.72622e+06 99116 3472 31 0
9.75 0.00486668 0.0676142 0.00453149 0.0144475 0.132169 0.0134196 0.0383792 0.209681 0.0336945 0.04 0.18 0.02 0 0 0 9.625 9.875 3.03566e+06 2.83417e+06 201488 7478 50 0
10.00 0.00607773 0.0810563 0.00570927 0.0325888 0.174423 0.0295471 0.0741021 0.237883 0.0651755 0.135802 0.289198 0.122982 0 0 0 9.875 10.125 2.04412e+06 1.84279e+06 201327 9244 81 0
10.25 0.00746353 0.0791355 0.00696517 0.0621052 0.204657 0.0542767 0.103688 0.266156 0.0866804 0.176471 0.285068 0.176471 0 0 0 10.125 10.375 1.10244e+06 933071 169374 9654 68 0
10.50 0.00961766 0.075148 0.00886017 0.0826668 0.210922 0.0664312 0.121194 0.254101 0.0916264 0.2 0.236364 0.162963 0 0 0 10.375 10.625 537575 452813 84762 6766 55 0
10.75 0.0158837 0.0795289 0.0142493 0.109785 0.197647 0.0803428 0.169659 0.233662 0.121854 0.159091 0.363636 0.113636 0 0 0 10.625 10.875 250387 217204 33183 4456 44 0
11.00 0.0268032 0.0910982 0.0227746 0.139864 0.181996 0.0933597 0.204469 0.240277 0.134156 0.142857 0.333333 0.0476191 0 0 0 10.875 11.125 110839 98048 12791 2954 21 0
11.25 0.0431231 0.103214 0.0332782 0.182543 0.172868 0.105637 0.235626 0.21134 0.136644 0.3 0 0 0 0 0 11.125 11.375 45652 41138 4514 1774 10 0
11.50 0.062976 0.104589 0.045266 0.195195 0.164653 0.101681 0.2 0.174276 0.105421 0.133333 0.533333 0.0666667 0 0 0 11.375 11.625 17481 16149 1332 870 15 0
11.75 0.0944062 0.110817 0.0594671 0.209877 0.145062 0.0794418 0.193396 0.136792 0.0660377 0.285714 0.285714 0.142857 0 0 0 11.625 11.875 5991 5667 324 212 7 0
12.00 0.129264 0.108917 0.0676242 0.264706 0.161037 0.0980392 0.206897 0.137931 0.103448 0.4 0 0.2 0 0 0 11.875 12.125 1773 1671 102 29 5 0
12.25 0.178733 0.0995475 0.0701357 0.0666667 0.133333 0 0 0 0 0 0 0 0 0 0 12.125 12.375 457 442 15 1 1 0
12.50 0.237624 0.118812 0.108911 0.666667 0 0.166667 0 0 0 1 0 0.25 0 0 0 12.375 12.625 107 101 6 0 4 0
12.75 0.25 0.1875 0.0625 0 0 0 0 0 0 0 0 0 0 0 0 12.625 12.875 16 16 0 0 0 0
13.00 0.666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.875 13.125 3 3 0 0 0 0
13.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.125 13.375 0 0 0 0 0 0
13.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0 0
14.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0 0
14.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0 0
15.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0 0
