#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0.75 0.0147059 0.75 0.777778 0.02657 0.777778 0.705882 0.147059 0.705882 8.625 8.875 25886 111 309 330
9.00 0.714286 0.00793648 0.714286 0.793103 0.0112444 0.793103 0.783505 0.0241871 0.783505 8.875 9.125 46379 422 1029 1106
9.25 0.728205 0.063673 0.0982051 0.765766 0.0300579 0.765766 0.818352 0.0485119 0.0768673 9.125 9.375 218431 2713 6435 6253
9.50 0.682783 0.201832 0.109848 0.762269 0.157731 0.11521 0.774069 0.181155 0.0963407 9.375 9.625 796793 9403 14433 13169
9.75 0.732265 0.169498 0.134859 0.788204 0.143156 0.141743 0.815043 0.123353 0.113931 9.625 9.875 2.22007e+06 30603 35814 29875
10.00 0.894981 0.0475422 0.0935073 0.915739 0.035704 0.0923668 0.923684 0.0306659 0.0884938 9.875 10.125 3.43344e+06 68563 71815 56115
10.25 0.937068 0.0163766 0.0737034 0.943163 0.0162382 0.0736932 0.943664 0.0130935 0.0702193 10.125 10.375 2.53945e+06 71669 70559 53105
10.50 0.94878 0.00791997 0.0742558 0.952192 0.00817841 0.0674187 0.954673 0.00896841 0.0600379 10.375 10.625 1.60575e+06 58346 55337 40279
10.75 0.94147 0.0139531 0.060523 0.951441 0.00853479 0.0618127 0.954053 0.00673091 0.0646534 10.625 10.875 997509 45808 40599 28205
11.00 0.943463 0.00679845 0.0652092 0.949642 0.00723338 0.0597515 0.949275 0.00858825 0.0637624 10.875 11.125 615339 35231 28345 19032
11.25 0.937757 0.00454485 0.0633549 0.950915 -0.000581145 0.0699134 0.942165 0.00968271 0.061465 11.125 11.375 363049 25039 18548 12367
11.50 0.911272 0.00716746 0.0626836 0.927092 0.00296992 0.0617661 0.932929 0.00329912 0.0652459 11.375 11.625 213264 14982 12033 7474
11.75 0.860779 0.00407147 0.0567171 0.873129 0.00481361 0.0561423 0.876548 -0.000527978 0.0618056 11.625 11.875 124827 4915 7780 4741
12.00 0.753425 0.00737268 0.0557503 0.701729 0.0238045 0.0389953 0.719462 0.0177489 0.0458746 11.875 12.125 72708 543 5362 3020
12.25 0.676923 0.0267806 0.0539723 0.505054 0.0256991 0.0348231 0.462898 0.0286039 0.0313109 12.125 12.375 41927 81 3444 1826
12.50 0.6 0.0666667 0.1 0.272453 0.0508925 0.0289331 0.250758 0.0517821 0.0333671 12.375 12.625 23877 22 1992 1146
12.75 0.25 0.0833333 0 0.170968 0.0549459 0.0342297 0.179747 0.0398664 0.0306785 12.625 12.875 13632 4 694 854
13.00 0 0 0 0.119403 0.083722 0.0336887 0.0785855 0.0119409 0.00995801 12.875 13.125 7607 2 69 533
13.25 1 0 1 0 0.142857 0 0.0316623 0.0243377 0.000330679 13.125 13.375 4137 1 8 385
13.50 0 0 0 1 0 0 0.0229358 0.0118901 0.00891709 13.375 13.625 2168 0 2 224
13.75 0 0 0 0 0 0 0.0147059 0.0165441 0 13.625 13.875 1077 0 0 71
14.00 0 0 0 0 0 0 0.125 0.0178571 0 13.875 14.125 512 0 0 8
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 218 0 0 1
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 54 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 22 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 1 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 1 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
