#Peak halo mass range: 9.875 < log10(Mh/Msun) < 10.125
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
1.002310 0 0 0 1 0 0 2.53058e+06 475649
0.994717 0.0148152 0.00798253 0.00516629 0.883082 0.0120253 0.0157865 2.53058e+06 475649
0.987123 0.0207905 0.0116086 0.00789279 0.810682 0.0239063 0.0263683 2.53058e+06 475649
0.979529 0.0251899 0.0146272 0.00990796 0.753772 0.0327997 0.0324525 2.53058e+06 475649
0.971935 0.0285998 0.0177012 0.0118612 0.708138 0.0397624 0.0385247 2.53058e+06 475649
0.964342 0.0300295 0.0200937 0.012854 0.668678 0.0459118 0.0450837 2.53058e+06 475649
0.956748 0.0309526 0.0212415 0.0139206 0.626102 0.0519866 0.0475162 2.53058e+06 475649
0.949154 0.031901 0.0229938 0.0149199 0.590202 0.0578666 0.0548425 2.53058e+06 475649
0.941560 0.0322807 0.0243471 0.0154661 0.556471 0.0639594 0.0602229 2.53058e+06 475649
0.933967 0.0320428 0.0257025 0.0155514 0.526998 0.0679798 0.0662206 2.53058e+06 475649
0.926373 0.0314098 0.0260193 0.0153461 0.49825 0.0723583 0.0745941 2.53058e+06 475649
0.918779 0.0309218 0.0268912 0.0153442 0.473946 0.0771477 0.0801694 2.53058e+06 475649
0.911185 0.0300034 0.0275436 0.0153525 0.449594 0.0817013 0.0801342 2.53058e+06 475649
0.903592 0.029298 0.0275696 0.0157789 0.425335 0.0864254 0.0819624 2.53058e+06 475649
0.895998 0.0281931 0.0273956 0.0158008 0.400575 0.0906432 0.0879924 2.53058e+06 475649
0.888404 0.0274814 0.0279704 0.016096 0.378596 0.0938036 0.0953722 2.53058e+06 475649
0.880810 0.02678 0.0283783 0.0163528 0.356473 0.0967289 0.10222 2.53058e+06 475649
0.873217 0.026011 0.0285039 0.0164148 0.335674 0.0990453 0.107952 2.53058e+06 475649
0.865623 0.0252871 0.0288661 0.0164893 0.314232 0.0996431 0.105839 2.53058e+06 475649
0.858029 0.024298 0.0289029 0.0167528 0.296721 0.10236 0.108089 2.53058e+06 475649
0.850435 0.0239139 0.0297245 0.0169818 0.281653 0.105799 0.110982 2.53058e+06 475649
0.842842 0.0235219 0.030275 0.0171925 0.266537 0.108187 0.114371 2.53058e+06 475649
0.835248 0.0225778 0.0304149 0.0173037 0.248658 0.111558 0.115264 2.53058e+06 475649
0.827654 0.0219598 0.0305624 0.0172256 0.236462 0.112379 0.113878 2.53058e+06 475649
0.820060 0.0210051 0.0309884 0.0167896 0.220671 0.11256 0.117507 2.53058e+06 475649
0.812467 0.0204621 0.0307156 0.0165211 0.207714 0.112331 0.115899 2.53058e+06 475649
0.804873 0.019639 0.0304345 0.0163143 0.19387 0.111468 0.113767 2.53058e+06 475649
0.797279 0.0195694 0.0308718 0.016689 0.182811 0.111552 0.112867 2.53058e+06 475649
0.789685 0.018391 0.0302925 0.0159398 0.169074 0.106312 0.110242 2.53058e+06 475649
0.782092 0.0177615 0.0301766 0.0156655 0.157395 0.106612 0.106852 2.53058e+06 475649
0.774498 0.01753 0.030394 0.0156972 0.148427 0.104572 0.106112 2.53058e+06 475649
0.766904 0.016482 0.0291514 0.0150162 0.135756 0.104003 0.102504 2.53058e+06 475649
0.759310 0.0162137 0.0282193 0.0149478 0.128086 0.102315 0.100953 2.53058e+06 475649
0.751717 0.0151167 0.0285203 0.0140919 0.117107 0.0997898 0.0965585 2.53058e+06 475649
0.744123 0.0150294 0.0291467 0.014181 0.110346 0.101084 0.0940207 2.53058e+06 475649
0.736529 0.0141327 0.0293351 0.0134137 0.101869 0.0982015 0.0886967 2.53058e+06 475649
0.728935 0.0134214 0.0291667 0.0128284 0.0939138 0.097758 0.0836435 2.53058e+06 475649
0.721342 0.0126062 0.0280214 0.0121279 0.0859794 0.0974559 0.0780463 2.53058e+06 475649
0.713748 0.0120478 0.0274533 0.0116606 0.0791928 0.0951049 0.0735489 2.53058e+06 475649
0.706154 0.0114187 0.0266538 0.0110861 0.0723895 0.0936403 0.0680831 2.53058e+06 475649
0.698560 0.0109805 0.0278365 0.0106906 0.0669254 0.0913559 0.0636692 2.53058e+06 475649
0.690967 0.0103609 0.0274477 0.0100781 0.0612763 0.0932835 0.058878 2.53058e+06 475649
