#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0.000390712 0.00314653 0.000553957 -0.000628136 0.000606844 0.058626 -0.000628136 0.000606844 0.058626 -0.000628136 0.000606844 0.058626 8.625 8.875 285712 3926 5 0 0
9 0.000980904 0.026669 0.000980904 -0.000937663 0.0171879 0.00136005 -0.000937663 0.000911125 0.075316 -0.000937663 0.000911125 0.075316 8.875 9.125 456879 4691 46 2 0
9.25 0.00128759 0.0329628 0.00124698 0.00173071 0.0515167 0.00173436 -0.00144389 0.103319 0.00037851 -0.00144389 0.00138836 0.0705659 9.125 9.375 1.38646e+06 17939 630 12 0
9.5 0.00275079 0.0344638 0.00263713 0.0118198 0.0881473 0.0110878 -0.00256212 0.138987 -0.000416416 -0.00256212 0.00244531 0.0629993 9.375 9.625 3.08653e+06 115944 5493 74 0
9.75 0.00756518 0.0566406 0.00713725 0.0275134 0.130505 0.0248321 0.0241103 0.137813 0.0113337 -0.00425851 0.00401552 0.0719911 9.625 9.875 3.44251e+06 248907 12275 141 0
10 0.019946 0.0856277 0.0181611 0.0510318 0.160897 0.0447111 0.0568191 0.20052 0.0511863 -0.00497865 0.00466132 0.0802653 9.875 10.125 2.38146e+06 251157 14533 178 0
10.25 0.0454784 0.134413 0.0401136 0.0800267 0.184336 0.0679023 0.07077 0.210438 0.0543132 -0.00573271 0.00538873 0.0773254 10.125 10.375 1.30948e+06 213489 15182 183 0
10.5 0.0627029 0.136704 0.0511691 0.0992671 0.176418 0.0754342 0.117255 0.213711 0.0742559 -0.00774469 0.00723635 0.0709343 10.375 10.625 658429 115476 10896 120 0
10.75 0.0835021 0.130858 0.0636518 0.125209 0.181939 0.094414 0.141805 0.223499 0.0901771 -0.0128345 0.0117585 0.0743432 10.625 10.875 314234 46597 7331 97 0
11 0.110162 0.115521 0.0763221 0.164696 0.16846 0.115184 0.199445 0.169311 0.109141 -0.0227775 0.0194896 0.0841857 10.875 11.125 144846 18625 4758 63 0
11.25 0.141339 0.096356 0.0844697 0.186647 0.131516 0.113586 0.344216 0.194971 0.174832 -0.0381371 0.0306436 0.0993701 11.125 11.375 62001 6753 2776 34 0
11.5 0.14822 0.0789377 0.0717766 0.14437 0.0740713 0.0650936 0.250022 0.182752 0.167228 -0.062478 0.0440866 0.102473 11.375 11.625 24878 2150 1431 32 0
11.75 0.136742 0.0508729 0.0639284 0.108225 0.0311289 0.0584668 0.15457 0.121221 0.0487422 -0.0954304 0.0611586 0.104316 11.625 11.875 9269 603 383 20 0
12 0.157584 0.0376313 0.0643845 0.0499019 0.00932234 0.0468156 0.123431 0.0241724 0.0894287 -0.126569 0.0688419 0.111868 11.875 12.125 2972 183 51 12 0
12.25 -0.0713674 0.0391909 0.0524449 -0.168142 0.377581 0.0606827 -0.168142 0.0960809 0.108723 -0.168142 0.068268 0.116308 12.125 12.375 822 31 3 4 0
12.5 0.19712 0.0180018 0.143564 -0.257426 0.0742574 0.10396 0.45686 -0.0586987 0.27157 -0.257426 0.0742574 0.10396 12.375 12.625 213 11 0 7 0
12.75 -0.255814 0.0930233 0.232558 -0.255814 0.0930233 0.232558 -0.255814 0.0930233 0.232558 -0.255814 0.0930233 0.232558 12.625 12.875 43 0 0 0 0
13 -0.5 0.25 0 -0.5 0.25 0 -0.5 0.25 0 -0.5 0.25 0 12.875 13.125 4 0 0 0 0
13.25 0 0 0 0 0 0 0 0 0 0 0 0 13.125 13.375 0 0 0 0 0
13.5 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0
14 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0
14.5 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0
15 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0
15.5 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0
