#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00789256 0.109956 0.00692074 0.0126576 0.151528 0.0109686 0.0161709 0.167625 0.0139053 -0.000619538 0.000543712 0.0301939 7.2 7.4 559356 146145 25608 3097 0
7.5 0.0095908 0.103206 0.00826375 0.015845 0.137495 0.0134251 0.0147741 0.15607 0.0117397 -0.000959051 0.000837136 0.0282145 7.4 7.6 442669 128817 25351 3178 0
7.7 0.0122274 0.0989575 0.0102746 0.0197067 0.129686 0.0162355 0.0257916 0.148897 0.0215629 -0.00138423 0.00115098 0.0303142 7.6 7.8 341351 104396 23375 2907 0
7.9 0.0163061 0.0959908 0.0129585 0.0237314 0.118971 0.0181326 0.0413986 0.129725 0.0323581 -0.00245082 0.00213915 0.0318677 7.8 8 257479 79171 20090 2577 0
8.1 0.0220143 0.0899064 0.0163781 0.03178 0.116 0.0237669 0.0536331 0.117567 0.038524 -0.00364393 0.00311063 0.0355668 8 8.2 193717 58149 16853 2130 0
8.3 0.0285715 0.0889097 0.0210326 0.0393411 0.110088 0.0277304 0.049801 0.129275 0.0318105 -0.00533409 0.00445254 0.0377258 8.2 8.4 144724 42176 14348 1850 0
8.5 0.0376142 0.0948832 0.0267627 0.0480208 0.110915 0.0332027 0.0762612 0.125822 0.0529672 -0.00802744 0.0061458 0.0401598 8.4 8.6 108615 29885 11615 1483 0
8.7 0.0472112 0.0996866 0.0302998 0.0538686 0.108622 0.0331857 0.0820841 0.134761 0.0451931 -0.0125951 0.00924567 0.0401292 8.6 8.8 80678 21369 9193 1278 0
8.9 0.0584567 0.101361 0.0341131 0.0565166 0.0996606 0.0346597 0.110896 0.126112 0.0641377 -0.0176215 0.0112165 0.03975 8.8 9 59423 14932 6933 1066 0
9.1 0.0744774 0.0990935 0.0430828 0.0539204 0.0925233 0.0302129 0.127841 0.131712 0.0610476 -0.0260877 0.01444 0.0379866 9 9.2 44135 10441 4937 929 0
9.3 0.0860267 0.102257 0.042202 0.0549728 0.0865019 0.0326074 0.142903 0.137268 0.0602863 -0.0347189 0.0164543 0.0422292 9.2 9.4 32341 7081 3211 715 0
9.5 0.107899 0.0927046 0.0515653 0.0435461 0.0857039 0.0298992 0.190959 0.108796 0.0895553 -0.0455684 0.0184677 0.045939 9.4 9.6 23435 4672 1773 668 0
9.7 0.115826 0.0932419 0.0499079 0.022855 0.0788664 0.0232108 0.173738 0.118362 0.0700115 -0.0603894 0.0214723 0.0497616 9.6 9.8 17127 3002 937 504 0
9.9 0.131109 0.0882046 0.0486387 -0.0149474 0.0880597 0.000979587 0.258484 0.073632 0.0911155 -0.0798244 0.0244353 0.0445366 9.8 10 12089 2067 447 402 0
10.1 0.143569 0.0930114 0.058382 -0.0186355 0.0722025 0.0297385 0.257773 0.0994866 0.0616264 -0.10537 0.0276423 0.0454752 10 10.2 8788 1414 196 369 0
10.3 0.124644 0.0879356 0.0476478 -0.0673464 0.0982888 0.014923 0.223311 0.108487 0.0644325 -0.12617 0.023714 0.0482145 10.2 10.4 6477 921 68 289 0
10.5 0.158451 0.0667724 0.0718919 -0.000358924 0.0779295 0.0905879 0.30273 0.0045341 0.134773 -0.143216 0.0214536 0.0636452 10.4 10.6 4580 600 28 222 0
10.7 0.117349 0.0854539 0.0539698 -0.0383801 0.132568 0.070079 0.156492 0.0990987 0.0433753 -0.171713 0.0290675 0.0582517 10.6 10.8 3092 384 15 195 0
10.9 0.0843677 0.0816599 0.0386534 0.327384 0.124086 0.520651 0.174323 0.0660394 0.0854415 -0.172616 0.0151309 0.0743049 10.8 11 1888 179 4 98 0
11.1 0.106103 0.0733846 0.0318043 -0.207623 0.0778931 0.0682768 0.159044 0.0508491 0.0841211 -0.207623 0.0416986 0.070846 11 11.2 1099 102 1 60 0
11.3 0.253403 0.0676196 0.111576 -0.146597 0.00440572 0.107902 0.19626 0.112101 0.0772073 -0.146597 0.00269443 0.107902 11.2 11.4 432 50 0 35 0
11.5 0.0219298 0.253511 -0.00415713 -0.22807 0.0776277 0.0719298 0.0219298 0.265949 0.14004 -0.22807 0.0776277 0.0719298 11.4 11.6 122 8 0 4 0
11.7 -0.136364 0.0738636 0.171329 -0.136364 0.0311005 0.183636 -0.136364 0.0454545 0.183636 -0.136364 0.0311005 0.183636 11.6 11.8 22 0 0 0 0
11.9 -0.142857 0.142857 0.241758 -0.142857 0.142857 0.241758 -0.142857 0.142857 0.241758 -0.142857 0.142857 0.241758 11.8 12 7 0 0 0 0
12.1 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0
