#Observed stellar mass range: 7.6 < log10(M*/Msun) < 7.8
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
1.002310 0.00891584 0.00130526 0.0036845 0.995691 0.00215352 0.00377846 448864 95610
0.994717 0.0269079 0.00751681 0.00708129 0.866583 0.00519276 0.0128401 448864 95610
0.987123 0.0355809 0.0101701 0.00849352 0.787083 0.00938809 0.0195128 448864 95610
0.979529 0.0402884 0.0128763 0.00983395 0.728763 0.0125607 0.0232944 448864 95610
0.971935 0.0420105 0.0136884 0.00996587 0.684374 0.0160104 0.0260385 448864 95610
0.964342 0.0416139 0.0148659 0.00929869 0.652359 0.020655 0.0283117 448864 95610
0.956748 0.0395131 0.0138015 0.0084504 0.623899 0.0261895 0.0330497 448864 95610
0.949154 0.0376395 0.0149777 0.00770527 0.599759 0.0304047 0.036301 448864 95610
0.941560 0.0361936 0.0146449 0.00750198 0.572848 0.0365237 0.0372586 448864 95610
0.933967 0.035142 0.0142657 0.00757085 0.546847 0.0394849 0.0406241 448864 95610
0.926373 0.0335892 0.013064 0.0076929 0.516912 0.0431923 0.0396133 448864 95610
0.918779 0.0316644 0.0134502 0.00703096 0.48998 0.0454774 0.0414464 448864 95610
0.911185 0.0304658 0.0138634 0.00670877 0.464272 0.0490324 0.041785 448864 95610
0.903592 0.0287615 0.0142913 0.00631907 0.439473 0.053877 0.0408486 448864 95610
0.895998 0.0276654 0.0141793 0.00625958 0.417132 0.0549982 0.041839 448864 95610
0.888404 0.0265247 0.014291 0.0059482 0.392082 0.0553769 0.0416981 448864 95610
0.880810 0.0255289 0.0148148 0.00620805 0.365945 0.0570911 0.0430374 448864 95610
0.873217 0.0246378 0.0151003 0.00645246 0.339515 0.0585601 0.0407121 448864 95610
0.865623 0.0240385 0.0153471 0.00677905 0.314214 0.062748 0.0370974 448864 95610
0.858029 0.0219621 0.0157935 0.00610883 0.297919 0.0654805 0.0381218 448864 95610
0.850435 0.0203113 0.0152026 0.00597286 0.280619 0.0680919 0.0392242 448864 95610
0.842842 0.0183552 0.0153869 0.00560818 0.260747 0.069649 0.035926 448864 95610
0.835248 0.0168982 0.0154156 0.00520682 0.243468 0.0708282 0.0379091 448864 95610
0.827654 0.0156952 0.0153937 0.00512682 0.225991 0.072026 0.0386287 448864 95610
0.820060 0.0147728 0.0158024 0.00493869 0.208524 0.07446 0.0381764 448864 95610
0.812467 0.0136433 0.0163561 0.00472866 0.192877 0.0750963 0.0371236 448864 95610
0.804873 0.0126118 0.016397 0.00461872 0.179354 0.0762214 0.0371901 448864 95610
