#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.000782473 0.00384123 0.000782473 8.625 8.875 28116
9.00 0.00211723 0.0150626 0.00211723 8.875 9.125 49593
9.25 0.00392285 0.035361 0.0039186 9.125 9.375 235033
9.50 0.0029759 0.0735356 0.00293432 9.375 9.625 889814
9.75 0.00281413 0.136342 0.00224219 9.625 9.875 2.52298e+06
10.00 0.00251959 0.160828 0.00159409 9.875 10.125 3.64781e+06
10.25 0.00201846 0.164138 0.0012831 10.125 10.375 2.63617e+06
10.50 0.00174271 0.146661 0.00105004 10.375 10.625 1.65777e+06
10.75 0.00187468 0.136434 0.000665705 10.625 10.875 1.02951e+06
11.00 0.00251257 0.136027 -0.000486162 10.875 11.125 630430
11.25 0.00471818 0.142854 -0.00286445 11.125 11.375 366667
11.50 0.0125344 0.155615 -0.00623365 11.375 11.625 214290
11.75 0.0386844 0.15807 -0.00984102 11.625 11.875 123926
12.00 0.120871 0.167651 -0.00434686 11.875 12.125 71713
12.25 0.25782 0.146524 0.00335827 12.125 12.375 41110
12.50 0.335939 0.145338 0.015822 12.375 12.625 23028
12.75 0.290315 0.174821 0.0157522 12.625 12.875 12855
13.00 0.229279 0.166694 0.0218273 12.875 13.125 7070
13.25 0.206522 0.131826 0.0341268 13.125 13.375 3680
13.50 0.188298 0.109845 0.0363319 13.375 13.625 1880
13.75 0.170996 0.0964716 0.0400826 13.625 13.875 924
14.00 0.176623 0.0987013 0.0545455 13.875 14.125 385
14.25 0.163522 0.0503145 0.0503145 14.125 14.375 159
14.50 0.166667 0 0.133333 14.375 14.625 30
14.75 0 0.222222 0 14.625 14.875 9
15.00 0 0.5 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
