#Peak halo mass range: 10.125 < log10(Mh/Msun) < 10.375
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 2.35383e+06
#Bestfit SF halos in bin: 2.35229e+06
#Bestfit Q halos in bin: 1540
#Bestfit central halos in bin: 1.88368e+06
#Bestfit satellite halos in bin: 470154
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000000 0.057873
0.059561 8.79566e-07 1.08331e-06 8.53685e-07 8.80141e-07 1.17335e-06 8.59423e-07 0 0 0 0 0 0 4.40356e-06 5.46127e-06 4.27338e-06 0.057873 0.061248
0.062373 2.2553e-06 3.16384e-06 2.139e-06 2.25678e-06 2.99622e-06 2.14372e-06 0 1.68845e-06 0 0 0 0 1.12912e-05 1.61299e-05 1.06995e-05 0.061248 0.063498
0.064623 2.55081e-06 2.76483e-06 2.34791e-06 2.47285e-06 2.68866e-06 2.29408e-06 0.000121636 -8.94314e-05 0.000121636 0 0 0 1.27707e-05 1.41206e-05 1.17014e-05 0.063498 0.065748
0.066873 5.21908e-06 4.75588e-06 4.65115e-06 5.04604e-06 4.23128e-06 4.56244e-06 0.000269532 -0.000186736 0.000269532 0 0 0 2.61294e-05 2.36054e-05 2.32081e-05 0.065748 0.067998
0.069123 1.21031e-05 8.55352e-06 1.06394e-05 1.19406e-05 8.71605e-06 1.06176e-05 0.000260349 -0.000103222 0.000260349 1.01793e-07 1.77192e-07 9.31762e-08 6.01864e-05 4.26521e-05 5.27565e-05 0.067998 0.070248
0.071373 2.08604e-05 1.68988e-05 1.79125e-05 2.05804e-05 1.35009e-05 1.81133e-05 0.000448426 -3.26452e-05 0.000448426 1.68804e-07 2.93163e-07 1.5127e-07 0.000103761 8.28638e-05 8.88255e-05 0.070248 0.072498
0.073623 3.37591e-05 2.82291e-05 2.84704e-05 3.30448e-05 2.20783e-05 2.89151e-05 0.00112481 -2.81202e-05 0.00110107 5.44006e-07 7.53852e-07 4.65281e-07 0.000166836 0.000142965 0.000140255 0.072498 0.074748
0.075873 6.16701e-05 5.20316e-05 5.0237e-05 6.06128e-05 4.04261e-05 5.09198e-05 0.0016767 -0.00012191 0.00164464 7.8369e-07 1.05237e-06 6.68119e-07 0.000305612 0.000260077 0.000247175 0.074748 0.076998
0.078123 0.000102589 8.41114e-05 8.03153e-05 0.000100398 6.59297e-05 8.15487e-05 0.00345003 -0.00115111 0.003401 2.19663e-06 2.76377e-06 1.79631e-06 0.000504814 0.000397675 0.000394418 0.076998 0.079248
