#Peak halo mass range: 10.625 < log10(Mh/Msun) < 10.875
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 1.08758e+06
#Bestfit SF halos in bin: 1.08756e+06
#Bestfit Q halos in bin: 17
#Bestfit central halos in bin: 743762
#Bestfit satellite halos in bin: 343814
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 4.73733e-10 2.21926e-09 4.73733e-10 4.73741e-10 2.04287e-09 4.73741e-10 0 0 0 0 0 0 1.49855e-09 7.40964e-09 1.49855e-09 0.000000 0.057873
0.059561 4.4764e-09 1.96646e-08 4.4764e-09 4.47647e-09 1.9665e-08 4.47647e-09 0 0 0 0 0 0 1.41601e-08 6.53658e-08 1.41601e-08 0.057873 0.061248
0.062373 1.84308e-07 6.66454e-07 1.68929e-07 1.84311e-07 6.61265e-07 1.68421e-07 0 3.95588e-08 0 0 0 0 5.83017e-07 2.20265e-06 5.29707e-07 0.061248 0.063498
0.064623 6.54391e-07 1.72847e-06 6.03767e-07 6.54402e-07 1.48629e-06 6.04907e-07 0 4.42746e-06 0 3.50437e-07 6.03622e-07 3.30407e-07 1.31193e-06 3.9702e-06 1.20032e-06 0.063498 0.065748
0.066873 1.00643e-05 8.23523e-06 9.02864e-06 1.00645e-05 4.21139e-06 9.48655e-06 0 0.000792256 -5.43209e-08 3.12325e-07 4.43423e-07 2.94642e-07 3.11604e-05 2.73583e-05 2.79764e-05 0.065748 0.067998
0.069123 2.13455e-05 1.43079e-05 1.77393e-05 2.13458e-05 8.48622e-06 1.91503e-05 0 0.00366806 -2.70303e-05 1.32881e-06 1.82777e-06 1.19311e-06 6.46469e-05 4.32234e-05 5.42973e-05 0.067998 0.070248
0.071373 2.9201e-05 1.99669e-05 2.4691e-05 2.91772e-05 1.85881e-05 2.53157e-05 0.00155505 0.00288351 0.00151168 3.0014e-06 3.25089e-06 2.54119e-06 8.58779e-05 5.98449e-05 7.23301e-05 0.070248 0.072498
0.073623 5.68689e-05 4.11286e-05 4.59324e-05 5.66972e-05 3.75824e-05 4.75473e-05 0.0110395 0.00885255 0.0109352 6.5258e-06 7.93144e-06 4.93454e-06 0.000165774 0.00011497 0.000133653 0.072498 0.074748
0.075873 9.85762e-05 7.14557e-05 7.63216e-05 9.83317e-05 6.92677e-05 7.89527e-05 0.0157348 0.00956769 0.015559 1.76928e-05 1.71599e-05 1.34203e-05 0.000273549 0.000194416 0.000213435 0.074748 0.076998
0.078123 0.000150756 0.000116951 0.000112866 0.000150448 0.000100036 0.000118226 0.019852 0.00802995 0.0195577 2.88651e-05 2.90632e-05 2.16335e-05 0.000414437 0.000308135 0.000310919 0.076998 0.079248
