#Peak halo mass range: 14.375 < log10(Mh/Msun) < 14.625
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 2
#Bestfit SF halos in bin: 0
#Bestfit Q halos in bin: 2
#Bestfit central halos in bin: 2
#Bestfit satellite halos in bin: 0
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000000 0.057873
0.059561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057873 0.061248
0.062373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.061248 0.063498
0.064623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.063498 0.065748
0.066873 0 0.102414 0 0 0 0 0 0.102414 0 0 0.102414 0 0 0 0 0.065748 0.067998
0.069123 0.0107499 0.192854 0.0107499 0 0 0 0.0107499 0.192854 0.0107499 0.0107499 0.192854 0.0107499 0 0 0 0.067998 0.070248
0.071373 0.516235 0.358632 0.481687 0 0 0 0.516235 0.358632 0.481687 0.516235 0.358632 0.481687 0 0 0 0.070248 0.072498
0.073623 0.275987 0.510028 0.233951 0 0 0 0.275987 0.510028 0.233951 0.275987 0.510028 0.233951 0 0 0 0.072498 0.074748
0.075873 0.463735 0.679599 0.378023 0 0 0 0.463735 0.679599 0.378023 0.463735 0.679599 0.378023 0 0 0 0.074748 0.076998
0.078123 0.735161 0.804928 0.549924 0 0 0 0.735161 0.804928 0.549924 0.735161 0.804928 0.549924 0 0 0 0.076998 0.079248
0.080373 1.65524 1.38329 1.1943 0 0 0 1.65524 1.38329 1.1943 1.65524 1.38329 1.1943 0 0 0 0.079248 0.081498
0.082904 2.55894 1.87199 1.85949 0 0 0 2.55894 1.87199 1.85949 2.55894 1.87199 1.85949 0 0 0 0.081498 0.084311
0.085998 5.42484 3.14334 3.51551 0 0 0 5.42484 3.14334 3.51551 5.42484 3.14334 3.51551 0 0 0 0.084311 0.087685
0.089373 8.74708 4.09044 5.07131 0 0 0 8.74708 4.09044 5.07131 8.74708 4.09044 5.07131 0 0 0 0.087685 0.091061
0.092748 8.28797 4.47688 4.85684 0 0 0 8.28797 4.47688 4.85684 8.28797 4.47688 4.85684 0 0 0 0.091061 0.094435
0.096123 12.2393 6.02624 6.22701 0 0 0 12.2393 6.02624 6.22701 12.2393 6.02624 6.22701 0 0 0 0.094435 0.097811
0.099498 13.2031 7.30765 6.85833 0 0 0 13.2031 7.30765 6.85833 13.2031 7.30765 6.85833 0 0 0 0.097811 0.101186
0.102873 15.518 5.93709 7.74295 0 0 0 15.518 5.93709 7.74295 15.518 5.93709 7.74295 0 0 0 0.101186 0.104560
0.106248 16.0781 6.95391 8.43378 0 0 0 16.0781 6.95391 8.43378 16.0781 6.95391 8.43378 0 0 0 0.104560 0.107936
0.109623 16.9883 7.8879 7.23015 0 0 0 16.9883 7.8879 7.23015 16.9883 7.8879 7.23015 0 0 0 0.107936 0.111310
0.112998 39.8585 20.1391 15.687 0 0 0 39.8585 20.1391 15.687 39.8585 20.1391 15.687 0 0 0 0.111310 0.114686
0.116373 52.4548 22.4101 25.4453 0 0 0 52.4548 22.4101 25.4453 52.4548 22.4101 25.4453 0 0 0 0.114686 0.118060
0.119748 57.7166 21.7228 25.6613 0 0 0 57.7166 21.7228 25.6613 57.7166 21.7228 25.6613 0 0 0 0.118060 0.121435
