#Observed stellar mass range: 11 < log10(M*/Msun) < 11.2
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.268356 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 21
#Bestfit SF galaxies in bin: 18
#Bestfit Q galaxies in bin: 3
#Bestfit central galaxies in bin: 19
#Bestfit satellite galaxies in bin: 2
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.00900944 0.00597004 0.00900944 0.010511 0.0064554 0.010511 0 0 0 0.0055165 0.00730854 0.0055165 0.0421925 -0.0421925 0.0421925 0.000000 0.057873
0.059561 0.246998 0.314574 0.246998 0.213673 0.322711 0.213673 0.446949 -0.238155 0.446949 0.217322 0.350959 0.217322 0.528925 -0.528925 0.528925 0.057873 0.061248
0.062373 1.73813 0.344191 1.73813 1.27432 0.219374 1.27432 4.52103 -2.23791 4.52103 1.26062 0.647727 1.26062 6.27448 -6.27448 6.27448 0.061248 0.063498
0.064623 2.71346 0.105483 2.68565 2.13596 0.442679 2.11181 6.17844 -2.46622 6.17844 1.8103 1.08822 1.78318 11.2935 -11.2935 11.2935 0.063498 0.065748
0.066873 3.74088 1.12203 3.697 2.77187 1.93352 2.73327 9.5549 -4.98235 9.5549 3.61597 1.25507 3.56414 4.92747 -4.89137 4.92747 0.065748 0.067998
0.069123 3.50519 2.17855 3.31561 1.71147 3.81023 1.54984 14.2675 -7.59804 14.2675 3.61419 2.31464 3.36142 2.46972 -2.38313 2.46972 0.067998 0.070248
0.071373 3.70732 2.19306 3.38792 1.63155 3.99435 1.34203 16.162 -8.68176 16.162 3.9013 2.32405 3.50239 1.86455 -1.70209 1.86455 0.070248 0.072498
0.073623 5.14726 3.37535 4.74568 2.02176 6.26257 1.64157 23.9003 -14.9646 23.9003 5.51625 3.72004 5.00287 1.64189 -1.36611 1.64189 0.072498 0.074748
0.075873 8.36735 4.41722 7.68188 4.7794 7.23717 4.12881 29.8951 -15.3858 29.8951 8.98291 4.38278 8.17463 2.51958 -2.09346 2.51958 0.074748 0.076998
0.078123 15.839 -0.583517 14.9781 8.17361 5.92235 7.31273 61.8312 -34.403 61.8312 17.1979 -0.682208 16.1939 2.9296 -2.53079 2.9296 0.076998 0.079248
0.080373 20.2862 11.0309 19.1641 9.04443 5.16316 8.00312 87.7371 -3.43729 87.7371 22.1797 10.2541 20.9284 2.29798 -1.64768 2.29798 0.079248 0.081498
0.082904 23.2822 6.30622 21.7818 5.9912 5.94559 5.0038 127.029 -93.3606 127.029 25.3089 5.61697 23.7541 4.02917 -2.7928 4.02917 0.081498 0.084311
0.085998 46.4987 -8.68731 43.1594 16.9431 6.68475 14.1279 223.832 -157.975 223.832 50.6541 -9.27151 46.7538 7.02263 -3.68296 7.02263 0.084311 0.087685
0.089373 74.1447 -12.5799 69.016 27.0462 8.63824 22.4923 356.735 -142.444 356.735 78.7849 -10.6384 73.3296 30.0626 -13.0926 30.0626 0.087685 0.091061
0.092748 73.3059 -13.5664 66.4876 31.6243 3.63114 25.4902 323.395 -125.657 323.395 70.4353 -7.87585 62.5754 100.577 -91.1036 100.577 0.091061 0.094435
0.096123 72.6937 -0.948157 64.3284 42.0669 8.66682 34.471 256.454 -20.454 256.454 69.0463 4.93562 59.8237 107.344 -88.5292 107.344 0.094435 0.097811
0.099498 116.938 -20.3924 95.7774 59.1132 18.1814 43.0279 463.889 -131.02 463.889 116.791 -20.099 100.913 118.336 -2.46778 118.336 0.097811 0.101186
0.102873 110.958 0.967734 87.4411 66.7372 28.6628 46.7845 376.281 -72.4404 376.281 114.447 -1.87199 92.0808 77.8085 4.90827 77.8085 0.101186 0.104560
0.106248 130.886 -4.73791 84.9234 95.9059 19.337 55.5183 340.767 -103.389 340.767 136.553 -10.4051 102.904 77.0477 73.7193 77.0477 0.104560 0.107936
0.109623 153.345 46.2271 80.5556 149.632 27.7129 83.6814 175.621 106.885 175.621 148.451 41.3712 107.622 199.841 115.445 199.841 0.107936 0.111310
0.112998 174.95 28.098 77.506 173.164 32.0757 81.1097 185.666 103.572 185.666 163.496 41.7434 89.01 283.76 110.672 283.76 0.111310 0.114686
0.116373 191.951 56.2274 76.7335 197.653 33.9237 84.5262 157.743 165.044 157.743 173.648 59.4836 77.0143 365.832 71.0776 365.832 0.114686 0.118060
0.119748 193.784 82.9006 65.5389 200.375 74.5506 81.4662 154.237 197.246 154.237 185.315 78.6644 72.7498 274.241 105.085 274.241 0.118060 0.121435
0.123123 196.875 83.9372 53.1792 209.848 68.8518 62.221 119.032 234.625 119.032 201.846 89.681 62.9139 149.648 211.431 149.648 0.121435 0.124811
0.126498 206.877 97.3719 49.5 228.198 79.2554 66.2172 78.9483 186.75 78.9483 227.783 96.2659 73.3308 8.26167 258.149 8.26167 0.124811 0.128185
0.129873 234.269 137.344 58.8518 257.718 113.478 75.0028 93.5706 223.505 93.5706 257.703 116.526 93.7256 11.6421 389.308 11.6421 0.128185 0.131561
0.133248 216.971 182.452 38.6799 239.62 148.092 52.5925 81.0763 166.727 81.0763 237.261 149.804 66.2596 24.2131 428.426 24.2131 0.131561 0.134935
0.137045 196.302 179.998 36.5732 218.611 168.732 48.2352 62.4472 104.472 62.4472 213.698 158.151 52.6598 31.0367 263.277 31.0367 0.134935 0.139154
0.141685 230.611 131.61 62.9565 269.02 131.239 90.1964 0.157127 -0.0104724 0.157127 253.441 115.573 84.6382 13.7304 284.268 13.7304 0.139154 0.144217
0.146748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.144217 0.149279
0.151810 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.149279 0.154342
0.156873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.154342 0.159404
0.161935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.159404 0.164467
0.166998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.164467 0.169529
0.172060 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.169529 0.174591
0.177123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.174591 0.179654
0.182185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.179654 0.184716
0.187248 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.184716 0.189779
0.192310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.189779 0.194842
0.197373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.194842 0.199904
0.202435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.199904 0.204967
0.207498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.204967 0.210029
0.212560 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.210029 0.215091
0.217623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.215091 0.220154
0.222685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.220154 0.225217
0.227748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.225217 0.230279
0.232810 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.230279 0.235342
0.237873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.235342 0.240404
0.242935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.240404 0.245467
0.247998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.245467 0.250529
0.253060 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.250529 0.255592
0.258123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.255592 0.260654
0.263185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.260654 0.265716
0.268248 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.265716 0.270779
0.273310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.270779 0.275842
0.278373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.275842 0.280904
0.283435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.280904 0.285967
0.288498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.285967 0.291029
0.293560 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.291029 0.296091
0.298623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.296091 0.301154
0.303685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.301154 0.306217
0.308748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.306217 0.311279
0.313810 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.311279 0.316341
0.318873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.316341 0.321404
0.323935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.321404 0.326466
0.328997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.326466 0.331528
0.334060 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.331528 0.336591
0.339122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.336591 0.341653
0.344185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.341653 0.346716
0.349247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.346716 0.351779
0.354310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.351779 0.356841
0.359372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.356841 0.361903
0.364435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.361903 0.366966
0.369497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.366966 0.372028
0.374560 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.372028 0.377091
0.379622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.377091 0.382154
0.384685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.382154 0.387216
0.389747 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.387216 0.392278
0.394810 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.392278 0.397341
0.399872 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.397341 0.402404
0.404935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.402404 0.407466
0.409997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.407466 0.412529
0.415060 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.412529 0.417591
0.420122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.417591 0.422653
0.425185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.422653 0.427716
0.430247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.427716 0.432779
0.435310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.432779 0.437841
0.440372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.437841 0.442903
0.445435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.442903 0.447966
0.450497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.447966 0.453029
0.455560 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.453029 0.458091
0.460622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.458091 0.463154
0.465685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.463154 0.468216
0.470747 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.468216 0.473278
