#Observed stellar mass range: 11.8 < log10(M*/Msun) < 12
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.232038 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 8
#Bestfit SF galaxies in bin: 1
#Bestfit Q galaxies in bin: 7
#Bestfit central galaxies in bin: 8
#Bestfit satellite galaxies in bin: 0
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000000 0.057873
0.059561 0.259734 0.376039 0.259734 0 0 0 0.296839 0.338934 0.296839 0.259734 0.376039 0.259734 0 0 0 0.057873 0.061248
0.062373 0.41821 0.573773 0.41821 0 0 0 0.477955 0.64562 0.477955 0.41821 0.628882 0.41821 0 0 0 0.061248 0.063498
0.064623 0.983824 0.888642 0.956249 0 0 0 1.12437 0.909396 1.09452 0.983824 0.888642 0.955981 0 0 0 0.063498 0.065748
0.066873 4.93316 2.51875 4.76829 0 0.00443984 0 5.6379 2.82061 5.43957 4.93316 2.51875 4.75527 0 0 0 0.065748 0.067998
0.069123 13.1068 1.22393 12.655 0 0.0188793 0 14.9791 2.21495 14.4772 13.1068 1.94776 12.6364 0 0 0 0.067998 0.070248
0.071373 27.8039 -10.2419 27.1384 0 0.11034 0 31.7758 -11.4526 31.0779 27.8039 -10.2419 27.1349 0 0 0 0.070248 0.072498
0.073623 1.04694 9.44676 0.29491 0 0.093333 0 1.19651 11.1858 0.311701 1.04694 9.56649 0.169571 0 0 0 0.072498 0.074748
0.075873 1.69522 10.8758 0.510765 0 0.307786 0 1.9374 12.0876 0.578098 1.69522 11.1333 0.459496 0 0 0 0.074748 0.076998
0.078123 5.20778 9.38688 3.82409 0 0.445415 0 5.95175 10.1942 4.19178 5.20778 9.46772 3.79347 0 0.00296903 0 0.076998 0.079248
0.080373 6.35497 11.931 4.50702 0 0.592043 0 7.26282 12.7813 4.88212 6.35497 12.3661 4.37503 0 0.0281808 0 0.079248 0.081498
0.082904 8.3552 11.4923 5.83273 0 0.608365 0 9.5488 13.0042 6.72717 8.3552 11.9817 5.78376 0 0.0840943 0 0.081498 0.084311
0.085998 8.51026 14.9993 5.0537 0.00127646 1.39494 0.00127646 9.72583 17.082 5.7713 8.51026 15.384 4.91518 0 0.273116 0 0.084311 0.087685
0.089373 15.6856 17.0724 11.2964 0.00458728 1.37412 0.00458728 17.9257 19.584 12.8732 15.6856 17.0724 10.9504 0 0.414552 0 0.087685 0.091061
0.092748 12.5085 22.1527 6.09203 0.0108671 2.96577 0.0108671 14.2939 23.0934 6.70916 12.5085 22.8145 5.83718 0 0.496262 0 0.091061 0.094435
0.096123 13.5375 23.946 5.663 0.014343 2.60499 0.014343 15.4694 28.8149 6.64706 13.5375 23.946 5.19605 0 0.407608 0 0.094435 0.097811
0.099498 12.8853 21.125 4.8487 0.0721363 4.71971 0.0721363 14.7158 22.7055 5.5624 12.8853 21.9148 4.73612 0 0.631969 0 0.097811 0.101186
0.102873 13.2312 29.2319 4.74902 0.286518 4.20861 0.286518 15.0804 30.147 5.7749 13.2312 29.2319 4.70929 0 1.66623 0 0.101186 0.104560
0.106248 18.4342 23.2369 9.121 1.32054 5.22807 1.32054 20.879 25.3696 10.1837 18.4342 25.1871 8.86631 0 2.82087 0 0.104560 0.107936
0.109623 25.5287 36.5415 10.5096 5.11829 2.68394 5.11829 28.4444 40.3146 11.3602 25.5287 39.3286 10.4334 0 3.84295 0 0.107936 0.111310
0.112998 28.6816 53.9829 11.2399 5.76878 2.53917 5.76878 31.9549 53.8768 10.942 28.6816 55.3817 10.1341 0 4.10721 0 0.111310 0.114686
0.116373 39.6164 94.611 16.3202 2.633 5.65892 2.633 44.8997 94.9069 16.3453 39.6164 103.634 16.1041 0 2.38545 0 0.114686 0.118060
0.119748 48.7932 77.6483 22.0982 0.966681 8.42032 0.966681 55.6255 92.7681 23.2459 48.7932 79.2802 20.3757 0 2.16269 0 0.118060 0.121435
0.123123 50.4985 85.981 21.9418 0.494802 12.5707 0.494802 57.6419 84.857 25.0018 50.4985 86.0109 19.6815 0 1.67209 0 0.121435 0.124811
0.126498 59.8842 84.3298 28.8151 0.490825 9.70235 0.490825 68.369 84.8984 31.3949 59.8842 87.7981 27.5409 0 2.13974 0 0.124811 0.128185
