#Observed stellar mass range: 9.2 < log10(M*/Msun) < 9.4
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.173419 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 102450
#Bestfit SF galaxies in bin: 77597
#Bestfit Q galaxies in bin: 24853
#Bestfit central galaxies in bin: 64049
#Bestfit satellite galaxies in bin: 38401
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 9.75659e-07 -3.70645e-07 9.75659e-07 0 0 0 4.0219e-06 -2.41669e-06 4.0219e-06 0 0 0 2.60296e-06 -9.79679e-07 2.60296e-06 0.000000 0.057873
0.059561 1.08166e-05 -2.76376e-06 1.08166e-05 0 0 0 4.45885e-05 -3.0031e-05 4.45885e-05 0 0 0 2.88575e-05 -6.29562e-06 2.88575e-05 0.057873 0.061248
0.062373 1.82506e-05 -3.28307e-06 1.82077e-05 7.60382e-08 4.49984e-07 7.56692e-08 7.49957e-05 -2.79265e-05 7.4985e-05 9.21223e-08 5.68657e-07 9.15324e-08 4.8537e-05 -1.4074e-05 4.85276e-05 0.061248 0.063498
0.064623 3.73716e-05 6.47241e-06 3.68935e-05 2.041e-06 5.09819e-06 1.94081e-06 0.000147682 1.96786e-05 0.000147033 2.47273e-06 4.32619e-06 2.37074e-06 9.55795e-05 1.12538e-05 9.48016e-05 0.063498 0.065748
0.066873 7.14046e-05 4.12227e-06 6.92861e-05 1.58859e-05 9.31551e-06 1.52109e-05 0.000244747 4.12836e-06 0.000241387 7.78819e-06 8.0144e-06 7.40571e-06 0.00017751 7.43511e-06 0.000172523 0.065748 0.067998
0.069123 0.000109794 3.72308e-05 0.000100506 4.42815e-05 3.53532e-05 4.02251e-05 0.000314341 0.00013347 0.000298742 3.15286e-05 3.05106e-05 2.87865e-05 0.000240334 7.21403e-05 0.00022408 0.067998 0.070248
0.071373 0.000183885 8.42469e-05 0.000160578 7.9318e-05 9.56989e-05 6.80429e-05 0.00051037 0.000270397 0.000459251 5.80943e-05 0.000109827 5.07293e-05 0.000393693 0.000143389 0.000356391 0.070248 0.072498
0.073623 0.000295979 0.000230529 0.000230523 0.000176533 0.000168 0.000143122 0.000668918 0.000535339 0.000543208 8.51485e-05 0.00021464 6.71871e-05 0.000647624 0.000357765 0.000532589 0.072498 0.074748
0.075873 0.000494198 0.000333359 0.000380684 0.000295314 0.000231005 0.000229034 0.00111516 0.000629432 0.000878582 0.000184308 0.000216998 0.000137812 0.00101106 0.0006003 0.000796089 0.074748 0.076998
0.078123 0.0007289 0.000417423 0.000550269 0.000440348 0.000271844 0.000326897 0.00162983 0.000906384 0.00123373 0.000352497 0.000266222 0.000259405 0.0013567 0.000720637 0.0010335 0.076998 0.079248
0.080373 0.00110397 0.000734982 0.00079575 0.000741857 0.00044074 0.000529095 0.00223456 0.00158161 0.00160534 0.000637983 0.000437129 0.000453584 0.00188118 0.00128575 0.0013525 0.079248 0.081498
0.082904 0.00147542 0.000960012 0.000977713 0.000998741 0.000655474 0.00067054 0.00296373 0.00183823 0.00195018 0.000969744 0.000714789 0.000626738 0.00231884 0.00145126 0.00153783 0.081498 0.084311
0.085998 0.00268293 0.00170799 0.00161824 0.00183297 0.00114835 0.00117467 0.00533672 0.00391957 0.00324039 0.00197128 0.000925169 0.00121488 0.00386989 0.0032101 0.00231291 0.084311 0.087685
0.089373 0.00387776 0.0023027 0.0022044 0.00290736 0.00172948 0.0017189 0.00690756 0.00458778 0.0039119 0.00281483 0.00162807 0.00168089 0.00565061 0.00381796 0.00311426 0.087685 0.091061
0.092748 0.00551676 0.00316149 0.00304218 0.00424481 0.00239133 0.00233575 0.0094881 0.00538753 0.00514236 0.00413864 0.0022632 0.00228073 0.00781532 0.00480063 0.00412603 0.091061 0.094435
0.096123 0.00743238 0.00367848 0.00390697 0.00586944 0.00282379 0.00301093 0.0123123 0.00642697 0.00635392 0.00570773 0.00266007 0.00300257 0.0103089 0.00570431 0.00514695 0.094435 0.097811
0.099498 0.00945355 0.00409888 0.00465473 0.00756406 0.00339533 0.00362841 0.015353 0.00696624 0.00745551 0.00734051 0.00340261 0.00367548 0.0129779 0.00581956 0.00613988 0.097811 0.101186
0.102873 0.0113475 0.00483037 0.00506947 0.00926689 0.00413931 0.00410533 0.0178435 0.00789142 0.00788939 0.00897188 0.00413895 0.0040952 0.0153097 0.00691608 0.00657233 0.101186 0.104560
0.106248 0.0134696 0.00587458 0.00543779 0.0112109 0.00497643 0.00464226 0.0205217 0.008151 0.00834539 0.0108805 0.00457679 0.00455649 0.017788 0.0082673 0.00690011 0.104560 0.107936
0.109623 0.0156611 0.00588067 0.00596145 0.013117 0.00514895 0.00489991 0.0236042 0.00887411 0.00884274 0.0128682 0.00495082 0.00503244 0.0203193 0.00803137 0.00733603 0.107936 0.111310
0.112998 0.0177453 0.00643239 0.00643694 0.0148851 0.00521425 0.00530067 0.0266755 0.00901277 0.00972346 0.0147311 0.00514417 0.00533458 0.0227727 0.00885757 0.00784848 0.111310 0.114686
0.116373 0.0194198 0.00675046 0.00647711 0.0160271 0.00572984 0.00518493 0.0300128 0.0100559 0.010445 0.015836 0.00540247 0.00534223 0.0253974 0.00881001 0.00800774 0.114686 0.118060
