#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.66851e+09 2.01909e-05 1.67099e-06 124021 3062.73 0 0 0 0.23438 1.61607e-05 0.234469 0.0485409 0.0470034 0.27312 1.41126e-05 0.278773 0.0347477 0.0475762 0.317716 5.31625e-06 0.321458 0.00893074 0.0162261 7230987
1.56626e+10 1.21528e-05 2.29664e-06 309042 8886.74 0 0 0 0.208487 2.82936e-05 0.204698 0.0499568 0.0397899 0.258687 2.50011e-05 0.261473 0.0374594 0.0423373 0.314813 8.91891e-06 0.31753 0.00981459 0.0147916 2304003
2.47493e+10 1.92127e-05 3.45067e-06 581351 14981.5 0 0 0 0.194421 3.34855e-05 0.189541 0.0493161 0.0368082 0.253407 2.90499e-05 0.25529 0.0361824 0.0391501 0.314612 9.78277e-06 0.316859 0.00921199 0.0133041 1613517
3.91154e+10 9.18662e-05 9.0957e-06 980391 24475.3 0 0 0 0.186259 3.90529e-05 0.181554 0.0459454 0.0353414 0.253106 3.32766e-05 0.254607 0.0343353 0.0363321 0.31509 1.09413e-05 0.317037 0.00871891 0.0121509 1110310
6.18724e+10 0.000379721 2.31047e-05 1.88439e+06 45829.3 0 0 0 0.184805 4.77904e-05 0.181174 0.0438136 0.0360514 0.256912 3.97136e-05 0.258318 0.0330228 0.0346169 0.316442 1.26451e-05 0.318173 0.00821495 0.0111499 711049
9.81496e+10 0.00149628 5.85102e-05 3.7412e+06 84683.3 0 0 0 0.187684 6.08272e-05 0.184983 0.0431428 0.0372588 0.261387 4.88975e-05 0.262818 0.0321378 0.0333869 0.317698 1.54515e-05 0.319305 0.00787383 0.0104507 436416
1.55531e+11 0.00468056 0.000132341 7.84989e+06 164345 0 0 0 0.192404 7.79312e-05 0.19018 0.0431185 0.0379089 0.265392 6.07101e-05 0.267051 0.0311454 0.0326448 0.318647 2.00273e-05 0.320314 0.00752142 0.0098657 265994
2.46285e+11 0.0129865 0.000281408 1.52201e+07 297027 0 0 0 0.19744 9.96031e-05 0.195787 0.0427083 0.0385976 0.269191 7.55355e-05 0.271224 0.029656 0.0318659 0.31944 2.7558e-05 0.321456 0.0069589 0.00960422 161861
3.90359e+11 0.0304797 0.000550697 2.80299e+07 521878 0 0 0 0.203095 0.000128172 0.201507 0.042944 0.0387574 0.273637 9.57717e-05 0.276196 0.0283697 0.0315998 0.320337 3.99887e-05 0.322954 0.00621191 0.00942558 97442
6.18227e+11 0.0676802 0.0010394 5.03141e+07 880879 0 0 0 0.209974 0.000168005 0.20907 0.0436345 0.0403972 0.278798 0.000123313 0.282465 0.0265985 0.0320713 0.320885 6.22827e-05 0.324758 0.00528955 0.0096671 58407
9.79604e+11 0.136077 0.00186447 8.6641e+07 1.47644e+06 0 0 0 0.216922 0.000226114 0.216607 0.0445585 0.0423347 0.282627 0.000167087 0.287882 0.0246407 0.0338084 0.319636 0.000102732 0.32572 0.00482973 0.0131218 33819
1.55097e+12 0.241958 0.00307749 1.40501e+08 2.41554e+06 0 3.79655e+08 0 0.218706 0.000300017 0.219402 0.0439049 0.0440356 0.280805 0.000233591 0.2873 0.0244728 0.0371512 0.315588 0.000166375 0.32473 0.00551429 0.024444 19367
2.45153e+12 0.400694 0.00474449 2.25892e+08 3.99797e+06 0 6.06006e+08 0 0.211791 0.000402754 0.212453 0.0426659 0.0441894 0.271155 0.000353544 0.278437 0.0278721 0.0436883 0.306897 0.000287968 0.319487 0.00936282 0.0380992 10669
3.89139e+12 0.577185 0.0064418 3.3483e+08 5.98949e+06 0 8.10788e+08 0 0.199899 0.00053152 0.199534 0.0435604 0.0417568 0.256706 0.000493278 0.261567 0.0336799 0.0434245 0.294983 0.000435032 0.305228 0.0200478 0.0441115 5882
6.15589e+12 0.745125 0.0081332 4.49639e+08 9.2495e+06 3.60165e+08 6.44577e+08 3.60165e+08 0.185242 0.000686097 0.183547 0.0389881 0.0344072 0.239443 0.000695755 0.241868 0.036546 0.0404101 0.279985 0.000671653 0.286782 0.0299332 0.0453116 2872
