#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
6.95691e+09 1 0 9.39514e+07 5.17779e+07 0 0 0 0.164098 0.00757497 0.157375 0.0359064 0.0179185 0.179371 0.00805365 0.167783 0.0496947 0.0134076 0.234631 0.00887101 0.237962 0.0315716 0.0575621 23
1.6166e+10 1 0 4.25433e+08 1.60049e+08 0 1.01076e+09 0 0.148913 0.00953829 0.141356 0.0342517 0.0303981 0.190439 0.0100893 0.183352 0.048448 0.0282996 0.257277 0.00977858 0.264609 0.0289392 0.0452954 15
2.58127e+10 1 0 4.79419e+08 9.62579e+07 3.60165e+08 8.49359e+08 3.60165e+08 0.146962 0.00657758 0.146325 0.0281844 0.0336943 0.189289 0.00700615 0.186456 0.0375127 0.0220568 0.256165 0.00581385 0.254219 0.0360292 0.0358779 29
4.13215e+10 1 0 3.9496e+08 5.1503e+07 0 1.01076e+09 0 0.15357 0.00346307 0.149241 0.0381973 0.0252148 0.197508 0.00370409 0.200788 0.0357365 0.0399233 0.265716 0.00313274 0.271126 0.0266165 0.0317143 96
6.54792e+10 1 0 5.30612e+08 3.73693e+07 4.04754e+08 7.36514e+08 4.04754e+08 0.148519 0.00213547 0.144718 0.0346857 0.0301516 0.196036 0.00204119 0.195602 0.0337279 0.0339084 0.260983 0.00206505 0.267076 0.0258364 0.0385055 260
1.02972e+11 1 0 5.09624e+08 2.26041e+07 3.60165e+08 7.81103e+08 3.60165e+08 0.154629 0.00134716 0.152228 0.0345605 0.0307052 0.202179 0.00136193 0.202283 0.0355199 0.035162 0.265445 0.00122961 0.270189 0.0242873 0.0359838 619
1.60882e+11 1 0 5.47747e+08 1.71419e+07 4.66944e+08 7.38705e+08 4.66944e+08 0.15911 0.000969492 0.157297 0.0343942 0.0314218 0.209211 0.000977208 0.20818 0.0342862 0.033067 0.268193 0.000953065 0.275565 0.0238843 0.0413885 1190
2.54924e+11 1 0 5.3437e+08 1.31958e+07 4.66944e+08 6.74324e+08 4.66944e+08 0.165975 0.000798981 0.163456 0.036232 0.0313655 0.21879 0.000800536 0.219493 0.0340767 0.0349935 0.272826 0.00076399 0.280388 0.0242163 0.0412251 1864
3.99777e+11 1 0 5.81784e+08 1.14647e+07 5.36715e+08 6.04553e+08 5.36715e+08 0.170999 0.000742858 0.169731 0.0371215 0.0344053 0.224781 0.000715251 0.226091 0.0341209 0.0360848 0.275517 0.000671584 0.282477 0.0243604 0.0402807 2341
6.30586e+11 1 0 5.52851e+08 1.06382e+07 5.36715e+08 6.04553e+08 5.36715e+08 0.179998 0.000729527 0.177909 0.038874 0.0346028 0.234696 0.000708787 0.236412 0.0361197 0.0386294 0.280115 0.000643392 0.287278 0.0241243 0.0409606 2537
9.91315e+11 1 0 5.79217e+08 1.12475e+07 5.36715e+08 6.04553e+08 5.36715e+08 0.186488 0.000834431 0.185282 0.0408912 0.0376424 0.239723 0.00078065 0.241628 0.0356898 0.0388669 0.280633 0.0007011 0.287369 0.024745 0.04093 2165
1.55768e+12 1 0 5.86429e+08 1.34453e+07 5.36715e+08 6.04553e+08 5.36715e+08 0.191803 0.00101545 0.191514 0.0413781 0.041287 0.245806 0.000898214 0.249841 0.0308534 0.0405299 0.281713 0.000808481 0.287577 0.0250007 0.0386188 1508
2.44436e+12 1 0 6.58784e+08 1.76434e+07 6.06006e+08 5.99643e+08 6.06006e+08 0.19053 0.00132176 0.19025 0.0422451 0.0400387 0.241188 0.00126684 0.245104 0.0365762 0.0434368 0.275243 0.00116769 0.282336 0.0275137 0.0434955 912
3.87499e+12 1 0 7.30521e+08 2.30738e+07 7.43049e+08 4.626e+08 7.43049e+08 0.185977 0.00162286 0.185565 0.0384979 0.0363757 0.234424 0.00157725 0.237607 0.0356411 0.0404891 0.269022 0.0015242 0.273381 0.030895 0.0379235 515
6.04737e+12 1 0 7.47581e+08 3.50885e+07 6.74785e+08 6.57828e+08 6.74785e+08 0.176236 0.00217965 0.175591 0.0329782 0.0310338 0.226824 0.00230949 0.231855 0.029534 0.0394868 0.262794 0.00235912 0.267546 0.0293737 0.0415653 225
9.68211e+12 1 0 7.35267e+08 4.92587e+07 6.74785e+08 5.30864e+08 6.74785e+08 0.173981 0.00325226 0.170855 0.0373676 0.0289947 0.219246 0.00369339 0.215245 0.0471816 0.0322643 0.258002 0.00353893 0.261587 0.0397461 0.044814 105
1.45453e+13 1 0 8.07462e+08 8.64023e+07 8.10788e+08 4.58646e+08 4.50623e+08 0.161126 0.00665302 0.154542 0.0438779 0.0250014 0.205853 0.00699449 0.199071 0.0434833 0.036366 0.24285 0.00681277 0.243659 0.0407427 0.0505867 33
2.54924e+13 1 0 9.97099e+08 1.33849e+08 8.77994e+08 3.91441e+08 2.71987e+08 0.162172 0.00917521 0.157451 0.0425941 0.0295903 0.204541 0.0100866 0.221768 0.0111837 0.0543341 0.2422 0.0108648 0.250511 0.0190623 0.0534361 11
3.49914e+13 1 0 1.07515e+09 1.30497e+08 1.20565e+09 0 2.60995e+08 0.140891 0.000836968 0.141728 0 0.00167394 0.164531 0.00821366 0.172744 0 0.0164273 0.201582 0.00787032 0.209452 0 0.0157406 2
