#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.66851e+09 2.01909e-05 1.67099e-06 124041 3063.22 0 0 0 0.232831 1.63929e-05 0.23281 0.0494226 0.0477219 0.270199 1.49817e-05 0.276373 0.0367831 0.0512161 0.314364 7.28518e-06 0.320203 0.0101075 0.0214928 7230987
1.56626e+10 1.21528e-05 2.29664e-06 309456 8902.33 0 0 0 0.206613 2.86954e-05 0.202696 0.0508675 0.0400013 0.254828 2.6921e-05 0.258119 0.0402639 0.0463913 0.311098 1.22943e-05 0.315627 0.0115625 0.0199463 2304003
2.47493e+10 1.92127e-05 3.45067e-06 582862 14997.2 0 0 0 0.192518 3.41092e-05 0.187381 0.0505223 0.0372773 0.249149 3.16045e-05 0.251543 0.0392959 0.0436882 0.311213 1.33679e-05 0.314962 0.0109208 0.0177085 1613517
3.91154e+10 9.18662e-05 9.0957e-06 983541 24493 0 0 0 0.184415 4.01416e-05 0.179087 0.0477323 0.0357835 0.249079 3.64007e-05 0.251012 0.0375119 0.0404707 0.312031 1.47127e-05 0.315271 0.0103087 0.0161265 1110310
6.18724e+10 0.000379721 2.31047e-05 1.91017e+06 45977.8 0 0 0 0.183083 4.95083e-05 0.17892 0.0460588 0.0369776 0.253475 4.34531e-05 0.25537 0.0359595 0.0385542 0.313823 1.67262e-05 0.316714 0.00959751 0.0146715 711049
9.81496e+10 0.00149628 5.85102e-05 3.83568e+06 85454.9 0 0 0 0.186236 6.32475e-05 0.18331 0.0453196 0.0388981 0.258537 5.32764e-05 0.260516 0.0346898 0.0371133 0.315442 2.01987e-05 0.31813 0.00905916 0.0136428 436416
1.55531e+11 0.00468056 0.000132341 8.19015e+06 167428 0 0 0 0.191323 8.09565e-05 0.189117 0.0449303 0.039793 0.26304 6.56835e-05 0.265348 0.0332089 0.036006 0.316648 2.57165e-05 0.319355 0.00851563 0.0127706 265994
2.46285e+11 0.0129865 0.000281408 1.63725e+07 305713 0 0 0 0.196714 0.00010308 0.195141 0.0441782 0.0403109 0.267304 8.108e-05 0.269934 0.0312462 0.0347383 0.317643 3.44622e-05 0.320741 0.00773889 0.0124266 161861
3.90359e+11 0.0304797 0.000550697 3.18927e+07 554719 0 0 0 0.202842 0.000132079 0.201622 0.0438686 0.0405558 0.272234 0.000101861 0.275358 0.029619 0.0340461 0.318796 4.85427e-05 0.322504 0.00674441 0.0119286 97442
6.18227e+11 0.0676802 0.0010394 6.07388e+07 974061 0 0 0 0.210282 0.000172262 0.209779 0.0441087 0.0421617 0.277862 0.000130151 0.282128 0.0274162 0.0343562 0.319536 7.25665e-05 0.3245 0.00565279 0.012118 58407
