#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.66868e+09 0 0 121804 3029.05 0 0 0 0.232801 1.63796e-05 0.232765 0.0494387 0.0477064 0.27016 1.4973e-05 0.276326 0.0368113 0.0512239 0.314339 7.28464e-06 0.320182 0.0101252 0.0215298 7243165
1.56628e+10 0 0 304276 8767.96 0 0 0 0.206578 2.86627e-05 0.202659 0.0508705 0.0399862 0.25478 2.68993e-05 0.25806 0.0402873 0.0463915 0.311072 1.22889e-05 0.315601 0.0115826 0.0199703 2308851
2.47494e+10 0 0 569672 14740.7 0 0 0 0.192484 3.40625e-05 0.187347 0.0505192 0.0372639 0.249095 3.15738e-05 0.251476 0.0393201 0.0436959 0.311184 1.3362e-05 0.314933 0.010941 0.0177259 1617345
3.9116e+10 0 0 941092 23629.3 0 0 0 0.184378 4.00803e-05 0.17905 0.0477203 0.0357662 0.249026 3.63593e-05 0.250949 0.0375326 0.0404665 0.312005 1.46985e-05 0.315245 0.0103251 0.0161528 1113240
6.18717e+10 0 0 1.69674e+06 41859.7 0 0 0 0.183048 4.9432e-05 0.178879 0.0460541 0.0369489 0.253441 4.3395e-05 0.255322 0.035974 0.0385437 0.313822 1.66329e-05 0.316695 0.00960967 0.0146778 712682
9.81436e+10 0 0 3.07402e+06 73060.9 0 0 0 0.186222 6.31669e-05 0.183293 0.0452904 0.0388743 0.258575 5.31425e-05 0.260517 0.034687 0.0370522 0.315514 1.97602e-05 0.31813 0.0090605 0.0135974 436983
1.55505e+11 0 0 5.66899e+06 130159 0 0 0 0.191412 8.09281e-05 0.189188 0.0448813 0.0397196 0.263256 6.52919e-05 0.265466 0.033147 0.0357401 0.316912 2.40252e-05 0.3194 0.0084886 0.0125978 265583
2.46156e+11 0 0 9.82451e+06 221746 0 0 0 0.197059 0.000103351 0.195514 0.0440318 0.0402094 0.267916 8.00734e-05 0.270301 0.0310806 0.0341263 0.318326 2.95725e-05 0.320883 0.00764287 0.0119704 160261
3.89976e+11 0 0 1.55416e+07 361546 0 0 0 0.203747 0.000133062 0.202577 0.0435512 0.0403247 0.273684 9.89399e-05 0.276293 0.0291573 0.0327195 0.320327 3.54113e-05 0.322836 0.00651139 0.0108376 94750
6.16915e+11 0 0 2.78655e+07 645153 0 0 0 0.21227 0.000175547 0.211841 0.0433689 0.0417866 0.280793 0.000123161 0.284103 0.0263801 0.0314253 0.322557 4.44995e-05 0.325135 0.00517759 0.0093064 54624
9.75789e+11 0 0 4.29002e+07 1.07018e+06 0 0 0 0.221875 0.000238577 0.221841 0.0434224 0.041973 0.287752 0.000156031 0.291801 0.0228401 0.0299753 0.323922 6.06842e-05 0.326701 0.00419885 0.00836328 29322
1.54073e+12 0 0 6.44137e+07 1.87587e+06 0 0 0 0.227228 0.000327146 0.227705 0.0416238 0.0415037 0.289627 0.000213736 0.294665 0.0202835 0.0300382 0.323539 9.32152e-05 0.326854 0.00396997 0.00898054 14732
2.42327e+12 0 0 8.81505e+07 3.41309e+06 0 0 0 0.224934 0.000475899 0.22562 0.0387274 0.0393398 0.285607 0.000342605 0.291221 0.0205608 0.0325875 0.321436 0.00016414 0.325421 0.00464606 0.0108338 6415
3.81821e+12 0 0 1.11824e+08 6.23918e+06 0 0 0 0.218696 0.000752695 0.219799 0.0380225 0.0392509 0.277773 0.000570583 0.283404 0.0220457 0.0339138 0.31713 0.000318026 0.322437 0.00595835 0.0156523 2489
6.03892e+12 0 0 1.20525e+08 1.15325e+07 0 3.21853e+08 0 0.205573 0.0013243 0.205864 0.0357306 0.0388617 0.26472 0.00110993 0.268745 0.0269274 0.0361167 0.310669 0.000707392 0.316455 0.00925875 0.0227411 736
9.44156e+12 0 0 1.54029e+08 2.50471e+07 0 3.91441e+08 0 0.196759 0.00236204 0.198807 0.033779 0.0393638 0.250191 0.00217072 0.252577 0.0295835 0.0347996 0.302389 0.0016173 0.308121 0.0140803 0.0228136 210
1.53774e+13 0 0 2.74826e+08 7.76388e+07 0 5.94649e+08 0 0.183551 0.00443487 0.189629 0.0238309 0.0446519 0.239838 0.00472707 0.242511 0.0323129 0.0399472 0.29131 0.00422633 0.300853 0.0165494 0.0362789 50
2.47025e+13 0 0 2.20725e+08 1.32831e+08 0 7.96458e+08 0 0.18194 0.00731823 0.19273 0.0105259 0.0454986 0.221581 0.0078528 0.220845 0.0268972 0.0408323 0.291361 0.00542835 0.291698 0.0234224 0.0171931 12
3.275e+13 0 0 6.06006e+08 6.06006e+08 6.06006e+08 0 0 0.136282 0.136282 0.136282 0 0 0.252724 0.252724 0.252724 0 0 0.327759 0.327759 0.327759 0 0 1
5.40147e+13 0 0 1.19797e+09 1.19797e+09 1.19797e+09 0 0 0.135719 0.135719 0.135719 0 0 0.270985 0.270985 0.270985 0 0 0.317634 0.317634 0.317634 0 0 1
