#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.65417e+07 0.000429361 2.2469e-05 1.88511e+06 42691.7 0 0 0 0.177613 4.41163e-05 0.173497 0.0450964 0.0361226 0.24424 4.29972e-05 0.246539 0.0381851 0.0422104 0.309841 1.93768e-05 0.313811 0.0108076 0.0176287 850100
1.56941e+08 0.00113939 6.29728e-05 3.24189e+06 97819.3 0 0 0 0.178712 7.7503e-05 0.17548 0.0453244 0.0385046 0.247839 7.30555e-05 0.250336 0.0375661 0.0415582 0.311385 3.14445e-05 0.31511 0.0102105 0.0165781 286995
2.48656e+08 0.00213343 9.80945e-05 5.11195e+06 146542 0 0 0 0.18132 8.92667e-05 0.178491 0.0455154 0.0394986 0.250892 8.13896e-05 0.253508 0.0366554 0.0408762 0.312511 3.41109e-05 0.316042 0.00979733 0.0157197 221240
3.94239e+08 0.00396942 0.000152142 7.95316e+06 211544 0 0 0 0.18413 0.000102029 0.181588 0.0457748 0.0398585 0.253673 9.0376e-05 0.256276 0.0358147 0.0399035 0.313395 3.79404e-05 0.316817 0.00945595 0.0150825 170806
6.24697e+08 0.00741495 0.000236466 1.15374e+07 290537 0 0 0 0.186822 0.000115456 0.184723 0.0448586 0.040112 0.255842 0.000100883 0.25863 0.0349558 0.0391822 0.314047 4.24347e-05 0.317469 0.00914621 0.0146861 131626
9.89706e+08 0.0117936 0.000340432 1.6225e+07 399810 0 0 0 0.189916 0.000131996 0.187896 0.0451727 0.0402248 0.258131 0.000113741 0.261139 0.0339924 0.0389443 0.314583 4.94161e-05 0.318061 0.00888622 0.0143772 100563
1.56919e+09 0.0204491 0.000509169 2.43486e+07 567573 0 0 0 0.192984 0.000150526 0.191282 0.0446192 0.0406287 0.260584 0.000128094 0.263695 0.0335355 0.0383512 0.314983 5.85457e-05 0.318837 0.00858697 0.0145915 77265
2.48248e+09 0.0316517 0.000723373 3.43372e+07 776789 0 0 0 0.196441 0.000173648 0.19493 0.0449017 0.0412236 0.263393 0.000145749 0.266431 0.0334659 0.0381552 0.315623 7.02401e-05 0.319753 0.00828129 0.014298 58575
3.94017e+09 0.0492913 0.00103008 5.05658e+07 1.10037e+06 0 0 0 0.199934 0.000199518 0.198517 0.0450991 0.0412434 0.266248 0.000166748 0.269581 0.0327234 0.0375997 0.316078 8.62799e-05 0.320856 0.00779197 0.0146592 44166
6.2486e+09 0.0729315 0.00141756 7.1402e+07 1.48321e+06 0 0 0 0.203374 0.000229512 0.202288 0.0451987 0.0419603 0.268937 0.000190992 0.273001 0.0317368 0.0384811 0.31623 0.000108046 0.321814 0.00732175 0.0148031 33648
9.91151e+09 0.101343 0.00187765 9.12146e+07 1.88614e+06 0 0 0 0.207859 0.00026378 0.207063 0.0454065 0.0429498 0.272489 0.000214905 0.277057 0.0306702 0.0385196 0.316668 0.000127956 0.322902 0.00674498 0.0156048 25833
1.57376e+10 0.139723 0.0024208 1.19421e+08 2.40598e+06 0 0 0 0.212228 0.000298532 0.211637 0.0458775 0.0434025 0.275634 0.000239481 0.280952 0.0291827 0.0382245 0.316029 0.000160188 0.323676 0.0063189 0.0179444 20512
2.49573e+10 0.184406 0.00299894 1.46309e+08 2.8512e+06 0 3.60165e+08 0 0.214821 0.00032578 0.214707 0.0445786 0.043647 0.276405 0.000261441 0.282161 0.0275668 0.0383923 0.314707 0.000188274 0.323588 0.00618139 0.0215006 16724
3.94539e+10 0.238247 0.00366286 1.78327e+08 3.3987e+06 0 4.7771e+08 0 0.217161 0.00036518 0.217204 0.0451809 0.0440055 0.276126 0.000298339 0.282714 0.0269391 0.040188 0.312545 0.000229664 0.323093 0.00649372 0.0286557 13528
6.24299e+10 0.28619 0.00440814 1.92282e+08 3.88711e+06 0 5.36715e+08 0 0.217449 0.000409986 0.21774 0.0442317 0.0442486 0.27366 0.000341778 0.280397 0.0271924 0.0415569 0.310007 0.000273038 0.321762 0.00714055 0.0341549 10514
9.8557e+10 0.327867 0.00531395 2.09028e+08 4.60281e+06 0 6.06006e+08 0 0.215555 0.000462545 0.215883 0.0425222 0.0425178 0.26984 0.00039928 0.276716 0.0271966 0.0430992 0.306438 0.000334739 0.319068 0.00876898 0.0385714 7805
1.54965e+11 0.36188 0.00685443 2.2061e+08 5.98248e+06 0 6.06006e+08 0 0.210176 0.000578042 0.209885 0.0432715 0.0421431 0.262404 0.000515937 0.268134 0.030449 0.0417983 0.301729 0.000441679 0.314065 0.0119497 0.0422843 4916
