#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
8.51944e+07 1 0 6.3085e+08 3.6841e+07 5.36715e+08 7.95898e+08 5.36715e+08 0.15791 0.00239956 0.151091 0.0505291 0.0345837 0.207702 0.0025471 0.209016 0.0421312 0.046454 0.252503 0.00242413 0.256772 0.0359772 0.0467659 282
1.64505e+08 1 0 6.42322e+08 3.78655e+07 5.99643e+08 7.3297e+08 5.99643e+08 0.157668 0.0022833 0.156234 0.0364443 0.0335864 0.212046 0.00240658 0.209119 0.0476898 0.034712 0.256146 0.00228168 0.258425 0.0382268 0.0428426 245
2.52914e+08 1 0 6.81062e+08 3.43123e+07 5.36715e+08 8.58459e+08 5.36715e+08 0.157734 0.00203804 0.152856 0.042735 0.0317698 0.206615 0.00222989 0.205736 0.0474 0.044194 0.254025 0.0020634 0.260258 0.0320127 0.0463303 353
4.01783e+08 1 0 6.63027e+08 2.8494e+07 6.06006e+08 7.89169e+08 6.06006e+08 0.158477 0.00169651 0.155128 0.0425332 0.0319204 0.209885 0.00178978 0.208492 0.043925 0.0395345 0.255378 0.00173966 0.260715 0.0349177 0.0450617 515
6.37219e+08 1 0 6.28543e+08 2.33804e+07 5.36715e+08 7.32719e+08 5.36715e+08 0.162979 0.00139452 0.163185 0.034862 0.0364203 0.213078 0.00147273 0.213791 0.036892 0.0380808 0.258141 0.0014992 0.263921 0.0334212 0.0486447 667
1.00924e+09 1 0 6.19776e+08 2.07135e+07 5.36715e+08 6.68934e+08 5.36715e+08 0.159967 0.00131427 0.157106 0.0367848 0.0337568 0.211888 0.00138126 0.21204 0.0396218 0.0395248 0.259412 0.00136492 0.266377 0.0309064 0.0487263 779
1.60178e+09 1 0 6.29769e+08 1.89921e+07 5.36715e+08 7.32719e+08 5.36715e+08 0.165145 0.00116867 0.162873 0.0397002 0.0362863 0.216134 0.00122647 0.216167 0.0420359 0.0398439 0.259944 0.00119443 0.266534 0.0315709 0.0466075 1028
2.49586e+09 0.999083 0.00091659 6.5251e+08 1.73819e+07 6.06006e+08 6.63428e+08 6.06006e+08 0.165408 0.00110724 0.162418 0.0399476 0.0333189 0.216852 0.00116594 0.215794 0.0410439 0.0394575 0.261572 0.00113326 0.266783 0.0317329 0.0424285 1091
3.99531e+09 1 0 6.44039e+08 1.73709e+07 6.06006e+08 6.63428e+08 6.06006e+08 0.17031 0.0011053 0.167238 0.040618 0.0332441 0.221325 0.00116283 0.222899 0.0400089 0.0416824 0.265335 0.00110681 0.271645 0.0317142 0.0449486 1171
6.30127e+09 1 0 6.54257e+08 1.66998e+07 6.06006e+08 6.63428e+08 6.06006e+08 0.174601 0.00115754 0.171996 0.0418909 0.0362964 0.22476 0.00115812 0.224666 0.0420252 0.0406267 0.265691 0.00109934 0.272142 0.0307494 0.0458166 1138
9.97047e+09 1 0 6.36811e+08 1.68472e+07 6.06006e+08 5.99643e+08 6.06006e+08 0.177377 0.00115224 0.176632 0.0384745 0.0390455 0.228726 0.00117773 0.229801 0.0402526 0.0412835 0.269194 0.0011293 0.276529 0.0297278 0.047028 1089
1.58508e+10 1 0 6.31481e+08 1.71041e+07 6.06006e+08 5.99643e+08 6.06006e+08 0.181717 0.00119492 0.179047 0.0431952 0.0348609 0.233342 0.0011824 0.235192 0.037998 0.0427779 0.271054 0.00112804 0.277977 0.0281306 0.0463552 1035
2.52211e+10 1 0 6.239e+08 1.64341e+07 6.06006e+08 5.99643e+08 6.06006e+08 0.187071 0.00119139 0.184984 0.0415903 0.0356388 0.235904 0.00116126 0.237555 0.0382082 0.0410093 0.271134 0.00109151 0.276657 0.0305838 0.0433973 1041
3.97003e+10 0.998817 0.00118343 6.36005e+08 1.78297e+07 6.06006e+08 5.35262e+08 6.06006e+08 0.187289 0.00133409 0.185172 0.0399304 0.0375216 0.235487 0.00128046 0.236048 0.0371273 0.0367347 0.270247 0.00119951 0.276449 0.0292646 0.0427339 845
