#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.72153e+07 0 0 3.45355e+06 97491.1 0 0 0 0.167713 7.16978e-05 0.163656 0.041939 0.0342623 0.230035 7.29731e-05 0.231607 0.0379209 0.0413281 0.304409 3.65062e-05 0.309071 0.0115205 0.0203244 294361
1.56766e+08 0 0 5.06089e+06 198900 0 0 0 0.16807 0.000124573 0.164428 0.0428095 0.0360409 0.231529 0.000123323 0.233492 0.0373231 0.0411705 0.305124 6.13133e-05 0.30983 0.011059 0.0198293 102351
2.48338e+08 0 0 7.36976e+06 280368 0 0 0 0.170468 0.000146166 0.16728 0.0427875 0.0371005 0.234214 0.000139834 0.236241 0.0363269 0.0405324 0.306309 6.78659e-05 0.310763 0.0105892 0.0187261 76633
3.93765e+08 0 0 1.08099e+07 403014 0 0 0 0.172887 0.000169544 0.16986 0.0428037 0.0370901 0.236562 0.000157917 0.238584 0.0355721 0.0397888 0.307147 7.6899e-05 0.311537 0.0101562 0.0180289 57608
6.24032e+08 0 0 1.36397e+07 525252 0 0 0 0.175273 0.000195589 0.172542 0.0420726 0.0371678 0.238451 0.00017983 0.240599 0.0346324 0.039326 0.307967 8.59417e-05 0.312175 0.00999126 0.0176709 42819
9.86918e+08 0 0 1.75801e+07 704643 0 0 0 0.177668 0.000227093 0.175102 0.0424795 0.0373379 0.240306 0.000206968 0.242636 0.033801 0.0394875 0.308801 9.85204e-05 0.313036 0.00950086 0.0171932 31410
1.56583e+09 0 0 2.01284e+07 884907 0 0 0 0.180296 0.000266772 0.177792 0.0413935 0.0373132 0.242643 0.000240915 0.244831 0.0332351 0.0381043 0.309511 0.000113601 0.313625 0.00941965 0.0169993 22505
2.47773e+09 0 0 2.38366e+07 1.14918e+06 0 0 0 0.183544 0.000321278 0.181138 0.0422755 0.0375404 0.24575 0.000286516 0.247955 0.0332552 0.0380957 0.310986 0.0001326 0.315182 0.00863889 0.0163273 15690
3.93261e+09 0 0 2.89457e+07 1.51005e+06 0 0 0 0.187317 0.000386946 0.184828 0.0416445 0.0375713 0.249729 0.000340888 0.251884 0.0330871 0.0374022 0.312329 0.00015745 0.316583 0.00846186 0.0160218 10838
6.21728e+09 0 0 3.4243e+07 2.02869e+06 0 0 0 0.191312 0.000472689 0.188466 0.0429126 0.0375892 0.253841 0.000411369 0.256818 0.0327564 0.038915 0.314251 0.000188069 0.318549 0.00742435 0.0150209 7450
9.85227e+09 0 0 3.73033e+07 2.3852e+06 0 0 0 0.196515 0.000569526 0.193976 0.0432032 0.0386087 0.258944 0.000484394 0.261575 0.0317036 0.0361128 0.316494 0.000192834 0.320053 0.0067822 0.0129655 5075
1.56407e+10 0 0 4.3941e+07 3.27816e+06 0 0 0 0.202585 0.000706519 0.19956 0.0445838 0.037773 0.264477 0.00057352 0.267496 0.0306123 0.0360447 0.317397 0.000255027 0.321327 0.00627461 0.0125529 3422
2.47441e+10 0 0 4.41007e+07 3.9141e+06 0 0 0 0.207084 0.000806952 0.204552 0.0433344 0.0372682 0.26877 0.000630668 0.271795 0.0285335 0.034177 0.318909 0.000265872 0.322272 0.00577915 0.0104685 2439
3.92375e+10 0 0 4.08195e+07 4.49142e+06 0 0 0 0.211745 0.0010282 0.210596 0.0442501 0.0408149 0.272134 0.000777672 0.275678 0.0270569 0.0330188 0.319338 0.000329812 0.322575 0.00560191 0.0103218 1622
6.19829e+10 0 0 4.98988e+07 6.00123e+06 0 0 0 0.214872 0.00128129 0.212745 0.0460408 0.0404008 0.273347 0.000958558 0.276381 0.0288683 0.0342828 0.31933 0.00040374 0.322539 0.00580609 0.0103957 1056
9.70646e+10 0 0 4.28812e+07 6.9448e+06 0 0 0 0.219996 0.00162642 0.218743 0.0441466 0.0397449 0.27309 0.00123183 0.276658 0.026917 0.0318642 0.316212 0.00072459 0.320974 0.00653732 0.0129551 625
1.55016e+11 0 0 2.38118e+07 6.53782e+06 0 0 0 0.219773 0.00199792 0.213471 0.0487537 0.031015 0.27145 0.00150942 0.275007 0.0242625 0.0341046 0.312624 0.00100516 0.317409 0.00861895 0.0156566 373
2.45444e+11 0 0 8.13703e+06 4.7185e+06 0 0 0 0.219572 0.00305973 0.216076 0.0472839 0.0357915 0.264101 0.00251069 0.266842 0.0269592 0.0328451 0.306594 0.00163309 0.311845 0.0100573 0.017283 146
3.75194e+11 0 0 0 0 0 0 0 0.208282 0.00645834 0.203071 0.0485912 0.0349035 0.259025 0.00502629 0.252417 0.0319748 0.0192293 0.302245 0.00355091 0.306141 0.0126851 0.0235134 27
5.5559e+11 0 0 0 0 0 0 0 0.184896 0.0256003 0.194764 0.0287075 0.0583118 0.2511 0.0111874 0.24738 0.0246873 0.0135276 0.297464 0.00869278 0.303729 0.00464591 0.0234431 3
