#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
44.7974 0 0 101323 2464.74 0 0 0 0.233551 1.51629e-05 0.233428 0.0498222 0.0478175 0.271154 1.35339e-05 0.277224 0.0358923 0.0499899 0.314588 6.53045e-06 0.320193 0.0100835 0.020995 8541427
62.4912 0 0 237799 5952.09 0 0 0 0.20454 2.4813e-05 0.198669 0.0557154 0.0397421 0.254774 2.24893e-05 0.256837 0.0431837 0.0453582 0.312114 9.83527e-06 0.316382 0.0113601 0.0189092 3391754
78.5508 0 0 751549 16125.8 0 0 0 0.184404 3.26822e-05 0.179173 0.0477064 0.0362909 0.248825 3.0001e-05 0.250689 0.0383116 0.0411138 0.312031 1.23467e-05 0.315477 0.0105532 0.0166569 1707423
98.4709 0 0 2.42762e+06 44913.6 0 0 0 0.181887 4.65992e-05 0.178569 0.0459093 0.03897 0.252305 4.20727e-05 0.254529 0.0371477 0.0404177 0.313605 1.6424e-05 0.316699 0.00985232 0.0150686 819567
123.975 0 0 7.30771e+06 123735 0 0 0 0.189581 6.97148e-05 0.187468 0.045491 0.0404956 0.259567 5.9385e-05 0.262264 0.0347709 0.038646 0.315906 2.25101e-05 0.318743 0.00889909 0.0134999 367241
155.884 0 0 1.87623e+07 310582 0 0 0 0.199755 0.000105129 0.198402 0.0449103 0.041287 0.268407 8.48356e-05 0.271575 0.0322975 0.0366282 0.318823 3.19811e-05 0.321805 0.00728258 0.0121556 159384
195.812 0 0 4.00451e+07 723845 0 0 0 0.214284 0.000166538 0.213827 0.0448352 0.0431127 0.281236 0.000120659 0.28539 0.0270145 0.0337591 0.322731 4.53623e-05 0.325646 0.00496161 0.00926352 63892
245.589 0 0 6.88923e+07 1.59491e+06 0 0 0 0.225368 0.000272844 0.225467 0.0429311 0.041548 0.287629 0.000187575 0.292576 0.0225616 0.0318529 0.323102 8.13405e-05 0.326611 0.00424913 0.00954205 21912
307.719 0 0 1.03994e+08 3.93449e+06 0 0 0 0.221757 0.000509923 0.222237 0.0400094 0.0397178 0.281641 0.000384867 0.287311 0.023217 0.0347592 0.3191 0.000211605 0.324011 0.00576839 0.0140652 5767
384.803 0 0 1.3198e+08 9.86912e+06 0 3.41278e+08 0 0.207234 0.00110627 0.207494 0.0390161 0.0385806 0.264807 0.000954043 0.26797 0.029951 0.0359161 0.310696 0.000600355 0.317014 0.00925344 0.0238583 1108
483.062 0 0 2.08781e+08 3.73296e+07 0 5.84489e+08 0 0.192598 0.00276595 0.194354 0.0376012 0.0424787 0.246371 0.00277381 0.24611 0.0357997 0.0351553 0.299251 0.00213079 0.305756 0.0159996 0.0289823 151
616.43 0 0 2.27659e+08 8.17912e+07 0 5.36715e+08 0 0.18282 0.00625393 0.188649 0.0146067 0.0398906 0.235833 0.00671201 0.241495 0.0281113 0.0343127 0.294751 0.00441829 0.294624 0.0204961 0.0167353 21
856.04 0 0 1.19797e+09 1.19797e+09 1.19797e+09 0 0 0.135719 0.135719 0.135719 0 0 0.270985 0.270985 0.270985 0 0 0.317634 0.317634 0.317634 0 0 1
