#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.03661e+09 0.978723 0.00943351 4.21296e+08 3.4296e+07 4.49746e+08 4.03668e+08 4.49746e+08 0.242922 0.00573876 0.213107 0.132902 0.0455726 0.288108 0.00561773 0.27453 0.132915 0.0737627 0.389966 0.004202 0.402839 0.0507076 0.0789531 235
1.57051e+10 1 0 5.98189e+08 1.80451e+08 5.30876e+08 1.03434e+09 5.30876e+08 0.215718 0.022085 0.18394 0.150807 0.031764 0.283106 0.0204063 0.299653 0.0517429 0.106633 0.370686 0.0235868 0.409221 0.0303864 0.140893 16
2.42343e+10 1 0 7.05632e+08 7.05632e+08 0 3.52816e+09 0 0.189659 0.0336135 0.153996 0.142432 0.0363013 0.306482 0.0359842 0.329176 0.0512173 0.159957 0.399778 0.0472845 0.44801 0.0158398 0.233946 5
4.42336e+10 1 0 1.43788e+09 7.98842e+08 1.01337e+09 2.7114e+09 1.01337e+09 0.251091 0.0329067 0.295812 0.00612998 0.136333 0.325562 0.0412796 0.37218 0.0266844 0.160016 0.38722 0.048494 0.430401 0.0391817 0.182409 4
6.7434e+10 1 0 7.01647e+08 1.72679e+08 4.49746e+08 1.42437e+09 4.49746e+08 0.19391 0.011267 0.200779 0.0373348 0.0708584 0.287683 0.0128735 0.29257 0.0716856 0.0808507 0.397263 0.0122081 0.402727 0.0604208 0.0715093 24
1.06798e+11 1 0 5.81083e+08 9.39325e+07 0 1.7203e+09 0 0.202155 0.00739712 0.196036 0.058014 0.057075 0.303034 0.00744474 0.298048 0.0746482 0.0550651 0.420168 0.00552377 0.430679 0.0363905 0.0649554 74
1.65609e+11 1 0 5.63673e+08 3.89294e+07 4.49746e+08 6.43252e+08 4.49746e+08 0.195352 0.00236789 0.191886 0.0469261 0.0377965 0.305441 0.00282661 0.305919 0.0557753 0.0526412 0.427282 0.00244515 0.43937 0.0256532 0.0496974 369
2.62808e+11 1 0 6.5768e+08 2.4352e+07 4.82917e+08 7.68573e+08 4.82917e+08 0.211683 0.00138172 0.212359 0.0431046 0.0480228 0.323773 0.00166146 0.329862 0.0504731 0.0634482 0.430711 0.00141263 0.444995 0.0232615 0.0501212 1163
4.11377e+11 1 0 7.6535e+08 1.52883e+07 6.11817e+08 9.53396e+08 6.11817e+08 0.23153 0.000955458 0.227309 0.0537405 0.0480875 0.342475 0.00097482 0.349964 0.0454948 0.0639702 0.430141 0.000844912 0.444261 0.024801 0.0545711 3082
6.46674e+11 0.999832 0.000167983 8.95636e+08 1.13953e+07 6.92559e+08 1.10482e+09 6.92559e+08 0.250645 0.000731256 0.248236 0.0570034 0.0530708 0.353302 0.000688874 0.361666 0.0413073 0.0602804 0.423807 0.000634109 0.438123 0.0277358 0.059464 5953
1.01332e+12 0.999894 0.000106101 9.67529e+08 9.06495e+06 7.73094e+08 1.10102e+09 7.73094e+08 0.266411 0.000625905 0.263926 0.0655643 0.0593699 0.358331 0.000551794 0.365771 0.0448048 0.0602768 0.418788 0.000507839 0.431163 0.0320171 0.0593204 9425
1.59627e+12 0.999605 0.000176778 1.05442e+09 7.67512e+06 9.3351e+08 1.01702e+09 9.3351e+08 0.268185 0.000531565 0.267186 0.0625677 0.0592446 0.354221 0.000468431 0.359634 0.0477547 0.0575792 0.410263 0.000443331 0.420093 0.0380974 0.059972 12647
2.4991e+12 0.999922 7.7991e-05 1.24157e+09 7.68306e+06 1.17237e+09 9.29921e+08 7.22627e+08 0.256042 0.000498828 0.255149 0.0583497 0.0564628 0.337149 0.000470127 0.341376 0.0490877 0.0573642 0.393084 0.000451624 0.400354 0.0439949 0.0589036 12822
3.9332e+12 1 0 1.48554e+09 8.96587e+06 1.40892e+09 9.92473e+08 7.97101e+08 0.238677 0.000526878 0.237004 0.0548286 0.0514545 0.314069 0.000521924 0.316903 0.0494278 0.055048 0.369538 0.000524591 0.374282 0.0482612 0.0570557 10085
6.19691e+12 1 0 1.68491e+09 1.15612e+07 1.64291e+09 9.7901e+08 9.50354e+08 0.222357 0.000621893 0.219946 0.0522385 0.0475983 0.29235 0.000633193 0.293424 0.0498691 0.0517474 0.348167 0.000653042 0.351723 0.0493775 0.0560852 6387
9.81372e+12 0.999743 0.000257202 1.83567e+09 1.50191e+07 1.79737e+09 1.04086e+09 9.43961e+08 0.205626 0.000709813 0.203656 0.0462807 0.041881 0.27154 0.000759484 0.271941 0.0463435 0.0479657 0.328428 0.000810912 0.330433 0.0489451 0.0531635 3888
1.55638e+13 1 0 1.82553e+09 2.04186e+07 1.87412e+09 9.64119e+08 1.10102e+09 0.194744 0.000856068 0.192471 0.0428249 0.0363039 0.258102 0.000952488 0.257729 0.0445913 0.0445532 0.318339 0.00106436 0.31861 0.0476744 0.05065 2179
2.45923e+13 1 0 1.85434e+09 2.97259e+07 1.87412e+09 1.03532e+09 1.10102e+09 0.181607 0.00106887 0.180037 0.0356394 0.0340347 0.241291 0.00124032 0.241459 0.0386781 0.0398229 0.304495 0.00147099 0.301227 0.0501559 0.0436598 1117
3.85926e+13 1 0 1.70904e+09 4.02573e+07 1.7203e+09 1.04628e+09 1.10849e+09 0.174168 0.00142883 0.173394 0.0338524 0.033416 0.231924 0.00166661 0.232139 0.039763 0.0417897 0.299588 0.00210399 0.299163 0.0512853 0.0477379 602
6.07608e+13 1 0 1.64605e+09 6.01725e+07 1.64291e+09 1.12367e+09 1.0311e+09 0.169032 0.0019738 0.16899 0.0283668 0.0310734 0.225123 0.00227057 0.225484 0.0367307 0.037804 0.300858 0.00296323 0.299911 0.048081 0.0488135 279
