#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.92697e+09 6.51478e-05 3.48218e-06 102300 3667.27 0 0 0 0.327515 3.19969e-05 0.330199 0.0778002 0.0844686 0.400574 2.60817e-05 0.408508 0.0541371 0.0668144 0.472947 1.12912e-05 0.479959 0.0141739 0.0266883 5372400
1.56326e+10 1.2043e-05 2.51113e-06 132250 6108.2 0 0 0 0.275667 5.04897e-05 0.270337 0.0780913 0.0672805 0.373717 4.27917e-05 0.379429 0.0519616 0.0621902 0.467834 1.8023e-05 0.473755 0.0146733 0.0256942 1909822
2.46819e+10 7.89561e-07 7.89561e-07 163477 8117.66 0 0 0 0.251859 5.96435e-05 0.243687 0.0766954 0.0594634 0.362859 5.20741e-05 0.367633 0.051915 0.0616124 0.467606 2.03642e-05 0.472625 0.0143429 0.023729 1266527
3.90784e+10 0 0 184459 10227.2 0 0 0 0.239406 7.10233e-05 0.230425 0.0736361 0.0549423 0.364619 6.19815e-05 0.368629 0.0505632 0.0585744 0.470338 2.18851e-05 0.474494 0.0130874 0.0209991 822891
6.19699e+10 0 0 278304 15580.6 0 0 0 0.238144 8.53674e-05 0.231211 0.0687533 0.0549586 0.374037 7.11962e-05 0.377325 0.0473043 0.0536331 0.473299 2.31669e-05 0.476596 0.0118767 0.0181786 534366
9.83748e+10 0 0 464278 26405.5 0 0 0 0.24546 0.000104941 0.240007 0.0667452 0.0559098 0.382776 8.17973e-05 0.384917 0.0454983 0.048777 0.475149 2.60857e-05 0.477985 0.0112072 0.0167873 346681
1.55907e+11 8.86997e-06 6.272e-06 933592 49235 0 0 0 0.256735 0.000130108 0.252171 0.0666509 0.0568961 0.391063 9.53735e-05 0.392829 0.043645 0.0458219 0.47745 2.98744e-05 0.480115 0.0103208 0.0155066 225480
2.47017e+11 0 0 1.91376e+06 87868.1 0 0 0 0.271801 0.000160027 0.268022 0.0656184 0.0575696 0.403831 0.000108356 0.405754 0.0399895 0.0424542 0.481388 3.18367e-05 0.48393 0.00838062 0.0135278 147290
3.91539e+11 9.42014e-05 3.13991e-05 4.81744e+06 185498 0 0 0 0.293778 0.000200411 0.290938 0.0656095 0.0592158 0.421292 0.000116107 0.423635 0.0335045 0.0363401 0.485307 3.21634e-05 0.487414 0.00663343 0.0106637 95540
6.19081e+11 0.0013773 0.000151075 1.71054e+07 513670 0 0 0 0.317259 0.000244951 0.316087 0.063318 0.059738 0.430547 0.000125731 0.431585 0.0308799 0.0303418 0.485763 4.18515e-05 0.487849 0.00669283 0.0102971 60263
9.77696e+11 0.00891871 0.000494039 5.26219e+07 1.2022e+06 0 0 0 0.326541 0.000298045 0.32646 0.0584861 0.056483 0.425599 0.000171596 0.426813 0.0330485 0.032597 0.481401 7.93614e-05 0.484941 0.00861406 0.0145739 36216
1.5356e+12 0.0325607 0.00132643 1.32358e+08 2.85192e+06 0 0 0 0.31924 0.00041176 0.319585 0.0557861 0.0552773 0.410606 0.000290008 0.412599 0.0386902 0.0397172 0.471823 0.000179525 0.478621 0.0124435 0.0250876 17905
2.40643e+12 0.0990129 0.00368095 2.68645e+08 6.64557e+06 0 6.92559e+08 0 0.302564 0.000658438 0.302812 0.0535603 0.0538371 0.389155 0.000542236 0.391723 0.0438598 0.0462567 0.455867 0.000426096 0.466819 0.019125 0.044645 6585
3.7928e+12 0.274851 0.00995534 4.97679e+08 1.6402e+07 0 1.17237e+09 0 0.283986 0.00118625 0.285445 0.0526178 0.0567991 0.365206 0.00106397 0.367061 0.0471049 0.0506674 0.432492 0.00101315 0.443849 0.0321864 0.0583511 2012
6.14407e+12 0.554235 0.0191741 9.55852e+08 3.72812e+07 7.73094e+08 1.17743e+09 7.73094e+08 0.261934 0.00203991 0.261579 0.0521916 0.0530073 0.334746 0.0020063 0.336852 0.048677 0.0529532 0.40135 0.00211079 0.406296 0.0512192 0.0617268 673
9.74586e+12 0.621387 0.0261137 1.48706e+09 5.87017e+07 1.40892e+09 1.213e+09 1.40892e+09 0.240107 0.00272399 0.240267 0.0509985 0.0526762 0.311125 0.0029764 0.311946 0.0508751 0.0526415 0.375128 0.00312527 0.376429 0.0574275 0.0587945 346
1.54394e+13 0.693252 0.0362309 2.04908e+09 8.89464e+07 2.10229e+09 1.22426e+09 1.39295e+09 0.222141 0.00369639 0.220797 0.0492083 0.0431174 0.292101 0.00469569 0.289271 0.0571249 0.054716 0.365456 0.0053193 0.355366 0.0939285 0.0602843 163
2.45706e+13 0.666667 0.0499688 2.23428e+09 1.15586e+08 2.40139e+09 8.56898e+08 1.30839e+09 0.203742 0.00465225 0.200285 0.0537112 0.0400788 0.276557 0.00661103 0.273861 0.0499733 0.0583424 0.352718 0.00878066 0.342175 0.117621 0.0652874 90
3.81401e+13 0.568966 0.0655936 2.65709e+09 1.57627e+08 2.69447e+09 1.28421e+09 1.5213e+09 0.205018 0.00716381 0.200501 0.0553356 0.0414721 0.291076 0.0112879 0.270557 0.115712 0.0635592 0.37953 0.012504 0.398412 0.0860414 0.126908 58
6.00185e+13 0.8125 0.100778 2.6601e+09 2.4634e+08 2.83824e+09 8.86535e+08 8.87711e+08 0.188265 0.00969651 0.188288 0.0427332 0.0403393 0.295493 0.0209553 0.292384 0.11343 0.0736523 0.418152 0.0170772 0.438679 0.0405393 0.0916308 16
9.26321e+13 0.636364 0.15212 3.01925e+09 2.60216e+08 3.05045e+09 7.38705e+08 1.26746e+09 0.188593 0.0156061 0.18136 0.0304515 0.0342356 0.246221 0.0186188 0.233577 0.0824659 0.0426543 0.378283 0.0265607 0.342555 0.133957 0.0638978 11
1.3525e+14 1 1 2.68057e+09 2.68057e+09 2.68057e+09 0 0 0.169694 0.169694 0.169694 0 0 0.195729 0.195729 0.195729 0 0 0.46358 0.46358 0.46358 0 0 1
2.15588e+14 1 1 3.59426e+09 3.59426e+09 3.59426e+09 0 0 0.147595 0.147595 0.147595 0 0 0.22181 0.22181 0.22181 0 0 0.365415 0.365415 0.365415 0 0 1
