#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.10187e+09 1 0 5.5592e+08 9.58681e+07 5.30876e+08 6.41496e+08 5.30876e+08 0.227834 0.0162606 0.198922 0.0801467 0.0418817 0.261188 0.0165147 0.236012 0.116579 0.0601142 0.335566 0.0162725 0.334588 0.0999692 0.127211 38
1.71547e+10 1 0 4.22826e+08 2.01093e+08 0 1.01337e+09 0 0.371441 0.0527496 0.435617 0.0356228 0.253365 0.389033 0.0437234 0.437645 0.0355873 0.169501 0.41882 0.0288584 0.439637 0.0355869 0.0514174 7
2.42343e+10 1 0 7.05632e+08 7.05632e+08 0 3.52816e+09 0 0.445819 0.0443814 0.486158 0.0103994 0.217461 0.44784 0.0444337 0.488293 0.0102927 0.21779 0.44986 0.0444861 0.490429 0.010186 0.218119 5
4.35075e+10 1 0 1.57938e+09 1.11187e+09 1.01337e+09 2.7114e+09 1.01337e+09 0.393427 0.0711769 0.440838 0.045127 0.18736 0.395371 0.0713044 0.44275 0.0454198 0.187556 0.397315 0.071432 0.444662 0.0457124 0.187751 3
6.7434e+10 1 0 6.33773e+08 1.57006e+08 4.49746e+08 1.34763e+09 4.49746e+08 0.309485 0.0292875 0.349688 0.136698 0.219158 0.346948 0.0222737 0.369976 0.118429 0.143273 0.413282 0.0130943 0.429783 0.06064 0.0924904 24
1.06728e+11 1 0 5.27535e+08 8.84768e+07 0 1.48721e+09 0 0.252951 0.0150887 0.206129 0.239739 0.069298 0.32505 0.0114408 0.311761 0.146233 0.0852987 0.418264 0.00753457 0.431144 0.043035 0.0653954 71
1.65819e+11 1 0 5.52471e+08 3.84858e+07 4.49746e+08 6.43252e+08 4.49746e+08 0.200315 0.00362056 0.187868 0.0544333 0.0399288 0.301015 0.00335872 0.295207 0.0689958 0.0584979 0.416712 0.00287607 0.43102 0.0317472 0.0537985 361
2.62449e+11 1 0 6.77122e+08 2.50454e+07 5.30876e+08 7.99465e+08 5.30876e+08 0.208339 0.00156286 0.205436 0.0465751 0.0466588 0.313209 0.00183911 0.316837 0.05867 0.0669722 0.418182 0.00170095 0.435211 0.0288881 0.0624183 1117
4.1033e+11 1 0 7.98198e+08 1.62298e+07 6.11817e+08 9.53396e+08 6.11817e+08 0.227537 0.00104274 0.222996 0.0544164 0.0490992 0.333101 0.00109432 0.340868 0.0495956 0.0709741 0.417664 0.00102996 0.433221 0.0315719 0.0642104 2842
6.42155e+11 0.999792 0.000208203 9.99296e+08 1.32715e+07 7.73094e+08 1.10102e+09 7.73094e+08 0.243858 0.000814679 0.241999 0.0551586 0.0536067 0.340636 0.000819279 0.348844 0.0456978 0.0653523 0.407733 0.000810545 0.421847 0.0363041 0.0681003 4803
9.9926e+11 0.999826 0.000173943 1.20927e+09 1.25374e+07 1.093e+09 1.08464e+09 1.093e+09 0.25523 0.000778362 0.2535 0.0605984 0.0587611 0.339904 0.000740022 0.346003 0.0483056 0.0643608 0.395447 0.000749389 0.405761 0.0448404 0.0679583 5749
1.56856e+12 1 0 1.46214e+09 1.36325e+07 1.33034e+09 1.14521e+09 7.99465e+08 0.256542 0.000844669 0.255643 0.0599839 0.0595509 0.332891 0.000786702 0.337353 0.0506745 0.061167 0.381305 0.000815394 0.387511 0.0520301 0.0657139 5037
2.47232e+12 0.999718 0.000282406 1.76768e+09 1.63842e+07 1.7203e+09 1.04628e+09 9.47209e+08 0.247463 0.000961632 0.246444 0.0578198 0.0579202 0.316971 0.000950394 0.31927 0.054353 0.0595113 0.363908 0.000977347 0.367806 0.0561538 0.0625049 3541
3.90678e+12 1 0 2.16685e+09 2.10866e+07 2.10229e+09 1.08722e+09 1.0093e+09 0.230615 0.00116803 0.227626 0.0558631 0.0524553 0.295664 0.00122795 0.295839 0.0546256 0.0562087 0.34235 0.00130981 0.342891 0.0613176 0.0605025 2228
6.17437e+12 1 0 2.49789e+09 2.88255e+07 2.47555e+09 1.05261e+09 9.88339e+08 0.218456 0.00154387 0.215096 0.0545533 0.0491602 0.28166 0.00169333 0.279576 0.0567303 0.0545864 0.329163 0.00184981 0.328708 0.0631722 0.0614828 1195
9.79586e+12 1 0 2.84733e+09 3.6586e+07 2.83824e+09 8.86535e+08 8.87711e+08 0.201461 0.00193752 0.19782 0.0453744 0.042573 0.263242 0.00233772 0.256643 0.056655 0.0477431 0.312194 0.00259008 0.307094 0.0704979 0.0577734 606
1.54183e+13 1 0 3.0381e+09 5.15821e+07 2.98018e+09 9.35933e+08 7.27576e+08 0.196805 0.00293143 0.192457 0.0427959 0.0409706 0.25875 0.00387118 0.24965 0.0647044 0.050498 0.318757 0.00445641 0.306794 0.0970193 0.0599031 281
