#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.73288e+07 1 0 2.74755e+08 1.07813e+08 0 6.92559e+08 0 0.209767 0.0130126 0.213773 0.0445632 0.0573244 0.302346 0.0227395 0.333616 0.0390798 0.142835 0.404925 0.0200123 0.422995 0.0424835 0.118045 12
1.5986e+08 1 0 1.08154e+09 4.64336e+08 6.11817e+08 3.11295e+09 6.11817e+08 0.192742 0.0216093 0.194513 0.0423183 0.0602217 0.305946 0.0231099 0.299164 0.0909587 0.0599647 0.402222 0.0230925 0.422221 0.0406185 0.0699655 12
2.6104e+08 1 0 9.74386e+08 2.11216e+08 4.49746e+08 2.02581e+09 4.49746e+08 0.212351 0.0115169 0.199443 0.0500534 0.0397313 0.305057 0.0118806 0.312273 0.0446024 0.0793837 0.402578 0.0121583 0.42577 0.0377033 0.0842708 32
4.04142e+08 1 0 1.23554e+09 1.97588e+08 6.11817e+08 2.71474e+09 6.11817e+08 0.201096 0.00790518 0.189868 0.0761492 0.0427578 0.286158 0.00850507 0.280828 0.0721388 0.0678324 0.381902 0.0115623 0.414617 0.0414103 0.139831 56
6.60289e+08 1 0 1.02755e+09 9.81514e+07 6.92559e+08 1.48508e+09 6.92559e+08 0.20821 0.00486496 0.205805 0.0461355 0.0541499 0.30969 0.00503118 0.309129 0.0667181 0.0539787 0.410625 0.00554953 0.433477 0.0285404 0.0732104 146
1.01876e+09 1 0 9.85505e+08 7.0178e+07 6.11817e+08 1.56582e+09 6.11817e+08 0.213983 0.00343275 0.20462 0.0631901 0.0430159 0.307036 0.00361111 0.308186 0.0570771 0.064345 0.412921 0.003641 0.431704 0.030928 0.0720121 281
1.60661e+09 1 0 1.16335e+09 5.02831e+07 8.53413e+08 1.62214e+09 8.53413e+08 0.2075 0.00231531 0.205536 0.0534976 0.0477159 0.313071 0.00271382 0.315556 0.0621761 0.0700783 0.407811 0.00287987 0.430553 0.0347838 0.0911868 547
2.56796e+09 1 0 1.09757e+09 3.66058e+07 7.73094e+08 1.5541e+09 7.73094e+08 0.220939 0.00189067 0.21776 0.0580504 0.0532325 0.32427 0.00207213 0.329284 0.0586351 0.0674807 0.413293 0.00214988 0.435728 0.0325291 0.0909091 893
4.07522e+09 1 0 1.12101e+09 2.98949e+07 8.21568e+08 1.43104e+09 8.21568e+08 0.225004 0.00151906 0.222684 0.0568025 0.0545569 0.330312 0.00173046 0.338159 0.0549344 0.0742698 0.413917 0.00174224 0.436391 0.0319355 0.0837099 1366
6.39068e+09 1 0 1.21146e+09 2.45228e+07 1.01337e+09 1.38802e+09 1.01337e+09 0.229445 0.0013308 0.225795 0.0608137 0.0535615 0.331016 0.0014575 0.338148 0.0573557 0.077409 0.408429 0.00143167 0.426768 0.0395772 0.0880578 1915
1.00866e+10 1 0 1.1972e+09 2.06827e+07 1.01337e+09 1.31382e+09 1.01337e+09 0.235704 0.00113983 0.232081 0.0593386 0.05375 0.337699 0.0012154 0.34631 0.0517636 0.073431 0.409688 0.00121525 0.426906 0.0396572 0.0789145 2526
1.60137e+10 1 0 1.22401e+09 1.8047e+07 1.01337e+09 1.31382e+09 1.01337e+09 0.244476 0.00105341 0.240803 0.0633137 0.0555948 0.340735 0.00105707 0.350107 0.0481414 0.0725358 0.406074 0.0010885 0.422496 0.0409645 0.0787371 3180
2.51962e+10 1 0 1.27552e+09 1.59208e+07 1.093e+09 1.2342e+09 1.093e+09 0.249809 0.000947755 0.247648 0.0618137 0.0587053 0.340417 0.000949674 0.348794 0.0492749 0.0718114 0.400784 0.000970858 0.415079 0.0451391 0.0779955 3907
3.98972e+10 1 0 1.31386e+09 1.47794e+07 1.17237e+09 1.15482e+09 1.17237e+09 0.252371 0.000892602 0.250158 0.0597419 0.0575803 0.337131 0.000872434 0.344851 0.0478583 0.0664836 0.395345 0.000909534 0.40658 0.0484909 0.0744685 4258
6.28127e+10 1 0 1.33088e+09 1.51982e+07 1.25149e+09 1.07571e+09 8.51051e+08 0.254982 0.000899922 0.253084 0.0581028 0.0551693 0.333405 0.000869494 0.339792 0.0479442 0.0640913 0.390197 0.000917143 0.399256 0.0497392 0.0705816 3937
9.89526e+10 1 0 1.39925e+09 1.69421e+07 1.33034e+09 1.07105e+09 8.80596e+08 0.250169 0.000987815 0.248481 0.0565896 0.0549009 0.322497 0.000963656 0.327408 0.0482874 0.0612393 0.379969 0.00102727 0.387048 0.0536594 0.0688998 3143
1.53866e+11 1 0 1.4667e+09 2.12468e+07 1.40892e+09 1.06663e+09 8.78042e+08 0.241764 0.00121974 0.23907 0.0574932 0.051336 0.310148 0.0011984 0.314319 0.0482958 0.0603182 0.369103 0.00127865 0.374035 0.0524873 0.0647145 1904
2.39127e+11 1 0 1.53365e+09 3.13678e+07 1.48721e+09 9.88339e+08 8.75395e+08 0.232043 0.00171649 0.227804 0.0570857 0.0455233 0.296934 0.0016969 0.298398 0.0504876 0.0529198 0.357237 0.00182921 0.359043 0.0539691 0.0592414 828
3.7554e+11 1 0 1.61045e+09 6.69912e+07 1.56521e+09 9.83734e+08 8.72654e+08 0.22642 0.00376523 0.222825 0.0494275 0.044833 0.281557 0.00369643 0.282745 0.0456515 0.0506739 0.343795 0.00361549 0.34738 0.0463846 0.0497749 177
5.59624e+11 1 0 1.84979e+09 2.16154e+08 1.64291e+09 1.40753e+09 4.7054e+08 0.207128 0.0105161 0.201909 0.0576447 0.0344018 0.259517 0.0101433 0.265716 0.038428 0.0415994 0.318287 0.00913557 0.32838 0.0236384 0.0616131 20
8.2016e+11 1 1 1.33034e+09 1.33034e+09 1.33034e+09 0 0 0.235871 0.235871 0.235871 0 0 0.30844 0.30844 0.30844 0 0 0.347829 0.347829 0.347829 0 0 1
