#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.71804e+07 1.22613e-05 3.69692e-06 469769 17215.9 0 0 0 0.226517 6.39605e-05 0.219078 0.0666846 0.0518332 0.355838 6.22167e-05 0.36081 0.0520376 0.0631017 0.467279 2.45494e-05 0.4725 0.0135302 0.0227408 897128
1.57174e+08 8.97881e-06 5.1839e-06 691728 36066.3 0 0 0 0.228784 0.000106078 0.222258 0.0668847 0.0536928 0.361428 9.78803e-05 0.366158 0.0496243 0.0599559 0.469134 3.5636e-05 0.473527 0.01272 0.0206368 334120
2.48953e+08 2.25171e-05 9.19249e-06 923444 45588.2 0 0 0 0.233301 0.000119678 0.227298 0.0668167 0.0548943 0.36553 0.000105879 0.369981 0.0478565 0.0577067 0.470217 3.76187e-05 0.474284 0.0123055 0.0197491 266464
3.94392e+08 1.43857e-05 8.30553e-06 1.33048e+06 65216.1 0 0 0 0.238522 0.000136017 0.232772 0.0670682 0.0553626 0.36964 0.000115758 0.373555 0.0468137 0.0553817 0.471521 4.07473e-05 0.475416 0.0117921 0.0189849 208541
6.25024e+08 1.83568e-05 1.05983e-05 2.03186e+06 96863.8 0 0 0 0.244314 0.000153836 0.238953 0.0668879 0.0559498 0.374478 0.000126993 0.37821 0.0454371 0.0532482 0.473237 4.34252e-05 0.476979 0.0110428 0.0179748 163427
9.89707e+08 7.94187e-05 2.51135e-05 2.71278e+06 133167 0 0 0 0.250431 0.00017637 0.2453 0.0670889 0.0568807 0.380261 0.000140532 0.383816 0.0443621 0.0519935 0.47548 4.62151e-05 0.478968 0.010184 0.0166138 125915
1.56793e+09 0.000153766 3.96993e-05 4.61209e+06 217574 0 0 0 0.257682 0.000200929 0.253281 0.0666347 0.0581749 0.387985 0.000155006 0.391838 0.0427423 0.0501723 0.478177 4.78498e-05 0.481405 0.00908527 0.0151441 97551
2.49005e+09 0.000539452 8.42261e-05 7.05289e+06 299569 0 0 0 0.266045 0.000230482 0.261265 0.0681098 0.0580464 0.396977 0.000168566 0.401283 0.0401788 0.0489652 0.480726 4.87515e-05 0.483621 0.00802875 0.0132952 76003
3.94644e+09 0.00128047 0.000145831 1.16478e+07 460490 0 0 0 0.275546 0.000260202 0.271573 0.0677197 0.0598073 0.406581 0.000175484 0.410979 0.0364662 0.0449115 0.482893 4.9401e-05 0.485417 0.0070487 0.0113882 60134
6.26833e+09 0.00204332 0.000204125 1.88041e+07 685845 0 0 0 0.286582 0.000289468 0.282636 0.0685938 0.0603458 0.415213 0.000178537 0.418917 0.0337707 0.0393521 0.484128 5.27756e-05 0.486482 0.00655994 0.0105333 48940
