#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
45.1632 2.92288e-05 2.17855e-06 109635 3360.99 0 0 0 0.305458 3.04923e-05 0.30401 0.0845744 0.0817183 0.390094 2.45778e-05 0.396094 0.0570009 0.0648172 0.470558 1.03945e-05 0.476881 0.0151275 0.0264196 6158315
61.9802 5.18722e-07 5.18722e-07 158906 6287.82 0 0 0 0.248473 4.72027e-05 0.241073 0.0730126 0.0585949 0.362557 4.16927e-05 0.366796 0.0512607 0.060357 0.469149 1.58672e-05 0.473942 0.0137554 0.0226237 1927814
78.2971 0 0 279672 12587.5 0 0 0 0.236881 6.74071e-05 0.23039 0.0677239 0.0549637 0.372533 5.81224e-05 0.376226 0.0478713 0.055299 0.473711 1.87966e-05 0.477103 0.0118728 0.0182003 840960
98.618 0 0 733734 31225.8 0 0 0 0.250485 9.8987e-05 0.245562 0.0672551 0.0571211 0.38554 7.54326e-05 0.387711 0.0446064 0.048197 0.476545 2.35871e-05 0.47934 0.0106384 0.0159571 395575
124.236 2.06293e-05 1.03146e-05 2.71029e+06 93147.1 0 0 0 0.27656 0.000145617 0.272781 0.0687529 0.0605863 0.407456 9.62038e-05 0.410343 0.0395367 0.0440578 0.483037 2.58981e-05 0.485393 0.00774109 0.0122732 193899
156.256 0.0013293 0.000118345 1.58874e+07 379714 0 0 0 0.312493 0.000200425 0.311717 0.0639727 0.0617481 0.428511 0.00010369 0.429804 0.0310369 0.0311887 0.485827 3.28028e-05 0.487877 0.00652018 0.0100796 94787
195.314 0.0192759 0.000697979 9.27627e+07 1.59655e+06 0 0 0 0.319086 0.000280341 0.319242 0.0551222 0.0549904 0.416666 0.000179778 0.417378 0.0358351 0.0342699 0.476997 9.82242e-05 0.482066 0.0102655 0.0190442 38805
243.014 0.112984 0.00333364 2.93832e+08 5.87387e+06 0 7.73094e+08 0 0.296364 0.000560835 0.296323 0.053925 0.0523106 0.384316 0.000469158 0.38513 0.0459266 0.0435479 0.453125 0.000377537 0.463177 0.0222024 0.0451717 9019
307.448 0.445955 0.0129646 7.71712e+08 2.34477e+07 5.30876e+08 1.18943e+09 5.30876e+08 0.268321 0.0013714 0.268217 0.0514238 0.0533418 0.345264 0.00132024 0.345338 0.0525737 0.0511552 0.412914 0.00135825 0.419075 0.0479676 0.0608385 1471
390.415 0.628631 0.0220307 1.58309e+09 4.97657e+07 1.48721e+09 1.27937e+09 1.1019e+09 0.234516 0.00224061 0.233258 0.0525205 0.0482555 0.306462 0.00255782 0.303987 0.053695 0.0498036 0.372984 0.00274381 0.372418 0.0624394 0.0596005 482
495.423 0.644172 0.0376152 2.24322e+09 8.46331e+07 2.40139e+09 9.25161e+08 1.38802e+09 0.210877 0.00355377 0.206942 0.0482171 0.0413388 0.282513 0.00497326 0.278958 0.0504425 0.0538583 0.360752 0.00625901 0.343166 0.121646 0.0580898 163
610.952 0.666667 0.0584705 2.63808e+09 1.5094e+08 2.69447e+09 1.28421e+09 1.60147e+09 0.198065 0.00612074 0.188871 0.0579965 0.0406139 0.290298 0.0102915 0.273861 0.106803 0.0668626 0.380942 0.0113478 0.396767 0.0839278 0.123499 66
776.12 0.684211 0.109561 2.68284e+09 1.61252e+08 2.83824e+09 6.2326e+08 8.20167e+08 0.194239 0.0100237 0.195468 0.0341213 0.0475184 0.265166 0.0137526 0.248004 0.0443804 0.0226958 0.387132 0.0202817 0.422046 0.0523871 0.135496 19
943.267 1 0 3.51889e+09 4.63783e+08 3.59426e+09 6.87579e+08 9.13699e+08 0.1419 0.0179185 0.147595 0.0220988 0.0391839 0.184996 0.0249372 0.195729 0.026081 0.05828 0.390517 0.037123 0.365415 0.0981649 0.0228604 3
