#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
42.2758 1 0 5.64386e+08 9.3922e+07 5.30876e+08 6.41496e+08 5.30876e+08 0.282807 0.0248533 0.235595 0.235645 0.0792449 0.301079 0.0229458 0.268143 0.205089 0.103164 0.342061 0.0198033 0.337851 0.137373 0.145543 31
63.6504 1 0 2.73249e+08 2.73249e+08 0 1.093e+09 0 0.469785 0.014778 0.485965 0.000462919 0.0603689 0.471851 0.0148135 0.488169 0.000266582 0.060614 0.473918 0.0148491 0.490374 7.02441e-05 0.0608592 4
81.7619 1 0 1.22444e+09 3.28476e+08 1.01337e+09 8.60745e+08 1.01337e+09 0.417324 0.0203404 0.440838 0.0455481 0.0557468 0.419249 0.0203631 0.44275 0.045655 0.0557576 0.421175 0.0203859 0.444662 0.0457619 0.0557684 14
100.57 1 0 6.91347e+08 1.10674e+08 5.30876e+08 1.03434e+09 5.30876e+08 0.365157 0.0179332 0.405416 0.0708851 0.199287 0.393568 0.0131076 0.422512 0.0557911 0.147348 0.422448 0.00853902 0.434608 0.0457056 0.0739889 47
131.948 1 0 3.50918e+08 2.22052e+07 0 8.53413e+08 0 0.217518 0.00281385 0.209153 0.0609851 0.0511965 0.312505 0.00245175 0.3124 0.0580759 0.0618514 0.423525 0.00182303 0.435211 0.025792 0.0510845 576
163.026 0.999798 0.000201572 6.54071e+08 1.04508e+07 5.30876e+08 7.99465e+08 5.30876e+08 0.237907 0.000853662 0.233363 0.0612582 0.05441 0.344345 0.000812922 0.35266 0.0459275 0.0671045 0.427258 0.000667755 0.439505 0.0273219 0.050846 4961
199.941 0.999902 9.81258e-05 1.09399e+09 8.73755e+06 9.3351e+08 1.01702e+09 9.3351e+08 0.253541 0.000587688 0.251575 0.0612021 0.0585494 0.343239 0.000538651 0.350466 0.0442882 0.0608933 0.403753 0.000514007 0.413709 0.0390013 0.0592342 10191
248.271 0.999862 0.000137741 1.70768e+09 1.11755e+07 1.64291e+09 1.05156e+09 8.69819e+08 0.244796 0.000664197 0.243582 0.0569972 0.0557314 0.316833 0.000642436 0.319939 0.0502532 0.0579495 0.36551 0.000666506 0.370279 0.0529817 0.0613906 7260
310.752 1 0 2.30771e+09 1.65372e+07 2.3272e+09 9.31093e+08 9.96854e+08 0.225893 0.00091755 0.223192 0.0540071 0.0496413 0.288243 0.000972204 0.287961 0.0522816 0.0529208 0.333026 0.00103643 0.333027 0.0580235 0.0565733 3335
389.937 1 0 2.87262e+09 2.48168e+07 2.90944e+09 8.15329e+08 8.82856e+08 0.20169 0.00139074 0.198019 0.0463982 0.041125 0.261521 0.00161022 0.256446 0.0541466 0.0463212 0.308517 0.00180988 0.300947 0.0669475 0.0501769 1206
489.69 1 0 3.17864e+09 4.63837e+07 3.18951e+09 8.51102e+08 8.62314e+08 0.191737 0.00258011 0.189066 0.0424078 0.0423129 0.249857 0.00339285 0.243466 0.0610924 0.0522153 0.304555 0.00388433 0.294055 0.0898351 0.0566916 352
616.217 1 0 3.45771e+09 8.11734e+07 3.59426e+09 6.87579e+08 7.56027e+08 0.179603 0.00426241 0.176135 0.0319393 0.0339179 0.250105 0.00772401 0.235493 0.0737553 0.0498265 0.312588 0.00843489 0.297643 0.1106 0.0719573 98
756.353 1 0 3.2536e+09 2.15062e+08 3.32655e+09 1.01391e+09 7.0463e+08 0.181922 0.0102844 0.182122 0.0261737 0.0437683 0.238929 0.014445 0.22939 0.0383354 0.057466 0.305521 0.0158736 0.28882 0.10867 0.0546875 26
891.55 1 1 4.28184e+09 4.28184e+09 4.28184e+09 0 0 0.184068 0.184068 0.184068 0 0 0.200177 0.200177 0.200177 0 0 0.332017 0.332017 0.332017 0 0 1
1149.47 1 1 3.78915e+09 3.78915e+09 3.78915e+09 0 0 0.193678 0.193678 0.193678 0 0 0.385112 0.385112 0.385112 0 0 0.477491 0.477491 0.477491 0 0 1
