#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
8.1469e+09 1 0 1.60857e+09 1.67628e+06 1.28215e+09 1.75756e+09 1.28215e+09 0.461985 0.000155155 0.455184 0.132177 0.120746 0.678913 0.000136225 0.692503 0.0955327 0.129235 0.864625 0.000104652 0.887057 0.0571178 0.104821 702821
1.5715e+10 1 0 1.39822e+09 2.30953e+06 1.05478e+09 1.62645e+09 1.05478e+09 0.379732 0.000202181 0.371173 0.111305 0.102256 0.651258 0.000198886 0.663552 0.0967467 0.12544 0.871455 0.000141907 0.891874 0.050058 0.0918342 315772
2.48406e+10 1 0 1.4268e+09 2.6765e+06 1.05478e+09 1.62645e+09 1.05478e+09 0.348078 0.000212889 0.339896 0.103086 0.0947563 0.643878 0.000221078 0.656395 0.0931702 0.122316 0.869236 0.00016298 0.889829 0.0505751 0.0929387 242272
3.92953e+10 1 0 1.50503e+09 3.16495e+06 1.16825e+09 1.75161e+09 1.16825e+09 0.338327 0.000228289 0.330932 0.0962133 0.0879012 0.644323 0.000239605 0.656785 0.0861505 0.114469 0.865136 0.000190159 0.886292 0.0523449 0.0970114 184976
6.24209e+10 1 0 1.66545e+09 3.83991e+06 1.28215e+09 1.87775e+09 1.28215e+09 0.341503 0.000249028 0.335287 0.0904691 0.0833253 0.643087 0.000265876 0.655551 0.0831811 0.111627 0.856394 0.000230606 0.878816 0.0570107 0.105479 141415
9.89947e+10 1 0 1.83549e+09 4.60006e+06 1.51125e+09 2.01127e+09 1.15066e+09 0.35311 0.000271418 0.348647 0.0853617 0.0817711 0.643 0.000294275 0.655922 0.0795724 0.111483 0.845553 0.000275556 0.868149 0.0635189 0.115354 110314
1.56753e+11 1 0 1.99208e+09 5.55976e+06 1.62642e+09 2.13943e+09 1.13248e+09 0.369586 0.000303144 0.365981 0.0822586 0.080549 0.641928 0.000320794 0.653257 0.0755287 0.103359 0.832424 0.000326647 0.854417 0.0688708 0.121061 84112
2.48435e+11 1 0 2.16895e+09 6.92624e+06 1.74201e+09 2.39102e+09 1.24807e+09 0.386153 0.000341244 0.384262 0.0788317 0.0803702 0.630396 0.000352948 0.637316 0.0753279 0.092729 0.811285 0.000395531 0.832083 0.0756209 0.126156 62601
3.93398e+11 1 0 2.41055e+09 8.75687e+06 1.97444e+09 2.52813e+09 1.3692e+09 0.396949 0.000384334 0.395353 0.0795849 0.0793975 0.603031 0.000396572 0.606225 0.0760328 0.0862421 0.777504 0.000483901 0.796368 0.083683 0.131944 46705
6.22924e+11 1 0 2.68384e+09 1.12229e+07 2.20847e+09 2.78993e+09 1.60323e+09 0.396242 0.000432511 0.395543 0.0758087 0.076639 0.566501 0.000452634 0.564913 0.0785474 0.0774105 0.734302 0.000589919 0.746284 0.0982905 0.128707 34410
