#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
8.24722e+09 0 0 9.97123e+07 218327 0 0 0 0.522333 7.43094e-05 0.507369 0.157294 0.117871 0.749303 5.52703e-05 0.753603 0.0987307 0.106178 0.949609 1.90462e-05 0.957535 0.0196189 0.0322632 3575344
1.569e+10 0 0 7.67222e+07 251070 0 0 0 0.422967 8.54438e-05 0.416022 0.10553 0.0951548 0.699602 7.01208e-05 0.704501 0.0817075 0.0923417 0.940462 2.43574e-05 0.947358 0.0185506 0.0317497 1658451
2.47366e+10 0 0 7.18669e+07 285212 0 0 0 0.388591 9.25129e-05 0.383795 0.0962828 0.0913956 0.694099 7.64276e-05 0.698505 0.0761461 0.0846713 0.940957 2.5308e-05 0.946448 0.0173838 0.0276732 1184411
3.91145e+10 0 0 7.40958e+07 353967 0 0 0 0.378748 0.000103969 0.375193 0.0892842 0.0863191 0.698368 8.19476e-05 0.70111 0.0687848 0.0743329 0.941897 2.69435e-05 0.946145 0.01613 0.023943 807469
6.20252e+10 0 0 8.41311e+07 476165 0 0 0 0.384261 0.000118601 0.381732 0.0813425 0.0801732 0.702618 9.08472e-05 0.704434 0.062691 0.0674939 0.94236 3.10393e-05 0.946021 0.0150787 0.0215834 534706
9.83488e+10 0 0 1.0307e+08 673496 0 0 0 0.398475 0.000135151 0.39637 0.0740481 0.0727374 0.708562 0.000104613 0.710454 0.0571543 0.0628484 0.941689 3.90465e-05 0.945167 0.014749 0.0202723 348530
1.55767e+11 0 0 1.31749e+08 984577 0 0 0 0.41712 0.000160586 0.414367 0.0697756 0.0671676 0.710474 0.000125683 0.711461 0.0537723 0.0580968 0.935878 5.77788e-05 0.940005 0.0166167 0.0227755 222642
2.46707e+11 0 0 1.75116e+08 1.455e+06 0 0 0 0.433947 0.000195245 0.431261 0.0676905 0.0652649 0.697046 0.000160502 0.695349 0.056314 0.0541831 0.91942 9.67433e-05 0.925223 0.0232885 0.0327799 140503
3.90787e+11 0 0 2.52244e+08 2.30813e+06 0 4.88998e+08 0 0.443256 0.000246772 0.44044 0.0678846 0.0641964 0.66511 0.000220713 0.661137 0.0624345 0.0542526 0.887547 0.000173519 0.895229 0.0370313 0.0516447 86462
6.19143e+11 0 0 3.6378e+08 3.66596e+06 0 7.97294e+08 0 0.43826 0.000309562 0.435235 0.0681131 0.0626633 0.622958 0.000297547 0.617818 0.0666291 0.0567734 0.84228 0.000286432 0.848597 0.0565489 0.0682085 53822
