#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.68976e+07 0.994552 0.000242991 1.19376e+09 3.8856e+06 8.29125e+08 1.49696e+09 8.29125e+08 0.330143 0.000316989 0.322556 0.0988308 0.0880378 0.638232 0.000344598 0.650238 0.0872743 0.111418 0.864376 0.000264554 0.882949 0.0527478 0.0895068 91772
1.57275e+08 0.9953 0.000380334 1.25633e+09 6.80281e+06 9.41735e+08 1.50235e+09 9.41735e+08 0.336882 0.000536986 0.32964 0.100033 0.0880651 0.642157 0.000548266 0.650587 0.0860693 0.102436 0.862233 0.000454894 0.880961 0.054663 0.0915677 32340
2.49094e+08 0.994884 0.000437566 1.30117e+09 7.63389e+06 9.41735e+08 1.62073e+09 9.41735e+08 0.345266 0.000591992 0.338509 0.0984236 0.0886088 0.646108 0.000594895 0.653959 0.085151 0.102289 0.861307 0.000501817 0.880914 0.0542222 0.0959674 26584
3.96483e+08 0.995469 0.000452066 1.35245e+09 8.69503e+06 9.41735e+08 1.62073e+09 9.41735e+08 0.355246 0.000643247 0.349008 0.0976065 0.0870348 0.651797 0.000644918 0.660193 0.0824369 0.101157 0.859261 0.000565907 0.879622 0.0549625 0.0967557 22071
6.27491e+08 0.996033 0.000460249 1.4212e+09 9.75866e+06 1.05478e+09 1.74558e+09 1.05478e+09 0.366838 0.000696825 0.360376 0.0977552 0.0861785 0.656296 0.000686501 0.664448 0.0793334 0.0991024 0.855406 0.000625129 0.876684 0.05576 0.100266 18654
9.97021e+08 0.994012 0.000597025 1.47879e+09 1.04932e+07 1.05835e+09 1.74201e+09 1.05835e+09 0.377099 0.000730121 0.371237 0.0941249 0.0855409 0.659296 0.000697157 0.666841 0.0756317 0.0929386 0.850178 0.000658846 0.869454 0.0590541 0.098887 16700
1.57763e+09 0.995427 0.000553303 1.5616e+09 1.17275e+07 1.16825e+09 1.75161e+09 1.16825e+09 0.387217 0.000758605 0.379777 0.0963274 0.0817778 0.657369 0.000704712 0.665246 0.0704558 0.0896299 0.840939 0.000728413 0.862259 0.0595484 0.104621 14870
2.50613e+09 0.995283 0.000588295 1.64634e+09 1.28021e+07 1.26213e+09 1.89777e+09 1.26213e+09 0.39555 0.000772168 0.389326 0.0939642 0.0805565 0.650542 0.000695578 0.656972 0.0664001 0.0808069 0.829176 0.000775882 0.849751 0.0622886 0.107066 13567
3.96858e+09 0.99539 0.000598775 1.78934e+09 1.43248e+07 1.39422e+09 2.00711e+09 9.46426e+08 0.402924 0.000792855 0.398796 0.0907463 0.083072 0.634755 0.000697563 0.641196 0.0628658 0.0772074 0.81012 0.000846047 0.830413 0.067098 0.111798 12799
6.28766e+09 0.995293 0.000627605 1.96143e+09 1.61949e+07 1.49151e+09 2.15252e+09 9.97565e+08 0.403637 0.000801947 0.400912 0.0879306 0.0825321 0.613553 0.000704588 0.621012 0.0589684 0.0752204 0.788079 0.000924795 0.80937 0.0691743 0.120771 11896
9.98054e+09 0.991786 0.0008623 2.21932e+09 1.92466e+07 1.62642e+09 2.5066e+09 1.13248e+09 0.39972 0.00081637 0.399904 0.0821136 0.0829536 0.5852 0.000764405 0.594907 0.056573 0.0784975 0.755528 0.0010521 0.777752 0.0759611 0.129243 10957
1.58714e+10 0.987547 0.00106512 2.52589e+09 2.21725e+07 1.85802e+09 2.89207e+09 1.2624e+09 0.391438 0.000819528 0.393579 0.0799605 0.0839485 0.553082 0.000815703 0.564626 0.0572906 0.0844677 0.715876 0.00114222 0.737414 0.0843759 0.139678 10841
2.50736e+10 0.973562 0.00154802 2.85636e+09 2.56357e+07 1.97444e+09 3.50188e+09 1.3692e+09 0.377267 0.000818871 0.381028 0.0771382 0.0877627 0.520474 0.000884543 0.532364 0.0626339 0.0919281 0.675575 0.00125007 0.695564 0.0899833 0.145056 10742
3.98378e+10 0.938384 0.00230432 3.26321e+09 2.85615e+07 2.20847e+09 4.35215e+09 1.60323e+09 0.361178 0.000801361 0.364745 0.0767753 0.0881431 0.492204 0.000961952 0.499789 0.0686133 0.0981286 0.636622 0.00132427 0.648948 0.0981123 0.148095 10890
6.2942e+10 0.885422 0.00310217 3.54067e+09 3.17146e+07 2.32608e+09 5.31458e+09 1.72085e+09 0.344547 0.000774489 0.347007 0.074351 0.0830823 0.469114 0.00105808 0.468744 0.0762947 0.0963562 0.613205 0.00144346 0.615399 0.125763 0.146536 10543
9.93937e+10 0.831967 0.00383306 3.88888e+09 3.70046e+07 2.44409e+09 6.33768e+09 1.95015e+09 0.329808 0.000804711 0.330799 0.0732337 0.0809717 0.457555 0.00130377 0.44432 0.092649 0.0943725 0.607978 0.0017104 0.591433 0.202717 0.148187 9516
1.55972e+11 0.845471 0.00425743 4.63074e+09 4.67429e+07 3.1599e+09 6.56583e+09 2.55467e+09 0.313858 0.000942924 0.313167 0.0719264 0.0772863 0.458057 0.00182094 0.425956 0.148966 0.0951173 0.622838 0.00221718 0.588941 0.267163 0.15519 7209
