#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.77321e+07 0.339706 0.000888514 6.39954e+08 2.19371e+06 0 1.62642e+09 0 0.332253 0.000185064 0.325765 0.0957137 0.0898512 0.65288 0.000197393 0.666714 0.0852538 0.112074 0.901048 0.000154118 0.932948 0.0240291 0.0966342 284128
1.5744e+08 0.369999 0.00144445 7.63591e+08 3.91175e+06 0 1.97444e+09 0 0.334048 0.000296448 0.327261 0.0956607 0.0887995 0.651308 0.00030733 0.663425 0.0841938 0.106625 0.893971 0.000267764 0.930482 0.0252011 0.111682 111722
2.49704e+08 0.398455 0.00158733 8.81474e+08 4.51687e+06 0 2.32608e+09 0 0.338908 0.000324564 0.332328 0.0935761 0.088426 0.650833 0.000333697 0.662908 0.0841039 0.108358 0.887449 0.000305374 0.928024 0.0268341 0.12823 95130
3.96737e+08 0.436379 0.00171094 9.86033e+08 4.9706e+06 0 2.56247e+09 0 0.346759 0.000349635 0.339933 0.0925215 0.0883544 0.654956 0.000358683 0.667249 0.0854046 0.110458 0.882433 0.000333074 0.924923 0.0294004 0.135852 84021
6.27079e+08 0.430292 0.00180013 9.83963e+08 5.2932e+06 0 2.44409e+09 0 0.356527 0.000365104 0.350179 0.0904669 0.0872037 0.661375 0.00036557 0.675782 0.0777734 0.108741 0.882582 0.000351565 0.925991 0.0271326 0.135785 75651
9.92086e+08 0.43987 0.00197001 1.04953e+09 6.06082e+06 0 2.68123e+09 0 0.363357 0.000392768 0.357517 0.0882627 0.0859977 0.660217 0.000387796 0.674547 0.0747333 0.105569 0.875639 0.000395872 0.920813 0.0286971 0.141688 63487
1.57101e+09 0.460105 0.00220763 1.15864e+09 7.1806e+06 3.36501e+08 2.58336e+09 3.36501e+08 0.370844 0.000435766 0.364891 0.0882573 0.0847831 0.655815 0.000421181 0.670424 0.0705488 0.102887 0.864868 0.000458429 0.911494 0.0323329 0.150363 50971
2.49309e+09 0.475558 0.0024405 1.25722e+09 8.37339e+06 4.71216e+08 2.56849e+09 4.71216e+08 0.377745 0.000468023 0.372412 0.0865954 0.0838864 0.647892 0.000441574 0.662252 0.0652888 0.0980958 0.851093 0.000523662 0.898653 0.0363317 0.157064 41875
3.95208e+09 0.50388 0.00269039 1.42449e+09 1.00089e+07 6.05234e+08 2.79609e+09 6.05234e+08 0.382923 0.000507207 0.378301 0.0864919 0.0834324 0.631885 0.000468065 0.646313 0.0609272 0.0968594 0.82963 0.000608555 0.876646 0.0453972 0.167884 34538
6.26417e+09 0.520659 0.00293638 1.59842e+09 1.18946e+07 7.1696e+08 3.04889e+09 7.1696e+08 0.385951 0.000537496 0.382997 0.0836529 0.0840682 0.610382 0.000489023 0.626191 0.0550919 0.0949479 0.803244 0.00069378 0.849161 0.0535265 0.174569 28946
