#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
44.2839 0.136283 0.00016137 2.58051e+08 345283 0 4.74277e+08 0 0.443934 5.73009e-05 0.433875 0.11832 0.102467 0.707649 4.56061e-05 0.712358 0.0860146 0.0973743 0.934371 2.23333e-05 0.946572 0.0209565 0.04108 4520332
62.0796 0.149569 0.000329888 2.59e+08 667086 0 4.87839e+08 0 0.374389 8.27979e-05 0.372578 0.0867108 0.086204 0.696218 7.07494e-05 0.700885 0.0684679 0.0758516 0.933697 3.94518e-05 0.944252 0.017775 0.032212 1168819
78.3356 0.165545 0.000513468 3.11663e+08 1.09964e+06 0 6.05234e+08 0 0.390396 0.000112522 0.390574 0.0764945 0.0794119 0.701824 9.45572e-05 0.706594 0.0593119 0.0680341 0.931576 6.21435e-05 0.943253 0.0163668 0.0308684 523954
98.7318 0.212626 0.000804458 4.49444e+08 1.89011e+06 0 1.0327e+09 0 0.418536 0.000149026 0.418089 0.0716613 0.072112 0.695949 0.000123072 0.699076 0.0536994 0.0584258 0.912226 0.000103839 0.926725 0.0223909 0.0463932 258698
124.11 0.280314 0.00125634 7.35443e+08 3.52357e+06 0 1.74201e+09 0 0.430109 0.000197967 0.430707 0.0654806 0.0680009 0.640484 0.000169211 0.640267 0.0555536 0.0547671 0.853076 0.000191158 0.867558 0.0450733 0.0746239 127814
156.532 0.357659 0.00189719 1.16872e+09 6.46422e+06 4.93943e+08 2.18728e+09 4.93943e+08 0.40416 0.000252195 0.404443 0.0594372 0.0602426 0.562026 0.000237341 0.560941 0.0565257 0.0557972 0.763019 0.000329345 0.771521 0.0704037 0.0883588 63829
197.166 0.47929 0.00271735 1.95439e+09 1.17651e+07 1.16825e+09 3.08771e+09 1.16825e+09 0.353394 0.000333559 0.354232 0.0569822 0.0603096 0.481916 0.000346827 0.481451 0.0610774 0.0607017 0.668326 0.000555396 0.675584 0.0928208 0.113935 33800
248.098 0.605989 0.00371526 3.00934e+09 2.03515e+07 2.09125e+09 4.0521e+09 1.59731e+09 0.299046 0.000454416 0.299747 0.0575153 0.0611565 0.40895 0.000510626 0.407513 0.0662194 0.0627899 0.584502 0.000941244 0.581752 0.129927 0.128072 17299
311.973 0.702816 0.00493016 3.90957e+09 3.09164e+07 3.40132e+09 3.82534e+09 2.56247e+09 0.259306 0.000574777 0.258472 0.0539427 0.0525115 0.35757 0.000688839 0.356786 0.0628524 0.0613182 0.515798 0.00131923 0.503724 0.131397 0.109024 8594
392.794 0.797439 0.00613332 4.63984e+09 4.27809e+07 4.62622e+09 3.09693e+09 3.28677e+09 0.231177 0.000706175 0.230088 0.0452415 0.045673 0.324136 0.000894249 0.322581 0.0591407 0.0573655 0.469104 0.00158669 0.463428 0.100139 0.097104 4295
493.67 0.881364 0.00719109 4.97549e+09 5.56026e+07 5.18518e+09 2.29017e+09 3.21074e+09 0.211784 0.000886741 0.210284 0.0416891 0.03927 0.301738 0.00113646 0.300828 0.0491583 0.0497879 0.441535 0.00181355 0.4387 0.0768338 0.075978 2023
619.903 0.940984 0.00779479 5.01885e+09 7.22391e+07 5.1021e+09 2.20755e+09 2.42087e+09 0.197223 0.00127504 0.195829 0.030044 0.0317967 0.284322 0.0017578 0.283394 0.0436048 0.0459296 0.432575 0.00255558 0.428805 0.0726137 0.068606 915
780.421 0.960733 0.00995068 4.92564e+09 9.58697e+07 4.87415e+09 1.9366e+09 1.83445e+09 0.17983 0.00148101 0.1809 0.0292951 0.0324114 0.270174 0.00211598 0.268558 0.0392817 0.0400585 0.431353 0.00338617 0.429538 0.0697376 0.0627834 382
974.588 0.993056 0.00694444 4.56076e+09 1.23179e+08 4.50257e+09 1.55732e+09 1.58271e+09 0.182501 0.00228393 0.182976 0.0232817 0.0281403 0.270133 0.00318504 0.266754 0.0444906 0.0351155 0.44009 0.00477438 0.440577 0.0597034 0.0613594 144
1214.48 0.975 0.025 4.09012e+09 2.0102e+08 4.37915e+09 6.19245e+08 9.77827e+08 0.17219 0.00453773 0.169356 0.0214225 0.0190136 0.271948 0.00650347 0.272349 0.0339792 0.0418452 0.470797 0.0126274 0.4653 0.0532499 0.0408341 40
1622.9 1 0 3.34579e+09 6.64566e+08 4.01036e+09 0 1.32913e+09 0.17607 0.00703366 0.183104 0 0.0140673 0.266811 0.0286177 0.295429 0 0.0572354 0.488359 0.032547 0.520906 0 0.065094 2
