#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
44.5115 0.00715635 3.93253e-05 8.63461e+07 167035 0 0 0 0.431963 5.81913e-05 0.421272 0.12087 0.104681 0.698631 4.79415e-05 0.703509 0.0917468 0.104067 0.938048 1.9035e-05 0.947484 0.0206227 0.03717 4594383
62.13 0.0100896 8.77208e-05 8.52392e+07 303210 0 0 0 0.36539 8.48738e-05 0.360726 0.093794 0.0888596 0.691992 7.03836e-05 0.695018 0.0743484 0.080382 0.939626 2.5535e-05 0.945202 0.0176105 0.0272236 1297971
78.4319 0.0131138 0.000146637 1.18473e+08 550610 0 0 0 0.385714 0.000118713 0.381965 0.0870702 0.083682 0.70053 9.13554e-05 0.702877 0.0648348 0.0722151 0.938786 3.6653e-05 0.943724 0.0166496 0.0243641 601883
98.5153 0.017984 0.000247379 1.8861e+08 1.05597e+06 0 3.3782e+08 0 0.416438 0.00016353 0.411365 0.082465 0.0759299 0.694834 0.000119564 0.694489 0.0584714 0.0601724 0.918479 7.37314e-05 0.925847 0.0236858 0.0365112 288590
123.827 0.0238414 0.000428213 3.33228e+08 2.22038e+06 0 7.1696e+08 0 0.429118 0.000227799 0.425669 0.0731545 0.0702298 0.635674 0.000182129 0.631084 0.0597619 0.0531219 0.846011 0.000194705 0.856217 0.0536652 0.079004 126922
155.798 0.0357991 0.000809662 6.40914e+08 5.05596e+06 0 1.39649e+09 0 0.406302 0.00033247 0.401974 0.0687902 0.0628984 0.558009 0.000310855 0.551567 0.0619085 0.0550217 0.739118 0.000422828 0.733662 0.102759 0.0876541 52655
196.035 0.0771991 0.00183408 1.38808e+09 1.23832e+07 7.17979e+08 2.16623e+09 7.17979e+08 0.361815 0.000535813 0.357504 0.0690618 0.0650952 0.489232 0.000616002 0.477712 0.0767604 0.0625435 0.658643 0.000909637 0.640629 0.157191 0.111071 21179
246.854 0.131431 0.00373094 2.7651e+09 3.02707e+07 1.63211e+09 4.4147e+09 1.16892e+09 0.313472 0.000896597 0.309056 0.071039 0.0699124 0.439214 0.00140782 0.409914 0.119345 0.0711965 0.618288 0.00200596 0.600805 0.228867 0.177396 8202
310.036 0.170484 0.00680376 4.43068e+09 6.22885e+07 3.62825e+09 5.0732e+09 2.83396e+09 0.280976 0.00155676 0.271794 0.0735599 0.0643741 0.423491 0.00302825 0.37011 0.215794 0.0809852 0.627748 0.00392621 0.641098 0.23685 0.273236 3056
389.51 0.271914 0.0133131 6.12406e+09 1.16912e+08 7.1288e+09 3.15945e+09 6.15815e+09 0.26395 0.00273532 0.249903 0.0719854 0.0612088 0.441474 0.00586696 0.368761 0.302117 0.104034 0.658263 0.00685841 0.682666 0.228556 0.320764 1118
491.276 0.393162 0.0261089 7.00356e+09 2.18636e+08 8.83692e+09 2.06582e+09 7.56108e+09 0.250204 0.00457495 0.238544 0.0681686 0.062368 0.455727 0.0106346 0.396852 0.277124 0.13323 0.714855 0.0117206 0.770605 0.16988 0.310338 351
610.832 0.568627 0.049281 7.69549e+09 4.07013e+08 9.39729e+09 1.99256e+09 7.97486e+09 0.254082 0.0125259 0.221406 0.0830207 0.0406655 0.504587 0.020937 0.507533 0.231191 0.234445 0.747952 0.0198812 0.801837 0.158001 0.279048 102
776.984 0.481481 0.0979908 9.17714e+09 7.14132e+08 1.09522e+10 1.13874e+09 5.8936e+09 0.213097 0.0128005 0.202021 0.0727172 0.0481274 0.522848 0.0381784 0.570429 0.147034 0.272109 0.803936 0.0291743 0.830163 0.114014 0.202837 27
1017.8 0.8 0.2 7.75828e+09 2.46677e+09 1.13898e+10 9.94767e+08 1.02216e+10 0.233893 0.0496441 0.202453 0.224985 0.0537138 0.597414 0.0935179 0.621434 0.178129 0.329167 0.897631 0.0368366 0.916666 0.0747579 0.144489 5
1227.55 0.666667 0.333333 8.83747e+09 2.81344e+09 1.11866e+10 9.04263e+08 7.95179e+09 0.340322 0.0324807 0.311197 0.0939743 0.00660014 0.559059 0.0797431 0.532412 0.176149 0.0962066 0.928751 0.0313442 0.936132 0.04284 0.064984 3
