#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
42.4109 0 0 0 0 0 0 0.0733547 0.00600819 0.0454158 0.0845762 0.0295745 159
63.8014 0.166667 0.166667 0.112367 0 1 0 0.147827 0.0627603 0.0787261 0.231691 0.0656901 12
82.7532 0.0422535 0.0422535 0.0240441 0 0 0 0.177929 0.0178534 0.122854 0.234531 0.106654 71
103.293 0.0674157 0.0674157 0.0133079 0 0 0 0.19279 0.00888631 0.145513 0.217401 0.105906 356
129.029 0.0549044 0.0549044 0.00565958 0 0 0 0.192694 0.00403923 0.148485 0.217112 0.109113 1621
160.767 0.060725 0.0621104 0.00375409 0 0 0 0.20183 0.00251219 0.158081 0.21381 0.1179 4331
200.754 0.0476644 0.0482092 0.00252944 0 0 0 0.194438 0.00182408 0.159703 0.199508 0.120873 7343
250.327 0.0462263 0.0469699 0.00239429 0 0 0 0.196232 0.00168745 0.160616 0.194513 0.121244 8069
313.484 0.0436198 0.0437826 0.00262072 0 0 0 0.207169 0.00190363 0.178893 0.184079 0.118027 6144
391.384 0.0388135 0.0388135 0.00343165 0 0 0 0.225302 0.0026242 0.202556 0.180345 0.124315 3169
491.253 0.0305403 0.0305403 0.004817 0 0 0 0.240208 0.00400811 0.222736 0.161578 0.137337 1277
617.237 0.015015 0.015015 0.00667434 0 0 0 0.252634 0.00764414 0.246194 0.158342 0.137869 333
766.519 0 0 0 0 0 0 0.270705 0.0177819 0.260899 0.162885 0.154163 71
973.363 0 0 0 0 0 0 0.19084 0.0423778 0.152119 0.140792 0.0717539 9
