#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
44.633 0.000201315 0.00020145 5.22182e-06 0 0 0 0.000195753 1.59598e-06 0 0 0 7396369
62.4121 0.000476291 0.000477032 1.33094e-05 0 0 0 0.000568646 4.13935e-06 0 0 0 2700028
78.0779 0.000845483 0.000846331 2.68057e-05 0 0 0 0.00116257 8.55165e-06 0 0 0 1179207
98.5727 0.00203462 0.00204237 6.30835e-05 0 0 0 0.00218645 1.89714e-05 0 0 0 516067
124.132 0.00610112 0.0061379 0.000158837 0 0 0 0.00463721 4.55952e-05 0 0 0 244709
156.186 0.0166767 0.0169197 0.000385513 0 0 0 0.0105953 0.000114938 0 0 0 115191
196.15 0.0383316 0.0392546 0.000881391 0 0 0 0.0235999 0.000282634 0 0.0403143 0 50924
246.063 0.068444 0.0698282 0.00186337 0 0 0 0.0427589 0.000630299 0 0.095698 0 19505
308.571 0.09375 0.096653 0.00398797 0 0 0 0.068265 0.00151906 0.00532627 0.154034 0.00532627 5856
387.166 0.111597 0.112327 0.00859334 0 0 0 0.0928227 0.00349116 0.0368245 0.180579 0.0368245 1371
488.329 0.124567 0.128028 0.0202893 0 0 0 0.162323 0.0104069 0.101528 0.222528 0.101528 289
619.515 0.163934 0.163934 0.0477947 0 1 0 0.206775 0.0208145 0.177906 0.205137 0.152269 61
764.693 0.285714 0.285714 0.184428 0 1 0 0.299641 0.0332525 0.304109 0.0600667 0.0224799 7
990.61 0 0 0 0 0 0 0.243323 0.243323 0.243323 0 0 1
