#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
43.0456 0 0 0 0 0 0 0.100884 0.0195216 0.0888973 0.046098 0.0726966 20
63.5233 0.222222 0.222222 0.146986 0 1 0 0.164023 0.0795035 0.0787261 0.226239 0.0641715 9
82.8393 0.0454545 0.0454545 0.0258363 0 0 0 0.189882 0.0204178 0.124417 0.264072 0.0941423 66
103.109 0.0752351 0.0752351 0.0147915 0 0 0 0.205234 0.00969801 0.166121 0.204501 0.123638 319
129.051 0.0508232 0.0508232 0.00587844 0 0 0 0.205719 0.00447707 0.16325 0.218057 0.122642 1397
160.836 0.0701387 0.0711856 0.0042257 0 0 0 0.221121 0.00275731 0.180297 0.217107 0.123505 3821
200.854 0.0756966 0.0767802 0.00336305 0 0 0 0.231628 0.00208861 0.198463 0.20909 0.134881 6460
250.344 0.0817557 0.0830178 0.00332127 0 0 0 0.250318 0.0020535 0.21664 0.217308 0.14023 7131
313.453 0.0952557 0.0967325 0.00408389 0 0 0 0.287126 0.00245639 0.257765 0.221128 0.152441 5417
391.184 0.100642 0.102784 0.00586964 0 0 0 0.333525 0.00340182 0.316806 0.211038 0.175264 2802
490.896 0.0762411 0.0780142 0.00818346 0 0 0 0.381905 0.00548774 0.379919 0.200558 0.19844 1128
616.706 0.0750853 0.0750853 0.0154219 0 0 0 0.45805 0.00977684 0.453496 0.171348 0.166077 293
768.804 0.0625 0.0625 0.0304969 0 0 0 0.528229 0.0199598 0.504797 0.185126 0.145789 64
971.228 0 0 0 0 0 0 0.508605 0.0460231 0.483853 0.141344 0.0621981 8
