#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.95788e+09 0.000151868 0.00015313 4.95673e-06 0 0 0 5.59728e-05 7.90872e-07 0 0 0 6334467
1.56668e+10 0.000318217 0.000319888 1.16164e-05 0 0 0 0.000136638 1.6878e-06 0 0 0 2394591
2.47404e+10 0.000483548 0.00048533 1.70377e-05 0 0 0 0.000255257 2.58795e-06 0 0 0 1683391
3.91566e+10 0.000692977 0.000695566 2.45828e-05 0 0 0 0.000409002 3.83532e-06 0 0 0 1158768
6.20443e+10 0.00106877 0.00108021 3.74213e-05 0 0 0 0.000603214 5.87687e-06 0 0 0 786885
9.83005e+10 0.00184907 0.00186866 6.1075e-05 0 0 0 0.000884188 9.7661e-06 0 0 0 510527
1.55781e+11 0.00324502 0.00331603 0.000103165 0 0 0 0.0012884 1.68403e-05 0 0 0 323881
2.46718e+11 0.00545847 0.00569686 0.000173259 0 0 0 0.00192982 2.95101e-05 0 0 0 205552
3.90886e+11 0.00978547 0.0102211 0.00029256 0 0 0 0.0031115 5.15364e-05 0 0 0 128558
6.17283e+11 0.017985 0.0188197 0.000513112 0 0 0 0.00555891 9.75094e-05 0 0 0 76675
9.74717e+11 0.0358405 0.0375026 0.00096179 0 0 0 0.0105636 0.000182603 0 0.00546956 0 42717
1.53074e+12 0.0667768 0.0704923 0.00194721 0 0 0 0.021451 0.000405409 0 0.0347807 0 19378
2.39286e+12 0.109231 0.113385 0.00409226 0 0 0 0.0360011 0.00090519 0 0.0832279 0 6500
3.74926e+12 0.141332 0.153894 0.0099209 0 0 0 0.0517081 0.00223158 0 0.125213 0 1592
6.04254e+12 0.199413 0.217009 0.0245612 0 1 0 0.0851484 0.00663043 0.0259156 0.173506 0.0259156 341
9.7633e+12 0.239437 0.274648 0.0437302 0 1 0 0.123176 0.0109553 0.0782509 0.170611 0.0782509 142
1.56126e+13 0.232143 0.25 0.0637059 0 1 0 0.185644 0.0205817 0.146962 0.243529 0.146962 56
2.38219e+13 0.285714 0.285714 0.0774752 0 1 0 0.193963 0.0287695 0.145633 0.262456 0.145633 35
3.77294e+13 0.307692 0.346154 0.110137 0 1 0 0.186264 0.0328659 0.145268 0.2167 0.131385 26
5.83632e+13 0.666667 0.666667 0.333333 1 0 1 0.257671 0.0162622 0.267812 0.011551 0.0419744 3
8.52611e+13 0.5 1 0.707107 1 2 1 0.199838 0.0411443 0.245527 0.0404063 0.144222 4
