#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
6.50813e+07 0 0 0 0 0 0 0.265755 0.18613 0.451885 0 0.372259 2
1.68945e+08 0.166667 0.166667 0.166667 0 1 0 0.434163 0.147832 0.71675 0.10903 0.70916 6
2.40192e+08 0 0 0 0 0 0 0.270906 0.21634 0.487246 0 0.43268 2
4.15025e+08 0.142857 0.285714 0.285714 0 0 0 0.356348 0.112332 0.455694 0.128514 0.41496 7
6.23231e+08 0.0833333 0.0833333 0.0576303 0 0 0 0.308243 0.0568904 0.289479 0.346416 0.266378 24
1.00634e+09 0.136364 0.136364 0.0523336 0 0 0 0.238961 0.0346076 0.136765 0.379543 0.097571 44
1.62685e+09 0.0882353 0.0882353 0.0244116 0 0 0 0.253222 0.0178477 0.227582 0.264624 0.20066 136
2.57226e+09 0.11284 0.120623 0.0217978 0 0 0 0.259724 0.0125609 0.214187 0.268157 0.161698 257
4.08578e+09 0.101626 0.107724 0.0148526 0 0 0 0.254899 0.00913723 0.213682 0.264713 0.161551 492
6.39136e+09 0.10587 0.118449 0.0117544 0 0 0 0.237461 0.00590302 0.195163 0.25228 0.142426 954
1.02458e+10 0.119639 0.125847 0.00831428 0 0 0 0.235922 0.00415282 0.203103 0.227295 0.148722 1772
1.61975e+10 0.119428 0.12841 0.00657441 0 0 0 0.234182 0.003135 0.201128 0.219662 0.14582 3006
2.54737e+10 0.107992 0.113778 0.00491748 0 0 0 0.226989 0.00236769 0.200182 0.196426 0.134264 4667
4.02221e+10 0.0968028 0.102131 0.00389267 0 0 0 0.220465 0.00186919 0.195408 0.189697 0.12884 6756
6.3252e+10 0.0877616 0.0906785 0.00334643 0 0 0 0.219722 0.00170041 0.196855 0.18349 0.130288 7885
9.94231e+10 0.0660583 0.0678289 0.00301586 0 0 0 0.222984 0.00174358 0.198813 0.184748 0.131393 7342
1.55638e+11 0.0520453 0.0526215 0.00313006 0 0 0 0.233111 0.00205565 0.213902 0.182978 0.144051 5207
2.41875e+11 0.065896 0.0666667 0.00495794 0 0 0 0.253412 0.00291858 0.241005 0.175597 0.146112 2595
3.74074e+11 0.0563063 0.0574324 0.00797305 0 0 0 0.272403 0.00518037 0.268963 0.169703 0.17355 888
5.83561e+11 0.0657895 0.0657895 0.0201749 0 0 0 0.287385 0.0115217 0.288033 0.154694 0.148258 152
8.85361e+11 0.08 0.08 0.0553775 0 0 0 0.335605 0.0279561 0.388855 0.0758291 0.282147 25
