#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.58824e+07 0.181818 0.181818 0.121967 0 1 0 0.145896 0.0465738 0.0796257 0.334711 0.0551742 11
1.64013e+08 0.0625 0.0625 0.0625 0 0 0 0.315827 0.0822112 0.183396 0.538233 0.157385 16
2.5905e+08 0.16129 0.16129 0.0671505 0 1 0 0.247679 0.0435998 0.146669 0.420788 0.123687 31
4.0628e+08 0.0666667 0.0833333 0.0431242 0 0 0 0.282074 0.036321 0.146905 0.535257 0.108637 60
6.53586e+08 0.167665 0.179641 0.0321257 0 1 0 0.243659 0.0177097 0.170304 0.343328 0.146127 167
1.01673e+09 0.113924 0.120253 0.0193916 0 0 0 0.218322 0.0121529 0.138625 0.337697 0.115524 316
1.6115e+09 0.149031 0.159463 0.015205 0 0 0 0.251324 0.00820193 0.208919 0.288578 0.17673 671
2.56853e+09 0.155157 0.165022 0.0119587 0 0 0 0.246045 0.005998 0.188301 0.283298 0.148288 1115
4.08091e+09 0.126322 0.134669 0.00864869 0 0 0 0.244469 0.00466949 0.194826 0.265732 0.151728 1797
6.38842e+09 0.125804 0.136883 0.00710058 0 0 0 0.248283 0.0035895 0.203233 0.264323 0.150495 2798
1.01524e+10 0.135058 0.143366 0.00576325 0 0 0 0.244437 0.00279238 0.210626 0.233311 0.156537 4213
1.61038e+10 0.126647 0.136034 0.00475546 0 0 0 0.243497 0.00226195 0.211401 0.228338 0.146065 6072
2.53489e+10 0.116274 0.123622 0.00382267 0 0 0 0.240919 0.00183566 0.213257 0.209765 0.146011 8437
4.01038e+10 0.107373 0.112705 0.00318972 0 0 0 0.236155 0.00154553 0.210808 0.200254 0.143069 10878
6.3117e+10 0.089806 0.0923695 0.00275726 0 0 0 0.233007 0.00145449 0.210664 0.192245 0.142925 11703
9.92846e+10 0.0707743 0.0727027 0.00262166 0 0 0 0.236595 0.00152701 0.213902 0.190829 0.145481 10371
1.5514e+11 0.0548121 0.0555239 0.00276943 0 0 0 0.245059 0.00181629 0.22698 0.184199 0.145465 7024
2.41296e+11 0.0640569 0.0646501 0.00427672 0 0 0 0.261845 0.00258924 0.25266 0.172014 0.156139 3372
3.7401e+11 0.0542341 0.0551855 0.00717423 0 0 0 0.277171 0.00474726 0.273315 0.170175 0.176953 1051
5.80685e+11 0.0701754 0.0701754 0.0195915 0 0 0 0.296245 0.0109425 0.292951 0.152201 0.145026 171
8.8276e+11 0.0769231 0.0769231 0.0532939 0 0 0 0.332112 0.0270857 0.388855 0.0655732 0.23715 26
