#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
6.50813e+07 0 0 0 0 0 0 0.265755 0.18613 0.451885 0 0.372259 2
1.68945e+08 0.166667 0.166667 0.166667 0 1 0 0.472505 0.164023 0.71675 0.196411 0.70916 6
2.40192e+08 0 0 0 0 0 0 0.462141 0.407575 0.869716 0 0.81515 2
4.15025e+08 0.142857 0.285714 0.285714 0 0 0 0.413442 0.136257 0.526334 0.210627 0.4856 7
6.23231e+08 0.0833333 0.0833333 0.0576303 0 0 0 0.351694 0.0645462 0.289479 0.511808 0.264552 24
1.00634e+09 0.204545 0.227273 0.0717026 0 1 0 0.329754 0.0455617 0.19103 0.482891 0.147107 44
1.62685e+09 0.110294 0.125 0.0320632 0 0 0 0.375936 0.0250626 0.331744 0.430188 0.282658 136
2.57226e+09 0.171206 0.178988 0.0251958 0 1 0 0.364158 0.0166879 0.321338 0.372703 0.250705 257
4.08578e+09 0.180894 0.195122 0.0194373 0 1 0 0.373364 0.0119921 0.359657 0.325621 0.290906 492
6.39136e+09 0.205451 0.232704 0.0157783 0 1 0 0.355428 0.00798428 0.317411 0.334566 0.234399 954
1.02458e+10 0.203725 0.221783 0.0109144 0 1 0 0.349543 0.00553806 0.319717 0.30147 0.233959 1772
1.61975e+10 0.214238 0.235529 0.00862033 0 1 0 0.342485 0.00414628 0.32156 0.287117 0.23482 3006
2.54737e+10 0.214485 0.236769 0.00698797 0 1 0 0.328953 0.00313563 0.30726 0.262505 0.210879 4667
4.02221e+10 0.197158 0.213884 0.00546688 0 1 0 0.314854 0.00246519 0.291089 0.250179 0.193904 6756
6.3252e+10 0.176538 0.190742 0.00481812 0 1 0 0.313359 0.00221796 0.292561 0.243203 0.192943 7885
9.94231e+10 0.136066 0.143013 0.00431565 0 0 0 0.322378 0.00227821 0.305691 0.227905 0.194418 7342
1.55638e+11 0.0973689 0.101402 0.00438175 0 0 0 0.338882 0.00270287 0.32952 0.222143 0.20386 5207
2.41875e+11 0.0870906 0.0897881 0.00579531 0 0 0 0.385787 0.00389375 0.388799 0.203928 0.232418 2595
3.74074e+11 0.0698198 0.0709459 0.00876634 0 0 0 0.437629 0.00676761 0.455567 0.199139 0.252463 888
5.83561e+11 0.0328947 0.0394737 0.0183912 0 0 0 0.5047 0.0149519 0.508973 0.189221 0.182462 152
8.85361e+11 0 0 0 0 0 0 0.570502 0.0273319 0.575088 0.149506 0.154175 25
