#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.00082e+07 0.136364 0.227273 0.130464 0 0 0 0.177225 0.0496372 0.122085 0.249806 0.110869 22
1.62269e+08 0.0526316 0.0526316 0.0526316 0 0 0 0.304484 0.0782436 0.129241 0.58751 0.10323 19
2.56008e+08 0.162162 0.162162 0.0614333 0 1 0 0.244135 0.0441839 0.12066 0.446798 0.0956761 37
4.05337e+08 0.0793651 0.0952381 0.04361 0 0 0 0.287235 0.0368204 0.133167 0.559058 0.0954615 63
6.54926e+08 0.170588 0.182353 0.0319606 0 1 0 0.253671 0.0188719 0.167475 0.387535 0.142795 170
1.01689e+09 0.131902 0.141104 0.0207252 0 0 0 0.233747 0.0130956 0.143633 0.387557 0.120679 326
1.61115e+09 0.172012 0.188047 0.016423 0 1 0 0.284534 0.00945365 0.216785 0.37802 0.179513 686
2.5685e+09 0.179931 0.192907 0.0126003 0 1 0 0.274772 0.00678052 0.206405 0.336853 0.162597 1156
4.0781e+09 0.170224 0.183031 0.00969948 0 1 0 0.283435 0.00541755 0.220933 0.336914 0.169712 1874
6.39195e+09 0.176674 0.194962 0.00820242 0 1 0 0.299731 0.00427457 0.24482 0.33203 0.189513 2898
1.01518e+10 0.19295 0.209201 0.00675499 0 1 0 0.301875 0.00337175 0.258478 0.308518 0.191058 4369
1.61048e+10 0.193431 0.212064 0.00570291 0 1 0 0.303124 0.00272602 0.269291 0.282743 0.198251 6333
2.53599e+10 0.199977 0.220813 0.0049484 0 1 0 0.303701 0.00221807 0.275024 0.262391 0.193185 8831
4.01066e+10 0.192689 0.209257 0.00417834 0 1 0 0.302046 0.00186947 0.274737 0.2455 0.18945 11407
6.3131e+10 0.17013 0.182987 0.00376767 0 1 0 0.300702 0.00174912 0.278518 0.23981 0.18837 12367
9.93378e+10 0.134931 0.141776 0.00349433 0 0 0 0.307838 0.00183757 0.288722 0.230695 0.191909 11102
1.55185e+11 0.101113 0.104912 0.00365577 0 0 0 0.322488 0.00222382 0.30847 0.223539 0.198497 7635
2.41476e+11 0.0912026 0.094162 0.00495443 0 0 0 0.359658 0.00326959 0.355848 0.220965 0.226771 3717
3.74753e+11 0.0753247 0.0761905 0.00790526 0 0 0 0.412487 0.00601569 0.421795 0.204353 0.243371 1155
5.82267e+11 0.0418848 0.0471204 0.0170713 0 0 0 0.475751 0.0137543 0.491241 0.174681 0.215072 191
8.85953e+11 0 0 0 0 0 0 0.547108 0.0300314 0.570426 0.145371 0.173047 27
1.30387e+12 0 0 0 0 0 0 0.665768 0.665769 0.665769 0 0 1
