#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
45.3158 0.000200605 0.000202514 5.30402e-06 0 0 0 8.11799e-05 8.35438e-07 0 0 0 7332827
62.1114 0.000400222 0.000400606 1.24078e-05 0 0 0 0.000240662 1.90275e-06 0 0 0 2606052
78.7008 0.000839055 0.000842165 2.56744e-05 0 0 0 0.00055484 4.14425e-06 0 0 0 1285971
98.5574 0.00220004 0.00221366 5.81862e-05 0 0 0 0.00105443 8.97056e-06 0 0 0 660444
124.109 0.00617859 0.00630397 0.00014479 0 0 0 0.00206699 2.22362e-05 0 0 0 311074
155.934 0.0190315 0.0199574 0.000391034 0 0 0 0.00570791 7.11699e-05 0 0 0 140399
194.779 0.058604 0.0620571 0.00114284 0 0 0 0.0190042 0.000237634 0 0.0294444 0 50099
242.73 0.124019 0.130909 0.00350433 0 0 0 0.0505795 0.000855179 0 0.119047 0 10450
307.387 0.170264 0.181655 0.0101411 0 1 0 0.119994 0.00330192 0.073373 0.184585 0.073373 1668
390.76 0.156716 0.173507 0.0181883 0 0 0 0.203955 0.00651968 0.194903 0.171397 0.158162 536
495.71 0.217391 0.228261 0.0328847 0 1 0 0.2643 0.0123911 0.267534 0.162613 0.186019 184
612.299 0.183099 0.197183 0.0516127 0 1 0 0.228063 0.0213334 0.22698 0.185522 0.204654 71
776.12 0.210526 0.315789 0.171894 0 1 0 0.210398 0.0342246 0.166587 0.18899 0.115197 19
943.267 0.333333 0.333333 0.333333 0 1 0 0.231419 0.141603 0.193407 0.300063 0.186025 3
