#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
46.1246 0.000246921 0.000248624 1.46471e-05 0 0 0 0.00011057 2.23809e-06 0 0 0 1174465
62.4856 0.000504254 0.000504254 2.72601e-05 0 0 0 0.000282763 4.0835e-06 0 0 0 678229
79.4692 0.00128088 0.00128313 5.3757e-05 0 0 0 0.000714114 8.35726e-06 0 0 0 445005
98.4668 0.0036019 0.00362833 0.000117682 0 0 0 0.001458 1.75217e-05 0 0 0 264860
123.898 0.0113709 0.0116099 0.000319668 0 0 0 0.00345289 4.96539e-05 0 0 0 117141
155.228 0.0381774 0.0407358 0.000988749 0 0 0 0.0113631 0.000184431 0 0.0118166 0 45341
192.809 0.104113 0.112284 0.00327417 0 0 0 0.0332221 0.000704341 0 0.0650375 0 10892
240.32 0.168413 0.190975 0.0127902 0 1 0 0.0699184 0.00303567 0.0196944 0.138784 0.0196944 1241
305.6 0.324561 0.385965 0.0564278 0 1 0 0.128889 0.0149945 0.0455783 0.255262 0.0455783 114
389.287 0.277778 0.277778 0.108632 0 1 0 0.217049 0.0434275 0.20915 0.257585 0.20915 18
507.947 0.714286 0.857143 0.26082 1 0 1 0.319099 0.101581 0.258198 0.354694 0.242611 7
