#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.69941e+09 0.0785903 0.0900318 0.000511483 0 0 0 0.0138128 7.33825e-05 0 0.00995416 0 408778
1.58016e+10 0.0709791 0.0825728 0.000612075 0 0 0 0.0112283 7.32437e-05 0 0.00924733 0 271094
2.48561e+10 0.0689821 0.0799737 0.000658221 0 0 0 0.0109452 7.7112e-05 0 0.00914361 0 226537
3.9173e+10 0.07312 0.0846913 0.000780417 0 0 0 0.0118299 9.22749e-05 0 0.00987326 0 169557
6.21281e+10 0.0863177 0.0990534 0.00100144 0 0 0 0.014553 0.000128205 0 0.0178813 0 116523
9.84892e+10 0.105475 0.120789 0.00132793 0 0 0 0.0180726 0.000175081 0 0.0270123 0 79014
1.55521e+11 0.129257 0.149899 0.00186722 0 0 0 0.02282 0.000258167 0 0.0395419 0 49560
2.45961e+11 0.169971 0.200875 0.0027733 0 1 0 0.0297844 0.000388855 0 0.0614696 0 29705
3.89697e+11 0.223533 0.27401 0.00424448 0 1 0 0.0417705 0.000625441 0 0.0955274 0 17295
6.16642e+11 0.299401 0.377865 0.00654379 0 1 0 0.0592163 0.00105155 0.00451531 0.136263 0.00451531 9686
9.77355e+11 0.400039 0.547029 0.0109309 0 1 0 0.0925518 0.0018798 0.0257442 0.194237 0.0257442 5082
1.54206e+12 0.523979 0.75595 0.0163568 1 1 1 0.135695 0.00299649 0.0737477 0.236397 0.0737477 2815
2.44457e+12 0.648536 0.983961 0.0246304 1 1 1 0.195629 0.00482371 0.149943 0.245609 0.141616 1434
3.87806e+12 0.721774 1.08333 0.033674 1 1 1 0.244972 0.00750782 0.206609 0.274026 0.185673 744
6.06132e+12 0.729885 1.12356 0.0504778 1 1 1 0.304127 0.0112822 0.309962 0.219981 0.256818 348
9.75373e+12 0.765027 1.09836 0.0630091 1 1 1 0.341946 0.0155424 0.344238 0.209669 0.259852 183
1.60997e+13 0.655556 0.944444 0.0898898 1 1 1 0.352497 0.0231304 0.381004 0.224816 0.300712 90
2.46285e+13 0.794118 1.08824 0.135944 1 1 1 0.386043 0.0336485 0.433598 0.14588 0.300358 34
3.69802e+13 0.727273 1.04545 0.179914 1 1 1 0.365082 0.0396193 0.371457 0.217032 0.174051 22
6.21526e+13 0.875 1.5 0.327327 2 0 1 0.414688 0.0560195 0.491891 0.0165925 0.190443 8
9.13306e+13 0.75 0.75 0.25 1 0 1 0.453218 0.0868871 0.468703 0.194862 0.229906 4
1.70018e+14 1 2 1 3 0 2 0.234331 0.14418 0.378511 0 0.28836 2
2.17794e+14 0 0 0 0 0 0 0.263991 0.263991 0.263991 0 0 1
