#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.81044e+09 0.198047 0.225182 0.00122152 0 1 0 0.167891 0.00034892 0.134998 0.169211 0.0976995 156180
1.58502e+10 0.200556 0.230383 0.00143794 0 1 0 0.149271 0.000351238 0.121104 0.145949 0.0875403 117309
2.49756e+10 0.191262 0.218713 0.00146161 0 1 0 0.147957 0.000354936 0.122366 0.140307 0.0849094 108375
3.94594e+10 0.179022 0.203116 0.00151638 0 1 0 0.152695 0.000385649 0.128618 0.1411 0.0901073 93134
6.26016e+10 0.174402 0.195402 0.00161331 0 1 0 0.165779 0.000434003 0.144017 0.144237 0.0978434 77952
9.90796e+10 0.176423 0.196585 0.00177191 0 1 0 0.180274 0.000491593 0.161575 0.148048 0.107991 64181
1.56481e+11 0.187676 0.210804 0.00212383 0 1 0 0.198144 0.000597143 0.182394 0.150299 0.119391 47907
2.47713e+11 0.211725 0.240079 0.0027057 0 1 0 0.219631 0.000758864 0.206146 0.160446 0.134566 33364
3.92387e+11 0.243035 0.283497 0.0035628 0 1 0 0.249017 0.000985863 0.238057 0.171645 0.151541 22935
6.2045e+11 0.296051 0.357326 0.00478778 0 1 0 0.283787 0.00129217 0.275108 0.181098 0.169169 15977
9.84644e+11 0.354044 0.450684 0.00655369 0 1 0 0.332918 0.00171803 0.328527 0.194571 0.196656 11041
1.55588e+12 0.414118 0.541592 0.0086771 0 1 0 0.381264 0.00225627 0.385091 0.204224 0.218929 7225
2.46621e+12 0.439992 0.595125 0.011286 0 1 0 0.431576 0.00281167 0.444764 0.194809 0.231937 4841
3.92672e+12 0.416244 0.554251 0.013547 0 1 0 0.472947 0.00345166 0.492093 0.185811 0.237327 3152
6.20266e+12 0.400709 0.525836 0.0166999 0 1 0 0.501288 0.00418757 0.527684 0.160799 0.231631 1974
9.81555e+12 0.347437 0.4524 0.0199466 0 1 0 0.526056 0.00494108 0.54528 0.155302 0.202167 1229
1.5565e+13 0.34375 0.441406 0.0251085 0 1 0 0.525576 0.0063762 0.549456 0.15868 0.209102 768
2.4815e+13 0.302158 0.381295 0.0317049 0 1 0 0.53855 0.0076602 0.551798 0.14042 0.176051 417
3.85586e+13 0.300813 0.337398 0.0348016 0 1 0 0.525248 0.0101051 0.53756 0.14191 0.186059 246
6.1368e+13 0.296774 0.367742 0.0509806 0 1 0 0.533612 0.0115392 0.52738 0.16999 0.125572 155
9.85224e+13 0.298701 0.324675 0.0597373 0 1 0 0.47565 0.0160033 0.468486 0.15821 0.125477 77
1.53276e+14 0.194444 0.222222 0.080781 0 1 0 0.467311 0.026725 0.460086 0.210647 0.163441 36
2.44446e+14 0.357143 0.428571 0.172706 0 1 0 0.460874 0.0406982 0.489716 0.0578361 0.211513 14
3.34412e+14 1 1 1 1 0 0 0.545259 0.545259 0.545259 0 0 1
7.53676e+14 0 0 0 0 0 0 0.185354 0.185354 0.185354 0 0 1
