#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.69766e+09 0.0770859 0.0883274 0.000509862 0 0 0 0.0130066 7.12702e-05 0 0.00936884 0 404393
1.58015e+10 0.0692213 0.0805162 0.000608508 0 0 0 0.010421 7.03898e-05 0 0.00888576 0 267822
2.48529e+10 0.0670041 0.0776956 0.000653948 0 0 0 0.0100558 7.36975e-05 0 0.00880165 0 223449
3.91689e+10 0.0709929 0.0822449 0.000776124 0 0 0 0.0108124 8.78787e-05 0 0.0091046 0 166904
6.21187e+10 0.0834624 0.0957144 0.00099483 0 0 0 0.0131471 0.00012141 0 0.0170003 0 114267
9.8472e+10 0.102517 0.117412 0.0013265 0 0 0 0.0161763 0.000165297 0 0.0251117 0 77207
1.55505e+11 0.125856 0.14597 0.00186956 0 0 0 0.0205099 0.000244661 0 0.0342449 0 48325
2.45941e+11 0.165023 0.195021 0.00278188 0 1 0 0.0268432 0.000372827 0 0.0526002 0 28802
3.89836e+11 0.218789 0.268738 0.00428616 0 1 0 0.0375754 0.000593705 0 0.0839197 0 16797
6.17307e+11 0.293599 0.370304 0.0065535 0 1 0 0.0542554 0.0010077 0 0.12789 0 9530
9.76542e+11 0.390452 0.533677 0.0108952 0 1 0 0.0840666 0.00178632 0.018284 0.180653 0.018284 5048
1.54271e+12 0.522654 0.747057 0.0162175 1 1 1 0.125197 0.00288612 0.0627922 0.230997 0.0627922 2803
2.44632e+12 0.656407 0.994273 0.0248051 1 1 1 0.181465 0.00468192 0.129162 0.24854 0.122934 1397
3.85984e+12 0.720056 1.08357 0.0342808 1 1 1 0.23323 0.00746387 0.196437 0.261796 0.184062 718
6.05483e+12 0.770186 1.18944 0.0514344 1 1 1 0.292327 0.011604 0.294612 0.225097 0.259817 322
9.68093e+12 0.807453 1.13043 0.064828 1 1 1 0.328965 0.0168614 0.318032 0.23785 0.246815 161
1.57933e+13 0.71831 1.02817 0.0982172 1 1 1 0.353694 0.0272044 0.413464 0.203282 0.349763 71
2.44187e+13 0.862069 1.24138 0.154212 1 1 0 0.351549 0.0367694 0.348588 0.230413 0.251877 29
3.7004e+13 0.764706 1.11765 0.207973 1 1 1 0.358072 0.0519969 0.360744 0.290966 0.25034 17
6.8141e+13 1 2 0.57735 2 1 1 0.352451 0.110494 0.40996 0.0985237 0.271051 3
9.46032e+13 0.666667 0.666667 0.333333 1 0 1 0.457022 0.122759 0.468703 0.194862 0.229906 3
1.70018e+14 1 2 1 3 0 2 0.234331 0.14418 0.378511 0 0.28836 2
