#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.14316e+09 0.199222 0.226454 0.000585868 0 1 0 0.172954 0.000166847 0.140135 0.173565 0.0999238 681414
1.57148e+10 0.228813 0.26975 0.000972007 0 1 0 0.136473 0.000205542 0.108486 0.138453 0.0777126 305171
2.48388e+10 0.226485 0.266916 0.00110657 0 1 0 0.133192 0.00022775 0.106899 0.133313 0.0765214 233976
3.92963e+10 0.219284 0.257288 0.00124413 0 1 0 0.136008 0.00026168 0.110058 0.13491 0.0795411 178399
6.24231e+10 0.214211 0.248055 0.00138513 0 1 0 0.146526 0.000310515 0.121195 0.140599 0.0853783 136361
9.89857e+10 0.214469 0.246733 0.00155425 0 1 0 0.158804 0.000364569 0.135388 0.147593 0.0964686 106435
1.56753e+11 0.227537 0.263045 0.00182746 0 1 0 0.171718 0.00043781 0.149539 0.152633 0.103061 81279
2.48461e+11 0.253337 0.296313 0.00223684 0 1 0 0.187369 0.000535416 0.16635 0.160069 0.11617 60453
3.93588e+11 0.287025 0.342149 0.00276764 0 1 0 0.208998 0.000663636 0.187837 0.174462 0.125421 45334
6.23528e+11 0.341102 0.420536 0.00353824 0 1 0 0.236849 0.000854392 0.218665 0.185878 0.147929 33940
9.88838e+11 0.407872 0.531348 0.00460619 0 1 0 0.272839 0.00112673 0.257518 0.208481 0.184698 25584
1.56396e+12 0.49011 0.681893 0.00602527 0 1 0 0.32196 0.00146801 0.312456 0.230171 0.220795 18959
2.47909e+12 0.560211 0.821965 0.00752552 1 1 1 0.396016 0.00183341 0.402755 0.233583 0.26255 14250
3.93436e+12 0.584671 0.877056 0.00912686 1 1 1 0.481816 0.00219986 0.516992 0.193669 0.301683 10151
6.2183e+12 0.539568 0.808201 0.0109808 1 1 1 0.575655 0.00245021 0.627372 0.139793 0.27899 6950
9.85165e+12 0.466958 0.671862 0.0122937 0 2 0 0.65036 0.00258233 0.696049 0.113344 0.221368 4812
1.56234e+13 0.424472 0.58152 0.0141043 0 1 0 0.700629 0.00277654 0.739442 0.0949963 0.175654 3171
2.47121e+13 0.375958 0.501437 0.0163577 0 1 0 0.744649 0.0028216 0.771727 0.0777686 0.125168 2088
3.925e+13 0.300222 0.39659 0.01886 0 1 0 0.775948 0.00312668 0.797895 0.0742467 0.113996 1349
6.18093e+13 0.278302 0.362028 0.0229363 0 1 0 0.80173 0.00328911 0.819897 0.0605569 0.0858228 848
9.75581e+13 0.242424 0.290909 0.0255883 0 1 0 0.815705 0.00392733 0.830478 0.0558521 0.0749996 495
1.53886e+14 0.226537 0.28479 0.0328878 0 1 0 0.833521 0.0043823 0.843545 0.0599024 0.0697186 309
2.44996e+14 0.2125 0.25 0.0425227 0 1 0 0.845387 0.0052653 0.859671 0.0450215 0.0641001 160
3.85496e+14 0.21875 0.234375 0.0578303 0 1 0 0.837656 0.00853966 0.853132 0.0422906 0.0810944 64
6.06299e+14 0.15 0.15 0.0571772 0 0 0 0.877899 0.00734839 0.885147 0.0330432 0.0411676 40
8.75563e+14 0.25 0.5 0.5 0 2 0 0.831016 0.0608494 0.9059 0.0343319 0.237467 4
1.74499e+15 0 0 0 0 0 0 0.887475 0.00176787 0.889242 0 0.00353575 2
