#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.1469e+09 0.200132 0.227561 0.000578198 0 1 0 0.170718 0.000163917 0.137456 0.173694 0.0990072 702821
1.5715e+10 0.228953 0.269983 0.000956074 0 1 0 0.134419 0.000201318 0.105956 0.138567 0.0758426 315772
2.48406e+10 0.226943 0.267464 0.00108839 0 1 0 0.131095 0.000223045 0.103905 0.133521 0.0740587 242272
3.92953e+10 0.219893 0.258152 0.00122423 0 1 0 0.133688 0.000256125 0.107667 0.134673 0.0775789 184976
6.24209e+10 0.215522 0.249924 0.00136593 0 1 0 0.144047 0.000304173 0.118133 0.141121 0.0868779 141415
9.89947e+10 0.215866 0.248717 0.00153366 0 1 0 0.156167 0.000357471 0.132648 0.147417 0.0944036 110314
1.56753e+11 0.228873 0.264873 0.00180274 0 1 0 0.169095 0.000429811 0.145631 0.153942 0.100223 84112
2.48435e+11 0.255731 0.299724 0.00221169 0 1 0 0.184545 0.000525237 0.161856 0.161482 0.114283 62601
3.93398e+11 0.291104 0.347757 0.00274713 0 1 0 0.207242 0.000651734 0.18579 0.174157 0.126997 46705
6.22924e+11 0.347864 0.429003 0.00353612 0 1 0 0.238193 0.000839993 0.219135 0.185124 0.147012 34410
9.8828e+11 0.420488 0.549695 0.00469223 0 1 0 0.28122 0.00110624 0.265614 0.20334 0.176202 25254
1.56391e+12 0.500703 0.69974 0.00615903 1 1 1 0.335398 0.00143897 0.32665 0.222622 0.210849 18494
2.47885e+12 0.557588 0.815703 0.00757059 1 1 1 0.406383 0.00180193 0.413125 0.226631 0.257438 14048
3.93603e+12 0.577723 0.863381 0.00909818 1 1 1 0.487922 0.00216836 0.524578 0.187423 0.301158 10145
6.21678e+12 0.533809 0.791155 0.0107956 1 1 1 0.576653 0.00242743 0.627704 0.139886 0.278436 7010
9.85754e+12 0.464417 0.665235 0.0121254 0 2 0 0.652749 0.00252634 0.696933 0.112905 0.216607 4890
1.56549e+13 0.425467 0.5779 0.0137146 0 1 0 0.700793 0.00273395 0.738758 0.0955842 0.172152 3267
2.46786e+13 0.374591 0.498832 0.0161109 0 1 0 0.744884 0.00277278 0.771695 0.0773996 0.123457 2141
3.91938e+13 0.3066 0.401703 0.0184407 0 1 0 0.775073 0.00304432 0.797332 0.0742546 0.114878 1409
6.178e+13 0.288914 0.382979 0.0230448 0 1 0 0.798354 0.00340409 0.818546 0.0603122 0.0930392 893
9.75526e+13 0.2393 0.287938 0.0247395 0 1 0 0.815206 0.00386998 0.830478 0.0556476 0.0780118 514
1.53931e+14 0.231746 0.288889 0.0325369 0 1 0 0.833113 0.0045018 0.844524 0.0606868 0.0740366 315
2.4422e+14 0.224242 0.260606 0.0420264 0 1 0 0.845684 0.0052387 0.859671 0.0477486 0.0641001 165
3.83655e+14 0.220588 0.235294 0.0558974 0 1 0 0.839336 0.00818226 0.852403 0.0445712 0.0803648 68
6.08917e+14 0.142857 0.142857 0.0546494 0 0 0 0.877243 0.00715802 0.885147 0.0330432 0.0559185 42
8.75563e+14 0.25 0.5 0.5 0 2 0 0.831016 0.0608494 0.9059 0.0343319 0.237467 4
1.74499e+15 0 0 0 0 0 0 0.887475 0.00176787 0.889242 0 0.00353575 2
