#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.75133e+07 0.0652093 0.0751684 0.000693384 0 0 0 0.0104689 8.11589e-05 0 0.00902932 0 190479
1.57228e+08 0.0698181 0.0792277 0.00114508 0 0 0 0.0114935 0.000141859 0 0.00935092 0 71629
2.49167e+08 0.0792441 0.0911385 0.00136557 0 0 0 0.0137057 0.000177916 0 0.0171297 0 58263
3.96401e+08 0.0946642 0.107916 0.00160441 0 0 0 0.016033 0.000210095 0 0.0208685 0 48371
6.26908e+08 0.101317 0.114597 0.00171687 0 0 0 0.0168401 0.000223899 0 0.0257653 0 44050
9.91117e+08 0.107328 0.122445 0.00195481 0 0 0 0.0182365 0.000260059 0 0.0269539 0 36449
1.5699e+09 0.121131 0.139017 0.00237158 0 0 0 0.0209065 0.000326691 0 0.0347992 0 28234
2.48921e+09 0.134942 0.157662 0.00284228 0 0 0 0.0231112 0.00038062 0 0.0426414 0 22580
3.94451e+09 0.156156 0.181756 0.00341252 0 0 0 0.0262305 0.000466819 0 0.0516685 0 17617
6.25318e+09 0.182447 0.22039 0.00424647 0 1 0 0.032195 0.000603416 0 0.0647085 0 14311
9.91065e+09 0.20321 0.252162 0.00516332 0 1 0 0.0387844 0.000778853 0 0.0811616 0 11215
1.57162e+10 0.238987 0.303334 0.00637061 0 1 0 0.0486999 0.00104667 0 0.106052 0 8967
2.4833e+10 0.300608 0.396322 0.00824319 0 1 0 0.0634788 0.00138559 0.00218533 0.143779 0.00218533 6906
3.92197e+10 0.351258 0.476858 0.010327 0 1 0 0.0839776 0.00188189 0.00912055 0.195549 0.00912055 5207
6.20854e+10 0.411331 0.588406 0.013363 0 1 0 0.106392 0.00253283 0.0259509 0.23028 0.0259509 3795
9.73347e+10 0.477347 0.68426 0.0183725 0 2 0 0.12504 0.00347356 0.0503927 0.24659 0.0503927 2141
1.51313e+11 0.523256 0.754651 0.0300983 1 1 1 0.164747 0.0058501 0.0941347 0.25948 0.0775336 860
2.34144e+11 0.542453 0.674528 0.0492596 1 0 1 0.252756 0.0131144 0.207389 0.265005 0.147992 212
3.77672e+11 0.578947 0.815789 0.135227 1 1 1 0.349025 0.0229602 0.369766 0.12487 0.176592 38
5.49654e+11 0.666667 1 0.57735 1 1 1 0.455197 0.0161258 0.468703 0.00510469 0.0456225 3
