#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.68222e+07 0.0532425 0.0622766 0.000342209 0 0 0 0.00746201 3.2125e-05 0 0.00440131 0 671231
1.57038e+08 0.0563667 0.0656307 0.000591159 0 0 0 0.00776931 5.57519e-05 0 0.00837079 0 235210
2.48607e+08 0.0600602 0.0699945 0.000690241 0 0 0 0.00829107 6.63108e-05 0 0.0085448 0 182700
3.93946e+08 0.0659265 0.077809 0.000832074 0 0 0 0.00918118 8.04982e-05 0 0.00876075 0 142310
6.25214e+08 0.074 0.0866427 0.000981354 0 0 0 0.0103271 9.85782e-05 0 0.00915406 0 110973
9.90616e+08 0.0839245 0.0987608 0.00117881 0 0 0 0.0117449 0.000121044 0 0.0165272 0 87960
1.57191e+09 0.0962842 0.114304 0.00141426 0 0 0 0.0135933 0.000148814 0 0.0178973 0 70645
2.49147e+09 0.112245 0.13467 0.00170699 0 0 0 0.0161166 0.000185385 0 0.0258518 0 57303
3.95186e+09 0.13377 0.161043 0.0020352 0 0 0 0.0196009 0.000232553 0 0.0348957 0 47447
6.27682e+09 0.16039 0.19818 0.00251071 0 1 0 0.0245629 0.000307409 0 0.0458344 0 39005
9.93141e+09 0.199027 0.252979 0.00311181 0 1 0 0.0323093 0.000413982 0 0.0642775 0 32473
1.57531e+10 0.246686 0.33022 0.00395684 0 1 0 0.0446432 0.000586355 0 0.0911371 0 27306
2.49543e+10 0.314787 0.448458 0.00507307 0 1 0 0.0646103 0.000808679 0 0.141633 0 22952
3.95035e+10 0.391589 0.588269 0.00623602 0 1 0 0.0907999 0.00108129 0.0135758 0.19424 0.0135758 19214
6.23685e+10 0.483294 0.748934 0.00777241 0 2 0 0.126737 0.00147758 0.0379263 0.261141 0.0379263 14546
9.78321e+10 0.570532 0.903378 0.00991355 1 1 1 0.174057 0.00211665 0.0863543 0.32112 0.0863543 9563
1.52596e+11 0.645612 0.995567 0.0141199 1 1 1 0.246553 0.00348248 0.161904 0.371849 0.140695 4512
2.38415e+11 0.71308 1.07806 0.0243524 1 1 1 0.370807 0.00646317 0.35429 0.312248 0.263398 1422
3.74914e+11 0.619597 0.904899 0.0470571 1 1 1 0.562656 0.0117669 0.617532 0.154384 0.347345 347
5.89319e+11 0.532258 0.725806 0.103276 1 1 1 0.68547 0.0244846 0.722497 0.12424 0.248137 62
9.10217e+11 0.307692 0.307692 0.133235 0 1 0 0.802085 0.0253457 0.821515 0.0676245 0.107081 13
