#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.75041e+07 0.0633502 0.0730139 0.000689068 0 0 0 0.00955308 7.69275e-05 0 0.0087564 0 187608
1.57238e+08 0.0676849 0.0768203 0.00113853 0 0 0 0.0103806 0.000134297 0 0.00887687 0 70385
2.49137e+08 0.0776584 0.0893665 0.00136518 0 0 0 0.0124658 0.000168574 0 0.00963173 0 57225
3.96342e+08 0.092512 0.105372 0.00160324 0 0 0 0.0145782 0.000200251 0 0.0176809 0 47356
6.2696e+08 0.0993991 0.112532 0.0017236 0 0 0 0.0153843 0.000214475 0 0.0186371 0 43099
9.91143e+08 0.10534 0.120328 0.00196649 0 0 0 0.0164884 0.000248306 0 0.0253292 0 35561
1.56998e+09 0.119881 0.137905 0.00239829 0 0 0 0.019176 0.000315124 0 0.0276501 0 27519
2.48856e+09 0.131597 0.154091 0.00286066 0 0 0 0.0209995 0.000366069 0 0.0345239 0 21961
3.9447e+09 0.153604 0.179749 0.00345883 0 0 0 0.0241745 0.000454471 0 0.0444934 0 17135
6.25402e+09 0.179532 0.218595 0.00433048 0 1 0 0.0297134 0.000588496 0 0.0589342 0 13875
9.90955e+09 0.202456 0.252862 0.00529908 0 1 0 0.0360007 0.000774568 0 0.0729226 0 10832
1.5718e+10 0.238615 0.307268 0.00659332 0 1 0 0.0463334 0.00104834 0 0.0973437 0 8696
2.48524e+10 0.301514 0.410333 0.00870002 0 1 0 0.0630343 0.00145828 0.00228511 0.137682 0.00228511 6736
3.92531e+10 0.358535 0.510717 0.0111308 0 1 0 0.0851859 0.00201723 0.00889256 0.19399 0.00889256 5132
6.21535e+10 0.425181 0.639835 0.0142156 0 2 0 0.108956 0.00264075 0.0251996 0.238881 0.0251996 3876
9.76064e+10 0.504579 0.765373 0.0192315 1 1 1 0.139013 0.00372688 0.0505547 0.287123 0.0505547 2293
1.49843e+11 0.583626 0.88655 0.0322622 1 1 1 0.20011 0.00723848 0.107946 0.340035 0.0909398 855
2.30083e+11 0.649254 0.925373 0.0738712 1 1 1 0.33595 0.0215608 0.265334 0.371833 0.196548 134
3.71261e+11 1 1.6 0.4 1 2 0 0.468523 0.0885415 0.462385 0.221731 0.304068 5
5.1489e+11 0 0 0 0 0 0 0.889874 0.889874 0.889874 0 0 1
