#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
44.6128 0.0911136 0.10617 0.000153614 0 0 0 0.0311202 3.28331e-05 0 0.0588328 0 5437770
62.1902 0.0940867 0.110151 0.000286763 0 0 0 0.0352182 6.0002e-05 0 0.0774718 0 1630028
78.6052 0.110905 0.12825 0.000430857 0 0 0 0.0479355 0.00010035 0 0.118465 0 808243
98.6888 0.15009 0.174224 0.000678844 0 0 0 0.0698447 0.000168039 0.00438854 0.174383 0.00438854 427145
124.12 0.221742 0.265035 0.00118136 0 1 0 0.101381 0.000290188 0.0350545 0.21409 0.0350545 208535
156.388 0.336009 0.427701 0.00212375 0 1 0 0.153205 0.000512423 0.0978086 0.246036 0.0978086 101426
196.966 0.487639 0.674691 0.00363592 0 1 0 0.238801 0.000874186 0.203979 0.263802 0.183436 50884
247.866 0.551795 0.789243 0.00550119 1 1 1 0.338972 0.00134006 0.328527 0.250278 0.230192 24877
311.748 0.507978 0.695835 0.00745317 1 0 1 0.405962 0.00187815 0.406907 0.225619 0.227666 11908
392.526 0.436483 0.575018 0.0100613 0 1 0 0.43537 0.00252789 0.438357 0.201536 0.206326 5652
493.187 0.377647 0.480392 0.0138482 0 1 0 0.441267 0.00329404 0.442198 0.171997 0.165803 2550
619.942 0.32 0.387556 0.0185054 0 1 0 0.432009 0.00452515 0.433901 0.145558 0.148798 1125
778.535 0.261745 0.310962 0.027041 0 1 0 0.397542 0.00656268 0.380187 0.152935 0.113389 447
973.651 0.219355 0.245161 0.0392023 0 1 0 0.362305 0.00898896 0.35877 0.11698 0.106942 155
1214.97 0.0487805 0.0487805 0.0340591 0 0 0 0.296852 0.0147452 0.313773 0.0516628 0.128419 41
1622.9 0 0 0 0 0 0 0.238268 0.0309365 0.269204 0 0.061873 2
