#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
46.9594 0.202309 0.232636 0.00099109 0 1 0 0.151723 0.000249731 0.120893 0.152767 0.0875216 249218
62.6889 0.186699 0.212017 0.00116387 0 1 0 0.1516 0.000285353 0.1278 0.138244 0.0886403 164345
79.4518 0.170519 0.190075 0.00126078 0 1 0 0.171055 0.000342129 0.152212 0.137934 0.103753 123341
98.9049 0.183017 0.204604 0.00156114 0 1 0 0.201516 0.000437206 0.188016 0.142973 0.122112 85839
124.467 0.222729 0.255196 0.00235505 0 1 0 0.242017 0.000647884 0.236633 0.149548 0.147394 46909
156.567 0.300749 0.366667 0.00387619 0 1 0 0.30267 0.00100864 0.3059 0.164295 0.182549 25380
196.978 0.406877 0.533338 0.00649328 0 1 0 0.393595 0.00163763 0.408959 0.176776 0.224373 12913
247.732 0.419344 0.568061 0.0098989 0 1 0 0.483469 0.00239724 0.505853 0.171298 0.234753 6193
311.329 0.357538 0.46231 0.0131187 0 1 0 0.546574 0.00321804 0.573078 0.146453 0.218628 2892
392.066 0.306699 0.397902 0.0190874 0 1 0 0.561851 0.00472147 0.583662 0.144171 0.192355 1239
490.848 0.276986 0.311609 0.0244073 0 1 0 0.5522 0.00720152 0.564064 0.145038 0.174118 491
620.51 0.26601 0.300493 0.0378255 0 1 0 0.546854 0.0106907 0.53267 0.181858 0.129503 203
769.282 0.196721 0.213115 0.0578048 0 1 0 0.49288 0.0217923 0.47977 0.192375 0.172671 61
961.47 0.454545 0.545455 0.207305 0 1 0 0.545787 0.0333027 0.491345 0.239045 0.00801617 11
1234.8 0 0 0 0 0 0 0.185354 0.185354 0.185354 0 0 1
