#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
45.1724 0.226789 0.265339 0.000566652 0 1 0 0.144187 0.000131659 0.111733 0.152859 0.0809602 872645
62.4262 0.221481 0.258946 0.00089508 0 1 0 0.13548 0.000187467 0.109926 0.133556 0.0794192 344029
79.1087 0.208213 0.239358 0.0010834 0 1 0 0.152041 0.000248916 0.129271 0.138698 0.0908515 213584
99.0489 0.226424 0.261553 0.0013722 0 1 0 0.177735 0.000327877 0.159526 0.146559 0.111386 143271
124.533 0.279972 0.332844 0.00201048 0 1 0 0.214942 0.000471441 0.202254 0.157814 0.133402 83844
156.917 0.380681 0.486896 0.00320835 0 1 0 0.275616 0.000721563 0.269405 0.17597 0.171538 48345
197.704 0.51527 0.734164 0.00503951 1 1 1 0.374305 0.00114114 0.381912 0.200909 0.232302 29142
248.529 0.565152 0.852062 0.00718909 1 1 1 0.514725 0.00159101 0.555209 0.162165 0.280516 16730
312.332 0.473567 0.676349 0.00897685 0 2 0 0.651157 0.00178488 0.691527 0.108337 0.202928 8985
393.262 0.384287 0.517506 0.011106 0 1 0 0.730532 0.00199363 0.760584 0.0837806 0.140218 4684
493.917 0.299213 0.388451 0.0141851 0 1 0 0.782501 0.00215682 0.800498 0.068386 0.1018 2286
620.694 0.25446 0.325822 0.0190202 0 1 0 0.811277 0.00272365 0.826174 0.0606663 0.0822805 1065
779.278 0.216783 0.254079 0.025276 0 1 0 0.840722 0.00356814 0.853374 0.0507053 0.0672827 429
972.866 0.214286 0.233766 0.0388619 0 1 0 0.846119 0.00512428 0.854131 0.0509687 0.0570118 154
1217.11 0.15 0.175 0.0705973 0 0 0 0.872299 0.00912727 0.88667 0.0303695 0.0651559 40
1622.9 0 0 0 0 0 0 0.887475 0.00176787 0.889242 0 0.00353575 2
